entity_type,total,matched,unmatched,match_pct
Bauteil,253,174,79,68.8
Material,81,71,10,87.7
Reuse_Strategie,55,46,9,83.6
Methode,64,33,31,51.6
Tragwerkssystem,38,8,30,21.1
Verbindung,21,8,13,38.1
Pruefung,47,26,21,55.3
Aufbereitungsmethode,25,17,8,68.0
Abbruchmethode,20,14,6,70.0
Logistik,26,7,19,26.9
Wirtschaft,34,13,21,38.2
Leistungsanforderung,11,4,7,36.4
Schadstoff,14,11,3,78.6
Prozessphase,10,3,7,30.0
Norm_Recht,55,34,21,61.8
Datenmodell,9,2,7,22.2
Kennwert,156,41,115,26.3
Huerde,55,46,9,83.6
