seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Reinigung_Strahlen,Reinigung,"Reinigung durch Sandstrahlen, Hochdruck, mechanische Reinigung.",6,6,"Sandstrahlen, Fertigung, Beschichtung mit zinkreicher Beschichtung (n=1); Reinigung und Zuschnitt nach Schneidplan (n=1); cleaning, testing, certification, preparation (n=1); Reinigung / Auswahl von Gebrauchtziegeln (n=1); Demontage, Reinigung, ggf. Zuschnitt (n=1); Reinigung, Zuschnitt, Öffnungen/Fittings, Wärmedämmung (n=1)"
Zuschnitt_Saegen,Bearbeitung,"Zuschnitt von Bauteilen (Säge, Brennschnitt, Trennscheibe).",5,5,"Zuschnitt/Sägen von Platten (n=1); Reinigung und Zuschnitt nach Schneidplan (n=1); Kürzen von Hohlkörperdecken; Fassadenelemente schneiden, Brüstungen abtrennen; Lagerung (n=1); Demontage, Reinigung, ggf. Zuschnitt (n=1); Reinigung, Zuschnitt, Öffnungen/Fittings, Wärmedämmung (n=1)"
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,4,4,"Entfernen von Anbauteilen, Löcher füllen, Testen, CE marking (n=1); Höhenausgleich durch Ziegelschicht; sonst unbekannt (n=1); unbekannt (n=1); Reparieren, Vermessen, Katalogisieren, Anpassen (n=1)"
Anpassung_Bearbeitung,Bearbeitung,"Generelle mechanische Anpassung (Bohren, Schweißen, Nachbearbeiten).",3,3,"Prüfung, Verstärkung, Anpassung, Verdopplung einzelner Bögen (n=1); möglichst ohne Bearbeitung; Repair/Remanufacturing als Lehre (n=1); geringe Veränderung / Anpassung; Fassadenreserve angelegt (n=1)"
Beschichtung_Korrosionsschutz,Schutz,Neubeschichtung zur Korrosionsverhinderung (Stahlbauteile).,1,1,"Demontage, Transport, Beschichtung/Coating, Wiedermontage (n=1)"
Refurbishment_Holz,Refurbishment,"Aufbereitung Holz: Entnageln, Schleifen, Trocknen, Schädlingsbehandlung.",1,1,"abschleifen, restaurieren, lackieren, in Edelstahlrahmen setzen (n=1)"
Drahtglasschneiden,Bearbeitung,Spezielle Schnitttechnik für Drahtglasplatten.,0,0,
Entmoertelung_Klinker,Trennung,Entfernung von Mörtel von Mauerwerksbausteinen.,0,0,
Entrostung,Reinigung,Entfernung von Rost und Korrosion an Stahlbauteilen.,0,0,
Lochverschluss_Reparatur,Bearbeitung,"Verfüllen von Schraubbohrlöchern, Reparatur kleiner Schäden.",0,0,
Neubeschichtung,Schutz,Erneuerung der Oberflächenbeschichtung.,0,0,
Pruefung_Freigabe,Verifikation,Prüfung mit anschließender Freigabe für Wiedereinbau.,0,0,
Refurbishment_Sanitaer,Refurbishment,"Aufbereitung Sanitärobjekte: Reinigung, Dichtung, Hygiene.",0,0,
Remanufacturing_Bauholz_Glulam,Refurbishment,Refabrikation von Sekundärholz zu neuem Glulam.,0,0,
Sortierung_Gradierung,Bearbeitung,"Sortierung und Klassifizierung nach Qualität, Größe, Zustand.",0,0,
