url|http_status|fetched|verdict|confidence|proof_quote|note
https://www.intertek.com/building/standards/en-13830/|200|true|PROVEN|hoch|"EN 13830 ... is a harmonized standard under the Construction Products Regulation (EU) 305/2011 ... does not contribute to the load bearing or stability of the main building structure, and could be replaced independently"|Page is the named product standard EN 13830; content matches stored quote almost verbatim
https://www.iso.org/standard/69370.html|200|true|PROVEN|hoch|"ISO 20887:2020 ... Design for disassembly and adaptability - Principles, requirements and guidance ... includes requirements that are mandatory for the implementation of specific DfD/A principles"|Official ISO catalogue page for the exact standard cited (DfD)
https://pmc.ncbi.nlm.nih.gov/articles/PMC7472835/|200|true|PROVEN|hoch|"Components reuse in the building sector - A systematic review ... Factors identified ... classified into six major categories ... economic, social and regulatory barriers should be prioritized"|Peer-reviewed systematic review of reuse barriers; backs HAT_HUERDE barrier edges
https://eur-lex.europa.eu/legal-content/EN/LSU/?uri=CELEX:32008L0098|200|true|PROVEN|hoch|"establishes a waste hierarchy consisting of: prevention, preparing for reuse, recycling, other recovery ... and disposal"|Official EUR-Lex summary of Waste Framework Directive 2008/98/EC; matches quote
https://www.intertek.com/building/standards/en-14351-1/|200|true|PROVEN|hoch|"EN 14351-1 ... harmonized standard under the Construction Products Regulation (EU) 305/2011 ... identifies material independent performance characteristics ... applicable to windows ... external pedestrian doorsets"|Page is the named product standard EN 14351-1; matches stored quote
https://standards.iteh.ai/catalog/standards/cen/31a1835a-d97d-4bf7-8319-62d76609fe39/cen-ts-1090-201-2024|200|true|PROVEN|hoch|"CEN/TS 1090-201:2024 - Reuse of Structural Steel in Steel Structures"|Official iteh catalogue page for the exact reused-steel spec cited; backs reusability-assessment requirement
https://standards.iteh.ai/catalog/standards/cen/e42ae69b-eeba-4f82-b1a2-a0ef748a1752/en-1168-2005a3-2011|200|true|PROVEN|hoch|"EN 1168:2005+A3:2011 - Precast Concrete Hollow Core Slabs Standard"|Official iteh catalogue page for exact standard cited; matches quote
https://reclaimedbrickcompany.co.uk/blogs/yard-display/reclaimed-brick-company-becomes-first-uk-supplier-to-achieve-bs-en-771-1-testing-for-reclaimed-bricks|200|true|PROVEN|mittel|"Third-party testing to BS EN 771-1 - the key performance standard for masonry units - provides architects, contractors, and specifiers with measurable, trusted data on the durability and suitability of reclaimed bricks"|Supplier blog (not the standard itself) but directly supports the reclaimed-brick EN 771-1 testing claim incl. compressive strength/water absorption/frost/soluble salts
https://www.holzbau-deutschland.de/fileadmin/user_upload/eingebundene_Downloads/2022-12_Information_Sortierung_durch_den_Zimmermeister_01.pdf|200|true|PROVEN|hoch|"DIN 4074-1 ... visuelle Sortierung ... Fuer das Inverkehrbringen von Bauholz fuer tragende Zwecke ... ist jedoch eine Zertifizierung auf Grundlage der DIN EN 14081-1 ... CE-gekennzeichnet ... Leistungserklaerung erforderlich"|Holzbau Deutschland info sheet; matches quote incl. reuse case (ausgebaut/wieder eingebaut requires CE + DoP)
https://green-forum.ec.europa.eu/implementing-ecodesign-sustainable-products-regulation_en|200|true|PROVEN|hoch|"Entry into force of ESPR 18 July 2024 ... Technical preparation for the roll-out of the Digital Product Passport (DPP) is already underway"|Official EC page confirms ESPR in force 18.7.2024 + DPP; matches quote
https://www.glassonweb.com/article/reuse-and-remanufacturing-insulated-glass-units|200|true|PROVEN|hoch|"Reuse and remanufacturing of insulated glass units ... how old insulating glass units can be re manufactured ... Ug-value of 2.7 W/m2K ... Modern coated triple glazed IGUs provide Ug-values of up to 0.5 W/m2K"|Peer-reviewed paper (Glass Structures & Engineering 2024); matches IGU reuse quote
https://finance.ec.europa.eu/system/files/2023-06/taxonomy-regulation-delegated-act-2022-environmental_en_0.pdf|200|true|PROVEN|hoch|"COMMISSION DELEGATED REGULATION ... supplementing Regulation (EU) 2020/852 ... establishing the technical screening criteria ... transition to a circular economy ... pollution prevention"|Official EU Taxonomy Environmental Delegated Act PDF; matches circular-economy TSC quote
https://www.intertek.com/building/standards/en-13162/|200|true|PROVEN|hoch|"EN 13162 ... harmonized standard under the Construction Products Regulation (EU) 305/2011 ... factory made mineral wool products ... declared thermal conductivity greater than 0,060 W/(m.K) ... not covered"|Page is the named product standard EN 13162; matches mineral-wool quote incl. 0.060 W/mK
https://landingpage.bsigroup.com/LandingPage/Undated?UPI=000000000030090410|200|true|PROVEN|hoch|"BS EN 1469 Natural stone products. Slabs for cladding. Requirements"|Official BSI page for EN 1469 (first standard named in quote re natural-stone products)
https://op.europa.eu/en/publication-detail/-/publication/d63d5a8f-64e8-11ef-a8ba-01aa75ed71a1/language-en|200|true|PROVEN|hoch|"EU construction & demolition waste management protocol including guidelines for pre-demolition and pre-renovation audits of construction works"|Official EU Publications Office page; title matches quote verbatim
https://climate-laws.org/document/the-environment-buildings-decree-of-the-netherlands-besluit-bouwwerken-leefomgeving-bbl_1057|200|true|PARTIAL|mittel|"The Environment Buildings Decree of the Netherlands (Besluit bouwwerken leefomgeving, Bbl) contains rules on construction, demolition, and the use and maintenance of buildings"|Confirms Bbl is a real NL construction decree; the specific Art. 4.166 1-to-1 reuse provision in the quote is not shown on this summary page
