anchor_id,claim_type,target_id,recommended_action,evidence_level,source_title,source_url,source_line_ref,source_excerpt_short,rejection_reason,pass_name
articonnex,Material,mat_beton,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,Articonnex sols/reemploi search extract,https://articonnex.com/collections/sols/reemploi,,PVC vinyle imitation béton,"This is imitation-concrete finish, not concrete material.",continuation_3_final_evidence_check
articonnex,Material,mat_keramik,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,Articonnex sols/reemploi search extract,https://articonnex.com/collections/sols/reemploi,,carrelages,"Tile/carrelage supports floor/wall type, but this extract does not explicitly say ceramic/céramique.",continuation_3_final_evidence_check
batiterre,Material,mat_keramik,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,BatiTerre shop,https://www.batiterre.be/shop,,Carrelage; Sanitaires et Salles de bain,The page does not explicitly say céramique/ceramic for these Batiterre items; use item page before material import.,continuation_3_final_evidence_check
baticycle,Material,mat_keramik,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,Bâticycle Matériaux second oeuvre,https://baticycle.fr/materiaux-second-oeuvre/,,carrelage appears in external shop/category context,"This first-party page supports component categories, not a strict ceramic material claim.",continuation_3_final_evidence_check
baticycle,Material,mat_naturstein,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,Bâticycle Matériaux second oeuvre,https://baticycle.fr/materiaux-second-oeuvre/,,"pierres, dalles gravillonnées, pavés extérieurs",“Pierres” suggests stone but does not distinguish natural stone from concrete/other paving; keep as candidate only.,continuation_3_final_evidence_check
genbyg,Material,mat_stahl,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,Genbyg home/category tree,https://genbyg.dk/,,Jernvinduer,"Jern = iron, not steel. Do not import mat_stahl from this wording alone.",continuation_3_final_evidence_check
materialenbank_leuven_atelier_circuler,Material,mat_stahl,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,Atelier Circuler catalog search extract,https://ateliercirculer.be/catalogus/,,Metaal (8),Generic metal is not steel.,continuation_3_final_evidence_check
materialrest24,Material,mat_keramik,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,Haustec article on Materialrest24 categories,https://www.haustec.de/management/betriebsfuehrung/wie-sie-materialreste-ueber-das-internet-verwerten-koennen,,Fliesen,Do not import mat_keramik from “Fliesen” unless strict crosswalk accepts tile=>ceramic; source does not explicitly say Keramik.,continuation_3_final_evidence_check
materialrest24,Material,mat_stahl,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,Haustec article on Materialrest24 categories,https://www.haustec.de/management/betriebsfuehrung/wie-sie-materialreste-ueber-das-internet-verwerten-koennen,,Metallbau,Generic metal construction does not prove steel.,continuation_3_final_evidence_check
raedificare,Material,ALL_MATERIAL_IDS,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,RAEDIFICARE marketplace,https://raedificare.com/marketplace/,,matériaux du BTP; matériaux de déconstruction; surplus,No specific closed-set material (wood/brick/steel/etc.) is named on the visible page.,continuation_3_final_evidence_check
salza,Material,ALL_MATERIAL_IDS,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,Salza Bauteil-Plattform,https://salza.ch/bauteil-plattform,,Bauteile; Abbruchmaterialien,No specific material class appears on the visible page.,continuation_3_final_evidence_check
salza,Rueckbauverfahren,ANY_RBV_ID,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,Salza Bauteil-Plattform,https://salza.ch/bauteil-plattform,,"Buyer/seller arrange Termine, Demontage, Kosten und Übergabe.",This does not prove Salza performs dismantling; do not link Salza to a dismantling procedure from this page.,continuation_3_final_evidence_check
cycle_zero,Material,mat_keramik,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,Île-de-France Cycle Zéro article,https://www.iledefrance.fr/toutes-les-actualites/cycle-zero-la-revolution-numerique-anti-gaspillage-dans-le-btp,,carrelage,Do not import ceramic from “carrelage” unless crosswalk explicitly permits; the page does not say céramique.,continuation_3_final_evidence_check
r_place,Material,ALL_MATERIAL_IDS,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,R-place home,https://r-place.fr/,,matériaux & équipements du bâtiment,No specific closed-set material appears in visible first-party extract.,continuation_3_final_evidence_check
bauteilnetz_deutschland,Material,ALL_MATERIAL_IDS,DO_NOT_IMPORT_FROM_THIS_SOURCE,REJECTED_MISMATCH,DBU Bauteilnetz project,https://www.dbu.de/projektbeispiele/das-bauteilnetz-deutschland/,,"Fenster, Türen oder Heizkörper","Components are named, but no exact material family is named.",continuation_3_final_evidence_check
