anchor_id,claim_type,target_id,target_label,recommended_action,evidence_level,source_title,source_url,source_line_ref,evidence_quote,research_note,import_safe_without_manual_review,claim_scope,pass_name
articonnex,Material,mat_holz,Holz,ADD_OR_KEEP,DIRECT_FIRST_PARTY_SEARCH,Articonnex home/search extract,https://articonnex.com/,search extract,"Contreplaqué, OSB, Bois; products include parquets, terrasse, tasseaux.",Direct first-party wording names wood/wood products.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
articonnex,Material,mat_daemmstoff,Dämmstoff,ADD_OR_KEEP,DIRECT_FIRST_PARTY_SEARCH,Articonnex home/search extract,https://articonnex.com/,search extract,Produits phares include “isolant”.,French “isolant” supports insulation material.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
articonnex,Material,mat_kunststoff,Kunststoff,ADD_OR_KEEP,DIRECT_FIRST_PARTY_SEARCH,Articonnex sols/reemploi search extract,https://articonnex.com/collections/sols/reemploi,search extract,"Collection de revêtements de sol: sol PVC, vinyle; dalles et lames PVC.",PVC/vinyl is explicit plastic material.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
articonnex,Bauteiltyp,bt_boden,Boden,ADD_OR_KEEP,DIRECT_FIRST_PARTY_SEARCH,Articonnex sols/reemploi search extract,https://articonnex.com/collections/sols/reemploi,search extract,"Revêtements de sol: sol PVC, vinyle, parquets, carrelages, moquettes.",Direct floor-covering category.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
articonnex,Bauteiltyp,bt_fassade,Fassade,ADD_OR_KEEP,DIRECT_FIRST_PARTY_SEARCH,Articonnex home/search extract,https://articonnex.com/,search extract,Produits phares include “bardage”.,Bardage/cladding supports facade/skin component.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
articonnex,Bauteiltyp,bt_ausbau,Ausbau,ADD_OR_KEEP,DIRECT_FIRST_PARTY_SEARCH,Articonnex home/search extract,https://articonnex.com/,search extract,Product scope includes “quincaillerie”.,Hardware/fittings fit the Ausbau category.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Material,mat_holz,Holz,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre Vente et Préparation au réemploi,https://www.batiterre.be/vente-et-preparation-au-reemploi,L60-L62,"Processes for reuse preparation cover “sanitaires, bois radiateurs en fonte, etc.”",Direct first-party evidence: bois = wood; fonte = cast iron.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Material,mat_gusseisen,Gusseisen,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre Vente et Préparation au réemploi,https://www.batiterre.be/vente-et-preparation-au-reemploi,L60-L62,"Processes for reuse preparation cover “sanitaires, bois radiateurs en fonte, etc.”",Direct first-party evidence: bois = wood; fonte = cast iron.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Material,mat_glas,Glas,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L101; L236-L265,Tags include “Verre”; product listings include glass doors and stained glass/chassis items.,First-party shop names glass as tag and products.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Material,mat_kunststoff,Kunststoff,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L160-L162,“Châssis de fenêtre PVC blanc avec vantail fixe”.,PVC window frame is explicit plastic material.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Bauteiltyp,bt_tuer,Tür,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L89; L113-L137; L219-L242; L334,"Tags/listings include “Portes intérieures”, “Porte à panneaux”, “Porte vitrée”, “Porte extérieure”.",Direct first-party shop tag/product evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Bauteiltyp,bt_fenster,Fenster,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L65; L160-L162,Tags/listing include “Châssis et portes extérieures” and “Châssis de fenêtre PVC”.,Direct first-party shop tag/product evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Bauteiltyp,bt_treppe,Treppe,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L75; L320,Tags include “Escaliers et balustrades”.,Direct first-party shop tag/product evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Bauteiltyp,bt_gelaender,Geländer,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L75; L320,Tags include “Escaliers et balustrades”.,Direct first-party shop tag/product evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Bauteiltyp,bt_technik,Technik,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L73-L81; L95; L318-L340,"Tags include Électricité, HVAC-Chauffage, Luminaires, Sanitaires et Salles de bain.",Direct first-party shop tag/product evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Bauteiltyp,bt_boden,Boden,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L93; L338,Tags include “Revêtements de sol”.,Direct first-party shop tag/product evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Bauteiltyp,bt_wand,Wand,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L67; L312,Tags include “Cloisons”.,Direct first-party shop tag/product evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Bauteiltyp,bt_daemmung,Dämmung,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L79; L324,Tags include “Isolation”.,Direct first-party shop tag/product evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Bauteiltyp,bt_dach,Dach,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L99; L344,Tags include “Toiture”.,Direct first-party shop tag/product evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Bauteiltyp,bt_ausbau,Ausbau,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,BatiTerre shop,https://www.batiterre.be/shop,L91; L213-L215; L336,Tags include “Quincaillerie”; listing includes brass handle.,Direct first-party shop tag/product evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
batiterre,Aufbereitungsverfahren,LOOKUP_REQUIRED_reconditionnement,Reconditionnement,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_FETCHED,BatiTerre Vente et Préparation au réemploi,https://www.batiterre.be/vente-et-preparation-au-reemploi,L60-L62,"“Nous avons développé des processus de reconditionnement ... sanitaires, bois radiateurs en fonte, etc.”",Process link is real; exact Aufbereitungsverfahren ID requires live graph lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
baticycle,Bauteiltyp,bt_ausbau,Ausbau,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,Bâticycle Matériaux second oeuvre,https://baticycle.fr/materiaux-second-oeuvre/,L43-L44,Page is explicitly “Matériaux second oeuvre”.,Direct first-party category evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
baticycle,Bauteiltyp,bt_boden,Boden,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,Bâticycle Matériaux second oeuvre,https://baticycle.fr/materiaux-second-oeuvre/,L77-L80,Category “Sols”; text names floor coverings and technical floor slabs.,Direct first-party category evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
baticycle,Bauteiltyp,bt_wand,Wand,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,Bâticycle Matériaux second oeuvre,https://baticycle.fr/materiaux-second-oeuvre/,L56-L60,Category “Constructions intérieures” names cloisons.,Direct first-party category evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
baticycle,Bauteiltyp,bt_tuer,Tür,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,Bâticycle Matériaux second oeuvre,https://baticycle.fr/materiaux-second-oeuvre/,L56-L60,Constructions intérieures names “blocs-portes”.,Direct first-party category evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
baticycle,Bauteiltyp,bt_technik,Technik,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,Bâticycle Matériaux second oeuvre,https://baticycle.fr/materiaux-second-oeuvre/,L51-L70,"Categories/text name radiateurs, CVC, Electricité, sanitaires, luminaires.",Direct first-party category evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
baticycle,Bauteiltyp,bt_decke,Decke,ADD_OR_KEEP,DIRECT_FIRST_PARTY_FETCHED,Bâticycle Matériaux second oeuvre,https://baticycle.fr/materiaux-second-oeuvre/,L72-L75,Category “Plafonds”; text names dalles de faux-plafonds.,Direct first-party category evidence.,yes,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
