kritisch;Land;Von;Richtung;Nach;Dauer;Art;Beschreibung (gekürzt);haengt allein daran;Belegstärke;Belegzitat;Quelle;ID
KRITISCH;Belgien;2emain.be;→;Maison Vignette;projektgebunden;Projektbeteiligung, Aufgabe unklar;"War an Maison Vignette beteiligt; Aufgabe offen.";2emain.be;belegt;40m² trouvées sur le site de petites annonces 2emain.be.;https://opalis.eu/fr/projets/maison-vignette-karbon-architecture-et-urbanisme;BE:K013
KRITISCH;Belgien;ERDF / FEDER Brüssel-Hauptstadt;→;Zinneke;projektgebunden;Förderung;Förderte Zinneke.;ERDF / FEDER Brüssel-Hauptstadt;belegt;This project was made possible thanks to an ERDF subvention from the Brussels-Capital Region.;https://rotordb.org/en/projects/zinneke-feder-masui4ever;BE:K041
KRITISCH;Belgien;Franck;→;Chiro d’Itterbeek;projektgebunden;Bauteillieferung;Lieferte Reuse-Ziegel für Chiro d’Itterbeek.;Franck;belegt;The facade, for example, is entirely made of reusable bricks provided by Jan Franck.;https://rotordb.org/en/projects/sanitary-block-itterbeek-chiro;BE:K003
KRITISCH;Belgien;Franck Bricks;→;Maison Vignette;projektgebunden;Bauteillieferung;Lieferte Reuse-Ziegel für Maison Vignette.;Franck Bricks;belegt;Brique: Grote Boomse Steen, provenant de chez Franck;https://opalis.eu/fr/projets/maison-vignette-karbon-architecture-et-urbanisme;BE:K012
KRITISCH;Deutschland;Bundeszentrale für politische Bildung (bpb);→;Plattenvereinigung Berlin;projektgebunden;Förderung;Förderte Plattenvereinigung Berlin.;Bundeszentrale für politische Bildung (bpb);belegt;Das vielfältige Programm wurde ebenso von der Bundeszentrale für politische Bildung (bpb) gefördert.;https://www.plattenvereinigung.de/project/;DE:K020
KRITISCH;Deutschland;Claus Asam;→;Mehrow Pilot House;projektgebunden;Projektbeteiligung, Aufgabe unklar;"War an Mehrow Pilot House beteiligt; Aufgabe offen.";Mehrow Pilot House;belegt;sagt Dipl.-Ing. Claus Asam vom IEMB, der das Projekt leitete und maßgeblich mitinitiierte;https://www.baulinks.de/webplugin/2005/1177.php4;DE:K005
KRITISCH;Deutschland;Deutsche Bundesstiftung Umwelt (DBU);→;Plattenvereinigung Berlin;projektgebunden;Förderung;Förderte Plattenvereinigung Berlin.;Deutsche Bundesstiftung Umwelt (DBU);belegt;Plattenvereinigung wird durch die Deutsche Bundesstiftung Umwelt (DBU) als Projekt für „Berufsbildung und öffentlichen Diskurs zum Ressourcenschutz am Beispiel eines modellhaften mobilen Recyclinggebäudes;https://www.plattenvereinigung.de/project/;DE:K019
KRITISCH;Dänemark;DOVISTA / KRONE;→;TRÆ High-Rise;projektgebunden;Bauteillieferung;Lieferte Reuse-Bauteile für TRÆ High-Rise.;DOVISTA / KRONE;belegt;KRONE supplied all the windows to the building, including the upcycled windows.;https://dovista.com/krone-brandcase;DK:K016
KRITISCH;Dänemark;a:gain;→;Upcycle Studios Copenhag…;projektgebunden;Bauteillieferung;Lieferte einen Viddø-Fensterprototyp für Upcycle Studios.;Upcycle Studios Copenhag…;teilweise_belegt;In Upcycle Studios, 75% of the windows came from public housing in North Jutland;https://www.again.dk/project-references/upcycle-studios;DK:K019
KRITISCH;Frankreich;Association Réavie;→;Résilience;projektgebunden;Bauteillieferung;Lieferte Reuse-Bauteile für Résilience.;Association Réavie;belegt;L'association Réavie a préparé et livré des éléments tels que des WC, des luminaires, des poignées de portes, des mitigeurs;http://materiauxreemploi.com/visite-de-chantier-resilience-la-ferme-des-possibles-a-stains/;FR:K028
