Land;Von;Richtung;Nach;Neuer Text;Art;sichtbar;entfernt;bisher (nur wenn keine Schablone)
Belgien;Chiro d’Itterbeek;←;Franck;Lieferte Reuse-Ziegel für Chiro d’Itterbeek.;Bauteillieferung;ja;;
Belgien;Chiro d’Itterbeek;←;RotorDC;Lieferte Reuse-Bauteile für Chiro d’Itterbeek.;Bauteillieferung;ja;;
Belgien;BLAF Architecten;→;Maison DnA;Entwarf Maison DnA.;Entwurf;ja;;
Belgien;Maison Vignette;←;Franck Bricks;Lieferte Reuse-Ziegel für Maison Vignette.;Bauteillieferung;ja;;
Belgien;Maison Vignette;←;2emain.be;"War an Maison Vignette beteiligt; Aufgabe offen.";Projektbeteiligung, Aufgabe unklar;ja;;
Belgien;Musée de Folklore Vie…;←;Bureau Bouwtechniek;Plante das Tragwerk für Musée du Folklore de Mouscron.;Fachplanung;ja;;
Belgien;Recypark Demets;←;51N4E;Entwarf Recypark Demets.;Entwurf;ja;;
Belgien;Recypark Demets;←;Rotor;Entwarf Recypark Demets.;Entwurf;ja;;
Belgien;Zinneke;←;Zinneke asbl;Verantwortete Zinneke als Bauherrschaft.;Bauherrschaft;ja;;
Belgien;Zinneke;←;ERDF / FEDER Brüssel-Hauptstadt;Förderte Zinneke.;Förderung;ja;;
Belgien;Zinneke;←;Rotor;Übernahm die Fachplanung für Zinneke.;Fachplanung;ja;;
Belgien;Rotor;→;RotorDC;Gründete RotorDC als Spin-off.;Gründung;ja;;
Belgien;Opalis;←;Brussels Environment;Unterstützte die Entwicklung von Opalis.;Trägerschaft;ja;;Brussels Environment unterstützte die Entwicklung von Opalis.
Belgien;Embuild;—;Buildwise;Entwickelten das Tool Circulair Gebouwd gemeinsam.;Zusammenarbeit, Art unklar;ja;;
Belgien;Buildwise;—;Vrije Universiteit Brussel (VUB) – Architectural Engineering;Erarbeiteten gemeinsam einen Reuse-Umbau-Bericht.;Konsortialpartner;ja;;Beide arbeiteten am Bericht zum veränderungsgerichteten Umbau.
Belgien;BauMaB Kassel / Bauteilbörse Kassel;←;Stadt Kassel;Initiierte BauMaB in der Kasseler Klimastrategie.;Trägerschaft;ja;;Die Stadt Kassel initiierte BauMaB im Rahmen ihrer Klimastrategie.
Belgien;OVAM (Openbare Vlaamse Afvalstoffenmaatschappij);—;Tracimat vzw;Kooperierten bei der Abbruchnachverfolgung.;Zusammenarbeit, Art unklar;ja;;OVAM und Tracimat arbeiten bei der Abbruchnachverfolgung zusammen.
Belgien;Chiro d’Itterbeek;←;Commune de Dilbeek;Verantwortete Chiro d’Itterbeek als Bauherrschaft.;Bauherrschaft;;;
Belgien;Chiro d’Itterbeek;←;CC Autrement;Führte die Bauarbeiten an Chiro d’Itterbeek aus.;Bauausführung;;;
Belgien;Chiro d’Itterbeek;—;Rotor;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Belgien;Lo-Reninge Town Hall…;←;noAarchitecten;Entwarf Lo-Reninge Town Hall.;Entwurf;;;
Belgien;Lo-Reninge Town Hall…;←;Lo-Reninge town council;Verantwortete Lo-Reninge Town Hall als Bauherrschaft.;Bauherrschaft;;;
Belgien;Lo-Reninge Town Hall…;←;Dexia;Verantwortete Lo-Reninge Town Hall als Bauherrschaft.;Bauherrschaft;;;
Belgien;Maison Vignette;←;Karbon’ architecture & urbanisme;Entwarf Maison Vignette.;Entwurf;;;
Belgien;Maison Vignette;←;BESP Stoffel & Partners / Pierre Stoffel;Übernahm die Fachplanung für Maison Vignette.;Fachplanung;;;
Belgien;Maison Vignette;—;RotorDC;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Belgien;Multi Brussels;←;Whitewood;Verantwortete Multi Brussels als Bauherrschaft.;Bauherrschaft;;;
Belgien;Multi Brussels;←;Cordeel;Führte die Bauarbeiten an Multi Brussels aus.;Bauausführung;;;
Belgien;Multi Brussels;←;CONIX RDBM;Entwarf Multi Brussels.;Entwurf;;;
Belgien;Multi Brussels;←;Rotor;Übernahm die Fachplanung für Multi Brussels.;Fachplanung;;;
Belgien;Multi Brussels;←;RotorDC;Lieferte Reuse-Bauteile für Multi Brussels.;Bauteillieferung;;;
Belgien;Whitewood;→;OXY Centre Monnaie;Verantwortete OXY Centre Monnaie als Bauherrschaft.;Bauherrschaft;;;
Belgien;Immobel;→;OXY Centre Monnaie;Verantwortete OXY Centre Monnaie als Bauherrschaft.;Bauherrschaft;;;
Belgien;Musée de Folklore Vie…;←;Ville de Mouscron;Beauftragte das Musée du Folklore de Mouscron.;Bauherrschaft;;;
Belgien;Musée de Folklore Vie…;←;Greisch;Plante das Tragwerk für Musée du Folklore de Mouscron.;Fachplanung;;;
Belgien;Musée de Folklore Vie…;←;Taktyk;Übernahm die Fachplanung für Musée du Folklore de Mouscron.;Fachplanung;;;
Belgien;Greisch;→;Recypark Demets;Übernahm die Fachplanung für Recypark Demets.;Fachplanung;;;Greisch übernahm Tragwerksleistungen für Recypark Demets.
Belgien;OXY Centre Monnaie;←;Rotor;Übernahm die Fachplanung für OXY Centre Monnaie.;Fachplanung;;;
Belgien;OXY Centre Monnaie;←;RotorDC;Arbeitete Reuse-Bauteile für OXY Centre Monnaie auf.;Aufarbeitung;;;
Belgien;Verbiest + Karreveld;←;AgwA;Entwarf Verbiest + Karreveld.;Entwurf;;;
Belgien;Verbiest + Karreveld;←;Evelia Macal;Entwarf Verbiest + Karreveld.;Entwurf;;;
Belgien;Verbiest + Karreveld;←;JZH & Partners;Plante das Tragwerk für Verbiest + Karreveld.;Fachplanung;;;
Belgien;Verbiest + Karreveld;←;Kahle Acoustics;Übernahm die Fachplanung für Verbiest + Karreveld.;Fachplanung;;;
Belgien;Verbiest + Karreveld;←;Denis Dujardin;Übernahm die Fachplanung für Verbiest + Karreveld.;Fachplanung;;;
Belgien;Verbiest + Karreveld;←;Pouvoir Organisateur Pluriel / POP;Verantwortete Verbiest + Karreveld als Bauherrschaft.;Bauherrschaft;;;
Belgien;Zinneke;←;Matriciel;Übernahm die Fachplanung für Zinneke.;Fachplanung;;;
Belgien;Zinneke;←;De Coninck;Führte die Bauarbeiten an Zinneke aus.;Bauausführung;;;
Belgien;Zinneke;←;Brudex;Führte die Bauarbeiten an Zinneke aus.;Bauausführung;;;
Belgien;Rotor;—;CCRI Pilot Flanders;Tauschten bei einem Rotor-Besuch Reuse-Wissen aus.;Zusammenarbeit, Art unklar;;;
Belgien;Rotor;→;CCRI Pilot Uppsala;Beriet den CCRI-Piloten Uppsala zu Reuse.;Dienstleistungsbeziehung;;;Rotor beriet den CCRI-Pilot Uppsala zur Wiederverwendung.
