entity_type,anchor_token,n_files
Abbruchmethode,demontage,10
Abbruchmethode,rueckbau,7
Abbruchmethode,deconstruction,4
Abbruchmethode,demolition,4
Abbruchmethode,selektive,3
Abbruchmethode,selektiver,3
Akteur,architects,6
Akteur,architecture,5
Akteur,design,5
Akteur,architecten,4
Akteur,architekten,4
Akteur,architektur,4
Akteur,group,4
Akteur,lendager,4
Akteur,lxsy,4
Akteur,ramboll,4
Akteur,rotor,4
Akteur,stadt,4
Akteur,zirkular,4
Akteur,architectes,3
Akteur,architekturbuero,3
Akteur,arup,3
Akteur,asam,3
Akteur,asbl,3
Akteur,berlin,3
Akteur,biele,3
Akteur,bureau,3
Akteur,claus,3
Akteur,cleveland,3
Akteur,conclus,3
Akteur,consolis,3
Akteur,construction,3
Akteur,engineering,3
Akteur,engineers,3
Akteur,finland,3
Akteur,gmbh,3
Akteur,herv,3
Akteur,iemb,3
Akteur,imd,3
Akteur,ingenieurs,3
Akteur,mettke,3
Akteur,parma,3
Akteur,partners,3
Akteur,partnership,3
Akteur,raadgevende,3
Akteur,steel,3
Akteur,superuse,3
Akteur,umacon,3
Aufbereitungsmethode,reinigung,4
Aufbereitungsmethode,zuschnitt,4
Aufbereitungsmethode,demontage,3
Bauteil,holz,10
Bauteil,stahltraeger,8
Bauteil,tueren,8
Bauteil,fenster,7
Bauteil,stahl,7
Bauteil,ziegel,6
Bauteil,decken,5
Bauteil,gelaender,5
Bauteil,hohlkoerperdecken,5
Bauteil,sanitaer,5
Bauteil,als,4
Bauteil,betonbloecke,4
Bauteil,fensterrahmen,4
Bauteil,innenwaende,4
Bauteil,leuchten,4
Bauteil,radiatoren,4
Bauteil,stuetzen,4
Bauteil,aluminium,3
Bauteil,bodenplatten,3
Bauteil,core,3
Bauteil,fliesen,3
Bauteil,glas,3
Bauteil,hollow,3
Bauteil,sanitaerobjekte,3
Bauteil,slabs,3
Bauteil,steel,3
Bauteil,toiletten,3
Bauteil,treppen,3
Bauteil,wand,3
Datenmodell,material,3
Donor-Gebäude,als,3
Fallstudie,house,16
Fallstudie,berlin,7
Fallstudie,pilot,6
Fallstudie,pavilion,5
Fallstudie,centre,4
Fallstudie,crclr,4
Fallstudie,brussels,3
Fallstudie,maison,3
Fallstudie,pavillon,3
Gebaeude,einfamilienhaus,8
Gebaeude,ehemalige,7
Gebaeude,ehemaliges,7
Gebaeude,spender,6
Gebaeude,house,5
Gebaeude,basel,4
Gebaeude,lysbuechelareal,4
Gebaeude,areal,3
Gebaeude,buerogebaeude,3
Gebaeude,kindl,3
Gebaeude,plattenbau,3
Gebaeude,wohnhaus,3
Huerde,abgrenzung,3
Huerde,gewaehrleistung,3
Huerde,kosten,3
Huerde,nicht,3
Kennwert,materialien,9
Kennwert,reused,9
Kennwert,einsparung,8
Kennwert,jahre,8
Kennwert,reduktion,7
Kennwert,steel,7
Kennwert,bauteilalter,5
Kennwert,stahl,4
Kennwert,vermieden,4
Kennwert,bgf,3
Kennwert,bis,3
Kennwert,carbon,3
Kennwert,embodied,3
Kennwert,eur,3
Kennwert,gegenueber,3
Kennwert,material,3
Kennwert,recycled,3
Kennwert,salvaged,3
Kennwert,unbekannt,3
Kennwert,ziegel,3
Logistik,lokale,4
Logistik,cleveland,3
Logistik,kran,3
Logistik,laut,3
Logistik,steel,3
Logistik,tieflader,3
Logistik,transport,3
Material,holz,16
Material,stahl,13
Material,beton,9
Material,stahlbetonfertigteile,9
Material,glas,5
Material,ziegel,5
Material,spannbeton,4
Material,stroh,4
Material,wbs70,4
Material,backstein,3
Material,fenster,3
Material,fertigbeton,3
Material,hanf,3
Material,lehm,3
Methode,design,10
Methode,disassembly,7
Methode,bauteiljagd,5
Methode,lca,3
Norm_Recht,unbekannt,19
Norm_Recht,kontext,3
Norm_Recht,listed,3
Ort,berlin,8
Ort,london,8
Ort,rue,8
Ort,belgien,7
Ort,bruessel,7
Ort,deutschland,7
Ort,niederlande,6
Ort,areal,5
Ort,basel,5
Ort,neukoelln,4
Ort,usa,4
Ort,brandenburg,3
Ort,copenhagen,3
Ort,daenemark,3
Ort,paris,3
Ort,zuerich,3
Projekt,extension,5
Projekt,neubau,5
Projekt,aufstockung,4
Projekt,berlin,3
Projekt,kultur,3
Projekt,transformation,3
Projekt,wbs70,3
Projekt,winterthur,3
Projekt,zero,3
Prozessphase,rueckbau,5
Prozessphase,wiedereinbau,3
Pruefung,unbekannt,16
Pruefung,testing,6
Pruefung,analyse,3
Pruefung,iemb,3
Pruefung,tests,3
Reuse_Strategie,bauteilwiederverwendung,30
Reuse_Strategie,situ,29
Reuse_Strategie,materialwiederverwendung,8
Reuse_Strategie,bauteil,5
Reuse_Strategie,adaptive,4
Reuse_Strategie,partielle,3
Reuse_Strategie,remontage,3
Reuse_Strategie,site,3
Schadstoff,unbekannt,9
Software/Tool,unbekannt,3
Spendergebäude,herkunft,5
Tragwerkssystem,system,5
Tragwerkssystem,holzbau,4
Tragwerkssystem,holz,3
Tragwerkssystem,traeger,3
Verbindung,unbekannt,3
Werkzeug,unbekannt,9
Wirtschaft,unbekannt,13
Wirtschaft,mio,3
