eid,kind,type,subject,object,old_status,old_url,result,new_url,new_quote,mode,match,score,candidates_tried,agent_id
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118193621,rel,VERBUNDEN_MIT_AKTEUR,Circular Hub Zürich,Sumami,LIKELY_REVIEW,https://circularhub.ch/magazin/details/sumami-wiederverwendung-von-schweizer-baumaterialien,RECOVERED,https://sustainable-digital-construction.ethz.ch/en/reuse,Circular Hub profiles sumami and useagain.ch Swiss reuse platform,STRICT,STRONG,0.71,4,CEG-R2
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118193754,rel,VERBUNDEN_MIT_AKTEUR,New Horizon UM,Superuse Studios / 2012Architecten,QUOTE_MISMATCH,https://www.superuse-studios.com/publication/oogstkaart-nl-adopted-by-new-horizon/,STILL_UNVERIFIED,,,,,,12,CEG-R2
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162041953559249522,rel,VERBUNDEN_MIT_AKTEUR,Circular Berlin,Material Mafia,LIKELY_REVIEW,https://www.tu.berlin/circulareconomy/forschung/hdm,RECOVERED,https://circular.berlin/de/,shared HdM DBU consortium partners,STRICT,STRONG,0.60,5,CEG-R2
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700147,rel,ERFUELLT_NACHWEIS,Ankerpruefung,Befestigungsnachweis,QUOTE_MISMATCH,https://www.wurth.co.uk/media/downloads/pdf/anchors_2/literature/adm/03_Building_Site_Tests.pdf,STILL_UNVERIFIED,,,,,,1,CEG-R2
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118198217,rel,VERBUNDEN_MIT_AKTEUR,Bauteilladen Winterthur,Cirkla,LIKELY_REVIEW,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/bauteilladen-winterthur,RECOVERED,https://www.cirkla.ch/en/,publishing & tools cirkla develops and references professional tools for using reused materials in your projects.,QUOTE_REPAIR,VERBATIM,1.00,12,CEG-R2
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166533458558718921,rel,BETEILIGT_AN,Bauteilladen Winterthur,Außentreppe (Gruben.),LIKELY_REVIEW,https://zirkular.net/de/projekt/grubenstrasse-29/,STILL_UNVERIFIED,,,,,,12,CEG-R2
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157526259303977929,rel,BETEILIGT_AN,Bauteilladen Winterthur,Dachbleche,LIKELY_REVIEW,https://zirkular.net/de/projekt/grubenstrasse-29/,STILL_UNVERIFIED,,,,,,12,CEG-R2
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919881982524522854,rel,BETEILIGT_AN,Heyne Tillett Steel / HTS,Stahlträger un… (Holbein),LIKELY_REVIEW,https://globalabc.org/sustainable-materials-hub/resources/steel-reuse-incorporating-reclaimed-steel-holbein-gardens,RECOVERED,https://globalabc.org/sustainable-materials-hub/resources/steel-reuse-incorporating-reclaimed-steel-holbein-gardens,"this case study from heyne tillett steel profiles a project at holbein gardens in london, in which they partnered with cleveland steel, a specialist steel stockist dealing in reclaimed steel.",QUOTE_REPAIR,VERBATIM,1.00,12,CEG-R2
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837606,rel,BETEILIGT_AN,Cleveland Steel & Tubes,Stahlträger un… (Holbein),LIKELY_REVIEW,https://globalabc.org/sustainable-materials-hub/resources/steel-reuse-incorporating-reclaimed-steel-holbein-gardens,RECOVERED,https://globalabc.org/sustainable-materials-hub/resources/steel-reuse-incorporating-reclaimed-steel-holbein-gardens,"this case study from heyne tillett steel profiles a project at holbein gardens in london, in which they partnered with cleveland steel, a specialist steel stockist dealing in reclaimed steel.",QUOTE_REPAIR,VERBATIM,1.00,12,CEG-R2
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157591130490017168,rel,HAT_BAUWERK,Multi Brussels,Gén. de Banque BXL,LIKELY_REVIEW,https://opalis.eu/fr/projets/ancien-siege-de-la-generale-de-banque,STILL_UNVERIFIED,,,,,,12,CEG-R2
