eid,kind,type,subject,object,old_status,old_url,result,new_url,new_quote,mode,match,score,candidates_tried,agent_id
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:423,node,Programm,SWIRCULAR,,QUOTE_MISMATCH,https://swircular.ethz.ch/the-project.html,STILL_UNVERIFIED,,,,,,1,CEG-R4
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:555,node,Bauwerk,Gén. de Banque BXL,,QUOTE_MISMATCH,https://opalis.eu/fr/projets/ancien-siege-de-la-generale-de-banque,STILL_UNVERIFIED,,,,,,1,CEG-R4
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:568,node,Projekt,OXY Centre Monnaie,,LIKELY_REVIEW,https://rotordb.org/en/news/material-donnerie-oxy-friday-25-november,RECOVERED,https://rotordb.org/en/news/material-donnerie-oxy-friday-25-november,"which is what will be happening this friday, 25 november, at the centre monnaie (aka oxy).",QUOTE_REPAIR,VERBATIM,1.00,3,CEG-R4
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:781,node,PruefungNachweis,EPD- oder LCA-Nachweis,,QUOTE_MISMATCH,https://www.gebaeudeforum.de/wissen/nachhaltiges-bauen-und-sanieren/lebenszyklusbetrachtung/oekobilanzierung-lca/,STILL_UNVERIFIED,,,,,,1,CEG-R4
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:783,node,PruefungNachweis,Materialpass oder DPP,,QUOTE_MISMATCH,https://green-forum.ec.europa.eu/implementing-ecodesign-sustainable-products-regulation_en,STILL_UNVERIFIED,,,,,,1,CEG-R4
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:784,node,PruefungNachweis,Barrierefreiheitsaudit,,QUOTE_MISMATCH,https://www.baunormenlexikon.de/norm/din-18040-1/c099c3ee-ecd0-48ed-9d9d-ec0f84970d53,STILL_UNVERIFIED,,,,,,1,CEG-R4
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:785,node,PruefungNachweis,Elektrosicherheitsprüfung,,QUOTE_MISMATCH,https://www.elektrofachkraft.de/pruefung/elektrotechnische-erstpruefung-wiederholungspruefung,STILL_UNVERIFIED,,,,,,1,CEG-R4
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4935,node,Materialdepot,Ehemalige Lager-/Fasslad…,,QUOTE_MISMATCH,https://www.buildingsocialecology.org/projects/crclr-house-berlin/,STILL_UNVERIFIED,,,,,,1,CEG-R4
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5263,node,Software,Restado,,QUOTE_MISMATCH,https://restado.de/ueber-restado/,STILL_UNVERIFIED,,,,,,3,CEG-R4
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5520,node,Projekt,Multi Brussels,,LIKELY_REVIEW,https://rotordb.org/en/projects/reuse-multi-project,STILL_UNVERIFIED,,,,,,1,CEG-R4
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5870,node,Materialdepot,Verbiest Lagerhaus zu…,,QUOTE_MISMATCH,https://ica-wb.be/en/node/1684,STILL_UNVERIFIED,,,,,,2,CEG-R4
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6387,node,Programm,Architecture of Reuse…,,QUOTE_MISMATCH,https://rotordb.org/en/projects/architecture-reuse-brussels,STILL_UNVERIFIED,,,,,,1,CEG-R4
