anchor_id,evidence_url_count,evidence_urls,schema_status
bauteilboerse_basel_overall,4,https://bauteilboerse-basel.ch/;https://bauteilboerse-basel.ch/bauteile/;https://bauteilboerse-basel.ch/nachhaltigkeit/;https://bauteilboerse-basel.ch/ueber-uns/,IMPORT_READY_BELEGT_IN_2PLUS
wick_reuse_roto_baumarkt,3,https://wickreuse.ch/baumarkt/;https://wickreuse.ch/demontage/;https://www.ricardo.ch/de/shop/ReUse_Baumarkt/offers/,IMPORT_READY_BELEGT_IN_2PLUS
btvz_zuerichsee_oberland,4,https://www.btvz.ch/angebote/;https://www.btvz.ch/so-funktioniert-es/;https://www.btvz.ch/portraet/;https://www.btvz.ch/suchliste/,IMPORT_READY_BELEGT_IN_2PLUS
reuzi_ch,3,https://reuzi.ch/;https://reuzi.ch/agora/;https://www.immobilier.ch/fr/actualite/reuzi-ressource-les-chantiers-avec-du-reemploi-13814,IMPORT_READY_BELEGT_IN_2PLUS
materiuum_geneve_ressourcerie,4,https://materiuum.ch/boutique/;https://materiuum.ch/ressourcerie-espace-magasin-shop-geneve/;https://materiuum.ch/lassociation/;https://materiuum.ch/deconstruction-et-valorisation/,IMPORT_READY_BELEGT_IN_2PLUS
gruner_reuse_platform,4,https://www.gruner-reuse.ch/;https://www.gruner-reuse.ch/produkte;https://www.gruner-reuse.ch/projekt;https://www.gruner.ch/de/news/alt-wird-neu-zweites-leben-fuer-gebrauchte-bauteile-mit-gruner-reuse,IMPORT_READY_BELEGT_IN_2PLUS
syphon_ag_bauteilboerse_biel_bruegg,3,https://syphon.ch/vente-de-materiaux/;https://syphon.ch/;https://www.syphon.ch/,IMPORT_READY_BELEGT_IN_2PLUS
hiltbrunner_reuse_riedtwil_wiederverwendung,3,https://www.wiederverwendung.ch/;https://shop.wiederverwendung.ch/de/434/gebrauchte-bauteile-occasion-bauteile;https://shop.wiederverwendung.ch/,IMPORT_READY_BELEGT_IN_2PLUS
bauteilverwertung_koeppel_klein,3,https://www.bauteilverwertung.ch/verkauf.html;https://www.bauteilverwertung.ch/;https://www.bauteilverwertung.ch/abbruch.html,IMPORT_READY_BELEGT_IN_2PLUS
archipel_sion_ressourcerie,3,https://archipelsion.ch/ressourcerie/inventaire/;https://archipelsion.ch/;https://archipelsion.ch/evenements/,IMPORT_READY_BELEGT_IN_2PLUS
ressourcerie_lausanne_materiuum_ruul,3,https://materiuum.ch/ressourcerie-lausanne-magasin-shop/;https://materiuum.ch/boutique/;https://materiuum.ch/deconstruction-et-valorisation/,IMPORT_READY_BELEGT_IN_2PLUS
la_ressourcerie_fribourg,3,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux;https://www.la-ressourcerie.ch/projets;https://www.la-ressourcerie.ch/,IMPORT_READY_BELEGT_IN_2PLUS
ggzatwork_laden2_bauteile_zug,3,https://ggzatwork.ch/gaeste/laden2/laden-2-bauteile;https://ggzatwork.ch/auftragskunden/demontage-montage;https://ggzatwork.ch/auftragskunden/raeumung-entsorgung,IMPORT_READY_BELEGT_IN_2PLUS
stiftung_chance_bauteile_zuerich_glattbrugg,3,https://www.chance.ch/dienstleistungen/bauteile;https://www.chance.ch/dienstleistungen;https://www.chance.ch/produkte,IMPORT_READY_BELEGT_IN_2PLUS
salza,3,https://salza.ch/;https://salza.ch/bauteil-plattform;https://salza.ch/searchinfo,IMPORT_READY_BELEGT_IN_2PLUS
baumatpool_ch,3,https://www.baumatpool.ch/de/;https://www.baumatpool.ch/de/content/impressum/;https://www.baumatpool.ch/de/content/faq/,IMPORT_READY_BELEGT_IN_2PLUS
