anchor_id,name,evidence_urls,materials,bauteiltypen,required_edges_status
bauteilboerse_basel_overall,Bauteilbörse Basel,4,1,4,OK
wick_reuse_roto_baumarkt,Wick ReUse / ROTO Baumarkt,3,2,5,OK
btvz_zuerichsee_oberland,Bauteilvermittlung Zürichsee-Oberland,4,2,5,OK
reuzi_ch,REUZI,3,2,5,OK
materiuum_geneve_ressourcerie,Matériuum Genève Ressourcerie,4,4,8,OK
gruner_reuse_platform,Gruner ReUse,4,0,8,OK
syphon_ag_bauteilboerse_biel_bruegg,Syphon AG Bauteilbörse Biel-Brügg,3,0,4,OK
hiltbrunner_reuse_riedtwil_wiederverwendung,ReUse Recycling Center Riedtwil / wiederverwendung.ch,3,0,4,OK
bauteilverwertung_koeppel_klein,Bauteilverwertung Köppel & Klein,3,0,4,OK
archipel_sion_ressourcerie,Archipel Sion Ressourcerie,3,5,6,OK
ressourcerie_lausanne_materiuum_ruul,Ressourcerie Lausanne / Matériuum / R-UUL,3,2,4,OK
la_ressourcerie_fribourg,La Ressourcerie Fribourg,3,3,4,OK
ggzatwork_laden2_bauteile_zug,GGZ@WORK Laden 2 Bauteile Zug,3,0,4,OK
stiftung_chance_bauteile_zuerich_glattbrugg,Stiftung Chance BauTeile Zürich / Glattbrugg,3,0,2,OK
salza,Salza,3,0,0,OK
baumatpool_ch,Baumatpool.ch,3,1,9,OK
