candidate_name,primary_id,current_labels,evidence,action,target,op,op_args,strip_projekt,confidence,notes
Circle House,p_circle_house,Projekt,none,delete_cascade,,delete_node[+cascade],"{""cascade_ops"": [{""op"": ""delete_node"", ""id"": ""kw_p_circle_house_reuse_share_0"", ""reason"": ""Cascade with p_circle_house: exclusive Kennwert"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_node_no_source__p_circle_house"", ""reason"": ""Cascade with p_circle_house: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6922137080873096900"", ""reason"": ""Cascade with p_circle_house: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119718"", ""reason"": ""Cascade with p_circle_house: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917675262687578390"", ""reason"": ""Cascade with p_circle_house: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7059529854856730660"", ""reason"": ""Cascade with p_circle_house: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155320638978660459"", ""reason"": ""Cascade with p_circle_house: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155320638978660491"", ""reason"": ""Cascade with p_circle_house: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155320638978660590"", ""reason"": ""Cascade with p_circle_house: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153068839164975672"", ""reason"": ""Cascade with p_circle_house: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_node_source_url_review__p_circle_house"", ""reason"": ""Cascade with p_circle_house: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_no_src_p_circle_house"", ""reason"": ""Cascade with p_circle_house: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""p_circle_house"", ""reason"": ""User rule 1: non-reuse, non-reclaimed. Evidence: no donor/receiver/wva/nutzt/aufbereitung. Quellen=0."", ""severity"": ""MEDIUM""}]}",false,high,Real-world neighbours NOT cascaded — surface for review: kasper_guldager_jensen (Akteur)
OBK 27,p_obk_27,Projekt,none,delete_cascade,,delete_node[+cascade],"{""cascade_ops"": [{""op"": ""delete_node"", ""id"": ""q_obk_27_md"", ""reason"": ""Cascade with p_obk_27: exclusive project-scoped Dossier (id contains project slug)"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_section8_missing__p_obk_27"", ""reason"": ""Cascade with p_obk_27: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153028157234743041"", ""reason"": ""Cascade with p_obk_27: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153068839164975669"", ""reason"": ""Cascade with p_obk_27: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153068839164975679"", ""reason"": ""Cascade with p_obk_27: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_node_source_url_review__p_obk_27"", ""reason"": ""Cascade with p_obk_27: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""p_obk_27"", ""reason"": ""User explicit conditional: delete unless graph evidence proves reclaimed components. None found."", ""severity"": ""MEDIUM""}]}",false,high,Real-world neighbours NOT cascaded — surface for review: cyril_pressacco (Akteur); thibaut_barrault (Akteur)
Careno Be.Circular (REMOVE per user 2026-05-31),p_careno_becircular,Projekt,none,delete_cascade,,delete_node[+cascade],"{""cascade_ops"": [{""op"": ""delete_node"", ""id"": ""bg_reuse_glas_keramik_boden_careno_historic_tiles"", ""reason"": ""Cascade with p_careno_becircular: exclusive Bauteilgruppe"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""bg_reuse_glas_keramik_boden_careno_retile_cleaned"", ""reason"": ""Cascade with p_careno_becircular: exclusive Bauteilgruppe"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""bg_reuse_glas_keramik_boden_careno_rotor_stock"", ""reason"": ""Cascade with p_careno_becircular: exclusive Bauteilgruppe"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_section8_missing__p_careno_becircular"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676602962"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164281658745035139"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117664644"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153005067490564519"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6922116190152167992"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211492263"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723120039"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162035356489488807"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153033654792886695"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155285454606571943"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157537254420257191"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153044649909164455"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153064441118464423"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153020460653353383"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159775860094409127"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157524060280723879"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162027659908094375"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155272260467038631"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153054545513814439"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155306345327499687"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917662068548047499"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7347760231008442404"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155320638978660802"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155320638978660826"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_node_source_url_review__p_careno_becircular"", ""reason"": ""Cascade with p_careno_becircular: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""p_careno_becircular"", ""reason"": ""User instruction 2026-05-31: remove Careno completely with all related project-scoped aux nodes (Bauteilgruppe, etc.). No donor/receiver/wva/nutzt — does not meet reclaimed-component criteria."", ""severity"": ""MEDIUM""}]}",false,high,Real-world neighbours NOT cascaded — surface for review: tool_retile (Software+Tool); brussels_capital_region (Akteur); meth_wiederverwendungskriterien (Methode); bbri (Akteur)
Eggshell Pavilion (REMOVE per user 2026-05-31),p_eggshell_pavilion,Projekt,none,delete_cascade,,delete_node[+cascade],"{""cascade_ops"": [{""op"": ""delete_node"", ""id"": ""bg_reuse_mehrere_mehrere_eggshell_recycled_structure"", ""reason"": ""Cascade with p_eggshell_pavilion: exclusive Bauteilgruppe"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_section8_missing__p_eggshell_pavilion"", ""reason"": ""Cascade with p_eggshell_pavilion: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153000669444047429"", ""reason"": ""Cascade with p_eggshell_pavilion: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153005067490558533"", ""reason"": ""Cascade with p_eggshell_pavilion: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155272260467032645"", ""reason"": ""Cascade with p_eggshell_pavilion: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153020460653347397"", ""reason"": ""Cascade with p_eggshell_pavilion: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211486277"", ""reason"": ""Cascade with p_eggshell_pavilion: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114053"", ""reason"": ""Cascade with p_eggshell_pavilion: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155279957048427077"", ""reason"": ""Cascade with p_eggshell_pavilion: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153033654792880709"", ""reason"": ""Cascade with p_eggshell_pavilion: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_node_source_url_review__p_eggshell_pavilion"", ""reason"": ""Cascade with p_eggshell_pavilion: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""p_eggshell_pavilion"", ""reason"": ""User instruction 2026-05-31: remove Eggshell completely with all related project-scoped aux nodes. No donor/receiver/wva/nutzt — does not meet reclaimed-component criteria."", ""severity"": ""MEDIUM""}]}",false,high,Real-world neighbours NOT cascaded — surface for review: stadt_weil_am_rhein (Stadt)
Granby Workshop Liverpool (REMOVE per user 2026-05-31 — override),p_granby_workshop,Projekt,RECLAIMED_PROOF nutzt=1,delete_cascade,,delete_node[+cascade],"{""cascade_ops"": [{""op"": ""delete_node"", ""id"": ""q_granby_workshop_liverpool_md"", ""reason"": ""Cascade with p_granby_workshop: exclusive project-scoped Dossier (id contains project slug)"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""bg_reuse_mehrere_boden_granby_rock_terrazzo"", ""reason"": ""Cascade with p_granby_workshop: exclusive Bauteilgruppe"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""bg_reuse_ziegel_boden_granby_brick_slate_terrazzo"", ""reason"": ""Cascade with p_granby_workshop: exclusive Bauteilgruppe"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""bg_reuse_mehrere_boden_granby_bespoke_waste"", ""reason"": ""Cascade with p_granby_workshop: exclusive Bauteilgruppe"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""bg_reuse_glas_keramik_ausbau_granby_first_house_products"", ""reason"": ""Cascade with p_granby_workshop: exclusive Bauteilgruppe"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_section8_missing__p_granby_workshop"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676603083"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676603084"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676603085"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152984176769636596"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153005067490564340"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153020460653353204"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155272260467038452"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211492084"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119860"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159783556675803380"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153033654792886516"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155285454606571764"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157537254420257012"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159789054233942260"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153054545513814260"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155306345327499508"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153064441118464244"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676608763"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7169868045727307812"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153068839164975388"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""di_node_source_url_review__p_granby_workshop"", ""reason"": ""Cascade with p_granby_workshop: exclusive DataIssue"", ""severity"": ""LOW""}, {""op"": ""delete_node"", ""id"": ""p_granby_workshop"", ""reason"": ""User instruction 2026-05-31: remove Granby Workshop with all relations including Bauteilgruppe. Overrides prior keep-decision (graph had NUTZT_BAUWERK=1 + HAT_BAUTEILGRUPPE=4 reclaimed evidence)."", ""severity"": ""MEDIUM""}]}",false,high,"EXPLICIT USER OVERRIDE — graph evidence proved reclaimed components, but user instructs removal. Real-world neighbours NOT cascaded — surface for review: bw_granby_workshop_liverpool (Bauwerk); stadt_liverpool (Stadt); lewis_jones (Akteur); will_shannon (Akteur); granby_workshop_cic (Akteur); granby_4_streets_clt (Akteur); assemble (Akteur)"
Big Dig Building,p_big_dig_building_boston,Projekt,RECLAIMED_PROOF wva=2 nutzt=2,keep,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""p_big_dig_building_boston"", ""reason"": ""User rule 2: status=[status_prototyp, status_verworfen, status_vorgeschlagen] but reclaimed_proof=true (wva=2, nutzt=2). Keep."", ""severity"": ""LOW""}",false,high,Has matching p_big_dig_building_boston.kg.jsonl source record.
Roots in the Sky / Blackfriars,p_roots_in_the_sky_blackfriars_crown_court,Projekt,RECLAIMED_PROOF wva=3 nutzt=1,keep,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""p_roots_in_the_sky_blackfriars_crown_court"", ""reason"": ""User rule 2: status=[status_geplant, status_verworfen] but reclaimed_proof=true (wva=3, nutzt=1, 92 outgoing BELEGT_IN). Keep — flagship planned-reuse case."", ""severity"": ""LOW""}",false,high,
FCRBE (canonical exists),prog_fcrbe,Programm,none,keep,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""prog_fcrbe"", ""reason"": ""Already :Programm (status=concluded). Merge target for p_interreg_nwe_fcrbe."", ""severity"": ""LOW""}",false,high,
Interreg NWE FCRBE (stub),p_interreg_nwe_fcrbe,Projekt,none,merge,prog_fcrbe,merge_node,"{""op"": ""merge_node"", ""from"": ""p_interreg_nwe_fcrbe"", ""to"": ""prog_fcrbe"", ""reason"": ""User reclassify: FCRBE → Programm. Canonical exists."", ""severity"": ""MEDIUM""}",true,high,
REFAIR Bordeaux,software_refair,Software,none,absent_from_graph,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""software_refair"", ""reason"": ""No :Projekt for REFAIR. Already :Software (software_refair) + :Akteur (refair_bordeaux). No action."", ""severity"": ""LOW""}",false,high,
