entity,group,property,total_in_group,nodes_or_rels_with_property,coverage_pct,missing_count,types,type_drift,empty_count,unique_values_seen_cap_1001,action,priority,reason,sample_values
node,Akteur,_archive,669,122,18.24,547,str:122,,0,121,drop_candidate,P1,generated/import/cache/debug metadata,"{""note"":""IEMB/TU-Berlin-Kontext; genaue Projektrolle nicht vollständig öffentlich belegt.""} || {""note"":""Forschungs-/Prüfungskontext.""} || {""note"":""Architekturrolle laut Pressekontext; konkrete Projektverantwortung prüfen.""} || {""note"":""Namensschreibung und exakte Zuordnung sind in den Quellen uneinheitlich.""}"
node,Akteur,actor_registry_loader_seen,669,187,27.95,482,str:187,,0,1,drop_candidate,P1,generated/import/cache/debug metadata,agent10
node,Akteur,actor_registry_order,669,1,0.15,668,int:1,,0,1,review_sparse,P2,sparse property; verify it is not one-off import residue,66
node,Akteur,akteur_kontext_text,669,1,0.15,668,str:1,,0,1,drop_candidate,P0,known legacy/intake key from older cleanup plans,Werner Sobek / UMAR
node,Akteur,aliases,669,16,2.39,653,list[str]:16,,0,16,review_keep_if_used,P2,human curation aid; keep only if actively queried,"[""IMd raadgevende ingenieurs""] || [""bauburo_in_situ"",""baubüro in situ""] || [""Cleveland Steel and Tubes""] || [""opera_pm""]"
node,Akteur,candidate_source_count,669,553,82.66,116,int:553,,0,39,drop_candidate,P0,derivable by query; should not live as stored property,8 || 163 || 15 || 6
node,Akteur,candidate_source_status,669,553,82.66,116,str:553,,0,1,drop_candidate,P1,generated/import/cache/debug metadata,needs_fact_url_review
node,Akteur,candidate_source_urls,669,553,82.66,116,list[str]:553,,0,106,drop_candidate,P1,generated/import/cache/debug metadata,"[""https://asbp.org.uk/case-studies/55-great-suffolk-street"",""https://www.nla.london/projects/55-great-suffolk-street"",""https://www.hawkinsbrown.com/projects/55-great-suffolk-street"",""https://www.operapm.co.uk/place/our-… || [""https://www.hft-stuttgart.com/research/projects/current/stuttgart-210-ii"",""https://www.archdaily.com/1024776/stuttgart-210-think-ahead-build-on-hft-stuttgart"",""https://klingelhoefer-kroetsch.de/projekte/Stuttgart_210""… || [""https://www.jablonicka.com/work/95%2C6%25-circular-reconstruction-of-offices-for-awm-m%C3%BCnster-"",""https://www.urselmann-interior.de/awm-office"",""https://concular.de/bueroetage-muenster"",""https://awm.stadt-muenster.… || [""https://doi.org/10.1016/j.jclepro.2022.135235"",""https://www.sciencedirect.com/science/article/pii/S0959652622048090"",""https://www.researchgate.net/publication/365763750_Reuse_of_concrete_components_in_new_construction…"
node,Akteur,id,669,669,100.0,0,str:669,,0,669,keep_minimum,P0,identity handle required by constraints and patch tooling,cbre || werner_sobek_p || gardiner_and_theobald || cantillon
node,Akteur,invalid_candidate_source_urls,669,216,32.29,453,list[str]:216,,0,34,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag","["""",""https://t""] || [""https://projecta"",""https://pr""] || [""""] || [""https://ww""]"
node,Akteur,land,669,81,12.11,588,str:81,,0,9,review_relationship_duplicate,P0,likely duplicates graph topology; replace with relationships or aliases only if needed,NL || AT || FR || CH
node,Akteur,migration_origin,669,638,95.37,31,str:638,,0,2,drop_candidate,P1,generated/import/cache/debug metadata,| mig_s5_visibility | mig_qext_b_source_urls | mig_qext_c_primary_source_url || | mig_s5_visibility | mig_qext_b_source_urls
node,Akteur,name,669,669,100.0,0,str:669,,0,668,keep_minimum,P0,human caption / browser display,CBRE || Werner Sobek || Gardiner & Theobald || Cantillon
node,Akteur,name_full,669,81,12.11,588,str:81,,0,81,review_keep_if_distinct,P2,keep only when materially different from name,ABN AMRO Bank N.V. — Circl pavilion client / initiator || BAM Bouw + Techniek (Royal BAM Group) — Circl construction team || Delft University of Technology — Circl research partner + REBRIDGE partner || BIG — Bundesimmobiliengesellschaft m.b.H. — MedUni Campus property client
node,Akteur,primary_source_url,669,134,20.03,535,str:134,,0,68,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag",https://labs.aap.cornell.edu/ccl/umar-unit || https://www.hft-stuttgart.com/research/projects/current/stuttgart-210-ii || https://www.insitu.ch/projekte/196-k-118 || https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house
node,Akteur,raw_role_evidence,669,150,22.42,519,list[str]:150,,0,133,drop_candidate,P1,generated/import/cache/debug metadata,"[""host department (Institut Konstruktives Entwerfen) @ p_reuse_in_construction_zhaw""] || [""ar_bauherr_auftraggeber, ar_betreiber_nutzer @ p_recypark_demets_anderlecht""] || [""ar_architektur @ p_recypark_demets_anderlecht""] || [""ar_tragwerksplanung @ p_recypark_demets_anderlecht""]"
node,Akteur,repair_phase,669,2,0.3,667,str:2,,0,1,review_sparse,P2,sparse property; verify it is not one-off import residue,1.5_1.6_residuals
node,Akteur,repaired_at,669,2,0.3,667,str:2,,0,2,drop_candidate,P1,generated/import/cache/debug metadata,2026-05-21T07:18:07.140000000+00:00 || 2026-05-21T07:18:07.246000000+00:00
node,Akteur,reuse_relevanz_text,669,1,0.15,668,str:1,,0,1,review_sparse,P2,sparse property; verify it is not one-off import residue,UMAR/Systemengineering: zirkuläre Gebäudesysteme und reversibles Bauen; eher Future-Reuse als direkte Bauteil-Reuse.
node,Akteur,review_run,669,31,4.63,638,str:31,,0,1,review_sparse,P2,sparse property; verify it is not one-off import residue,2026-05-28_bauteilboersen_integration
node,Akteur,review_status,669,535,79.97,134,str:535,,0,2,review_domain_property,P3,domain-specific value; decide per label,needs_source_url_review || reviewed_legacy_profile_needs_url_fact_check
node,Akteur,source_count,669,134,20.03,535,int:134,,0,6,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag",1 || 3 || 4 || 5
node,Akteur,source_file,669,1,0.15,668,str:1,,0,1,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag",akteursliste_master.md
