claim_id,from_id,to_id,rel_type,confidence,evidence_url,evidence_quote,notes
cbx_001,insert_marketplace,madaster,VERBUNDEN_MIT_AKTEUR,belegt,https://madaster.com/inspiration/partnership-between-insert-and-madaster/,Insert and Madaster Services signed partner agreement Jan 2019; automatic coupling planned,upgrade existing edge
cbx_002,madaster,madaster_epea,VERBUNDEN_MIT_AKTEUR,belegt,https://madaster.com/inspiration/epea-and-madaster-simplify-measuring-circularity-within-the-built-environment/,EPEA material database linked to Madaster Platform worldwide,same platform family DE/NL ops
cbx_003,concular,software_restado,VERBUNDEN_MIT_AKTEUR,belegt,https://restado.de/hilfe/impressum/,restado ist eine Marke der Concular GmbH,complements legacy BETRIEBEN_VON
cbx_004,opalis,prog_preuse,BETEILIGT_AN,belegt,https://opalis.eu/en/about/,Opalis maintained by Rotor and Bellastock as part of PREUSE 2024-2027,programme tool link
cbx_005,software_restado,opalis,VERBUNDEN_MIT_AKTEUR,teilweise_belegt,https://reuse-rlp.de/fachinformationen,ReUse RLP lists opalis.eu directory and peer national reuse platforms,European infrastructure peer
cbx_006,software_restado,insert_marketplace,VERBUNDEN_MIT_AKTEUR,teilweise_belegt,https://circulareconomy.europa.eu/platform/en/dialogue/existing-eu-platforms/restado,ECESP restado + Insert as NL marketplace; passport-to-marketplace layer,DE marketplace ↔ NL marketplace
cbx_007,cirkla,software_restado,VERBUNDEN_MIT_AKTEUR,teilweise_belegt,https://reuse-rlp.de/fachinformationen,ReUse RLP lists cirkla.ch Swiss umbrella alongside European reuse directories,CH ↔ DE cross-bubble
cbx_008,sumami,cirkla,VERBUNDEN_MIT_AKTEUR,belegt,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/sumami/,sumami GmbH operates useagain.ch in Cirkla directory,Swiss hub enrichment
cbx_009,sumami,eth_zuerich,VERBUNDEN_MIT_AKTEUR,belegt,https://sustainable-digital-construction.ethz.ch/en/reuse,ETH Zurich collaborates with Sumami on reuse scanning and useagain,Swiss research-industry
cbx_010,sumami,circular_hub_zurich,VERBUNDEN_MIT_AKTEUR,belegt,https://circularhub.ch/magazin/details/sumami-wiederverwendung-von-schweizer-baumaterialien,Circular Hub use case profile for sumami/useagain,Swiss media network
cbx_011,kunst_stoffe_ev,material_mafia,VERBUNDEN_MIT_AKTEUR,belegt,https://www.tu.berlin/circulareconomy/forschung/hdm,shared HdM DBU Reallabor consortium,HdM cluster
cbx_012,kunst_stoffe_ev,circular_berlin,VERBUNDEN_MIT_AKTEUR,belegt,https://hausdermaterialisierung.org/info/,Circular City and Kunst-Stoffe HdM consortium partners,HdM cluster
cbx_013,rotordc,whitewood,VERBUNDEN_MIT_AKTEUR,belegt,https://rotordb.org/en/projects/oxy-centre-monnaie,OXY Centre Monnaie commissioner,Rotor-DC hub
cbx_014,rotordc,immobel,VERBUNDEN_MIT_AKTEUR,belegt,https://rotordb.org/en/projects/oxy-centre-monnaie,OXY Centre Monnaie commissioner,Rotor-DC hub
cbx_015,brussels_environment,opalis,VERBUNDEN_MIT_AKTEUR,belegt,https://opalis.eu/en/about/,Brussels Environment funds PREUSE Opalis maintenance,BE programme bridge
cbx_016,useagain_bauteilclick,software_restado,VERBUNDEN_MIT_AKTEUR,teilweise_belegt,https://reuse-rlp.de/fachinformationen,CH useagain and DE restado as European marketplace peers,CH ↔ DE
cbx_017,city_of_utrecht,madaster,VERBUNDEN_MIT_AKTEUR,belegt,https://preuse.nweurope.eu/blog/preuse-news-64/official-opening-of-the-utrecht-reuse-centre-979,Utrecht PREUSE pilot + NL passport layer,NL cross-bubble upgrade
