entity,action,priority,pairs,property_occurrences
node,drop_or_archive_meta_node,P0,12,195157
node,keep_minimum,P0,129,54509
node,review_relationship_duplicate,P0,39,43734
relationship,keep_minimum,P0,69,69727
node,keep_minimum,P1,30,31286
node,keep_or_model_fact,P1,7,1602
node,move_to_provenance_model,P1,316,168445
relationship,review_keep_or_provenance,P1,77,27485
relationship,review_keep_or_source_edge,P1,802,348440
node,review_keep_if_distinct,P2,20,778
node,review_keep_if_used,P2,20,90
node,review_sparse,P2,39,474
relationship,review_duplicate_id,P2,3,12235
relationship,review_sparse,P2,17,211
node,review_domain_property,P3,155,44354
relationship,review_domain_property,P3,123,109442
