canonical_name,node_id,n_files,n_variants,rollen,variants,files
Claus Asam,Claus_Asam,7,7,Lehrstuhl,"Claus Asam, IEMB/TU Berlin; Claus Asam; Impact Hub Berlin; TU Berlin; IEMB, Leitung Claus Asam; TU Berlin Fachgebiet Bauphysik und Baukonstruktionen; BIM_Berlin",BOELL_LAB_Berlin.md; Berlin_Schildow_Pilot_House.md; Berlin_Schildow_Pilot_House_2.md; Impact_Hub_Berlin_CRCLR_Fitout.md; Mehrow_Pilot_House.md; Plattenpalast_Berlin.md; Plattenvereinigung_Berlin.md
Rotor,Rotor,4,3,,Rotor asbl-vzw; Rotor; Rotor asbl,Chiro_d_Itterbeek_Dilbeek.md; Multi_Brussels_Reuse_in_MULTI.md; Recypark_Demets_Anderlecht.md; Zinneke_Feder_Masui4ever_Brussels.md
Zirkular GmbH,Zirkular_Gmbh,4,2,,Zirkular; Zirkular GmbH,ELYS_Kultur_Gewerbehaus_Basel.md; Juch_Areal_Recyclingzentrum_Zuerich.md; K118_Kopfbau_Halle_118_Winterthur.md; Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Ramboll Finland,Ramboll_Finland,4,2,,Ramboll Finland; Ramboll,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Hastings_Pier_Visitor_Centre.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md; Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Lendager,Lendager,4,3,Architekt,Lendager Group; Lendager Architects; Lendager,Resource_Rows_Copenhagen.md; Svanen_Kindergarten_Gladsaxe.md; TRAE_High_Rise_Aarhus.md; Upcycle_Studios_Copenhagen.md
Cleveland Steel and Tubes,Cleveland_Steel_And_Tubes,3,2,,Cleveland Steel and Tubes; Cleveland Steel,55_Great_Suffolk_Street_London.md; Brent_Cross_Town_Primary_Substation_London.md; House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Arup,Arup,3,1,,Arup,BedZED_London_Hackbridge.md; Brent_Cross_Town_Primary_Substation_London.md; Peoples_Pavilion_Eindhoven.md
Architekturbüro Conclus,Architekturbuero_Conclus,3,2,,Architekturbüro Conclus; Conclus,Berlin_Schildow_Pilot_House.md; Berlin_Schildow_Pilot_House_2.md; Mehrow_Pilot_House.md
Hervé Biele,Herv_Biele,3,2,,Hervé Biele bzw. Joel Biele; Hervé Biele,Berlin_Schildow_Pilot_House.md; Berlin_Schildow_Pilot_House_2.md; Mehrow_Pilot_House.md
IMd Raadgevende Ingenieurs,Imd_Raadgevende_Ingenieurs,3,2,,IMd Raadgevende Ingenieurs; IMd raadgevende ingenieurs,BioPartner_5_Leiden_Oegstgeest.md; Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md; Montessori_Maassluis.md
Superuse Studios,Superuse_Studios,3,1,Architekt,Superuse Studios,BlueCity_Offices_Rotterdam.md; Villa_Welpeloo_Enschede.md; Woongroep_Boschgaard_Den_Bosch.md
