canonical_name,node_id,n_files,n_variants,variants,files
HTS Reused Steel Stockmatcher,Hts_Reused_Steel_Stockmatcher,2,2,HTS Stockmatcher; HTS Reused Steel Stockmatcher,Holbein_Gardens_London.md; Timber_Square_London.md
Diamant-Schneidemaschine,Diamant_Schneidemaschine,1,1,Diamant-Schneidemaschine,Berlin_Schildow_Pilot_House_2.md
digitale Tools / BIM,Digitale_Tools_Bim,1,1,digitale Tools / BIM,Brent_Cross_Town_Primary_Substation_London.md
"Seilsäge, Bohrungen, Hebekette, Spezial-Setup zum Kürzen",Seilsaege_Bohrungen_Hebekette_Spezial_Setup_Zum_Kuerzen,1,1,"Seilsäge, Bohrungen, Hebekette, Spezial-Setup zum Kürzen",Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Entscheidungshilfe-Tool,Entscheidungshilfe_Tool,1,1,Entscheidungshilfe-Tool,Ferme_du_Rail_Paris.md
Qflow,Qflow,1,1,Qflow,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Concular / Restado,Concular_Restado,1,1,Concular / Restado,Impact_Hub_Berlin_CRCLR_Fitout.md
Madaster,Madaster,1,1,Madaster,Multi_Brussels_Reuse_in_MULTI.md
RISA-3D,Risa_3d,1,1,RISA-3D,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
Track-and-trace / Materialdatenbank / QR-Code / STABU-Code,Track_And_Trace_Materialdatenbank_Qr_Code_Stabu_Code,1,1,Track-and-trace / Materialdatenbank / QR-Code / STABU-Code,Superlocal_Expogebouw_Bleijerheide.md
Smart measuring system,Smart_Measuring_System,1,1,Smart measuring system,The_Green_House_Utrecht.md
Harvestmap / Oogstkaart,Harvestmap_Oogstkaart,1,1,Harvestmap / Oogstkaart,Villa_Welpeloo_Enschede.md
