value,count,n_files,knoten_kandidat_n>=3,files
Hobelwerk_Areal_Oberwinterthur,2,2,,Altes_Hobelwerk_Winterthur.md; Hobelwerk_Haus_D_Oberwinterthur.md
Basel,2,2,,Areal_Walkeweg_Nord.md; Lysbuechel_Parkhaus.md
Berlin_Neukoelln,2,2,,Bestandshalle_CRCLR_House.md; Kindl_Areal.md
Lysbuechelareal_Basel,2,2,,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md; LysP8_Basel_Lysbuechelareal.md
"Southwark, London, UK",1,1,,55_Great_Suffolk_Street_London.md
"Gröditz, Deutschland",1,1,,Association_house_Groeditz.md
"Plauen, Deutschland",1,1,,Association_house_Plauen.md
"Münster, Rösnerstraße",1,1,,AWM_Muenster_Circular_Office.md
"Hackbridge / Wallington, London Borough of Sutton, UK",1,1,,BedZED_London_Hackbridge.md
"Schildow, Brandenburg/Berliner Umland, Deutschland",1,1,,Berlin_Schildow_Pilot_House.md
"Schildow, Brandenburg, nördlich von Berlin",1,1,,Berlin_Schildow_Pilot_House_2.md
"München, Deutschland",1,1,,Bestandverplanzung_Pavilion_Muenchen.md
"Boston / Cambridge / North Cambridge, MA, USA",1,1,,Big_Dig_Building_Boston.md
"Lexington, Massachusetts, USA",1,1,,Big_Dig_House_Lexington_Massachusetts.md
"Limes 7 / Leiden Bio Science Park, Oegstgeest/Leiden",1,1,,BioPartner_5_Leiden_Oegstgeest.md
"Rotterdam, Maasboulevard",1,1,,BlueCity_Offices_Rotterdam.md
"Boulder, Colorado, USA",1,1,,Boulder_Fire_Station_3.md
"Brent Cross, London, UK",1,1,,Brent_Cross_Town_Primary_Substation_London.md
"University of Brighton City Campus, Grand Parade, Brighton",1,1,,Brighton_Waste_House_Brighton.md
"Bröthen / Hoyerswerda, Deutschland",1,1,,Broethen_Twin_House_Hoyerswerda.md
"London; UCL Festival of Engineering 2024, London Design Festival 2024, Futurebuild 2025",1,1,,CascadeUp_London_secondary_timber_glulam_demonstrator.md
"Rue Charles Malis, Molenbeek-Saint-Jean, Brüssel",1,1,,Charles_Malis_Molenbeek.md
"Plankenstraat 23, 1701 Dilbeek, Belgien",1,1,,Chiro_d_Itterbeek_Dilbeek.md
"Hannover EXPO 2000; Kloster Volkenroda, Thüringen",1,1,,Christ_Pavilion_Volkenroda.md
"Arnhem / Heerde, Niederlande",1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
"Parvis de l’Hôtel de Ville, Paris",1,1,,Circular_Pavilion_Paris.md
"Berlin-Neukölln, Rollbergstraße 26 / 28a",1,1,,CRCLR_House_Impact_Hub_Berlin.md
"Elsässerstrasse 209/215 bzw. 215, Basel, Lysbüchel/Volta Nord",1,1,,ELYS_Kultur_Gewerbehaus_Basel.md
"Rue de la Loi / Wetstraat, Brussels",1,1,,Europa_Building_Brussels.md
"2 bis rue de l’Ourcq, 75019 Paris",1,1,,Ferme_du_Rail_Paris.md
"Gentbrugge / Ghent, Belgien",1,1,,gjG_House_Gentbrugge.md
"Rue des Ateliers, 14460 Colombelles",1,1,,Grande_Halle_de_Colombelles.md
"Grubenstrasse 29, 8045 Zürich, Binz",1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
"Potkurinkatu, Härmälänranta, Tampere",1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
"Hastings, United Kingdom",1,1,,Hastings_Pier_Visitor_Centre.md
"Mühlhausen, Thüringen, Deutschland",1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
"Royal Borough of Kensington and Chelsea / Chelsea, London",1,1,,Holbein_Gardens_London.md
"London, UK",1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Berlin-Neukölln,1,1,,Impact_Hub_Berlin_CRCLR_Fitout.md
"Liège / Lüttich, Belgien",1,1,,Institut_de_Botanique_ULg_Liege.md
"Kloetinge, Zeeland, Niederlande",1,1,,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
"Zürich-Altstetten, Juch-Areal",1,1,,Juch_Areal_Recyclingzentrum_Zuerich.md
"Lagerplatz / Winterthur, Schweiz",1,1,,K118_Kopfbau_Halle_118_Winterthur.md
"Kristian Augusts gate 13, Oslo, Norwegen",1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
"Kamikatsu, Tokushima Prefecture, Japan",1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
"Zürich-Wollishofen, Werkhof Mööslistrasse",1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
"Duiven, Niederlande",1,1,,Liander_Alliander_HQ_Duiven.md
"Markt 1, 8647 Lo-Reninge, Belgien",1,1,,Lo_Reninge_Town_Hall_Facade.md
"Lahdesjärvi, Tampere, Finnland",1,1,,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
"Luxembourg-Limpertsberg, Luxemburg",1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
"Paris, Frankreich",1,1,,Maison_des_Canaux_Paris.md
"Asse, Belgien",1,1,,Maison_DnA_Asse.md
"Rue de la Vignette, Auderghem, Brüssel, Belgien",1,1,,Maison_Vignette_Auderghem.md
"Mehrow, Brandenburg, Deutschland",1,1,,Mehrow_Pilot_House.md
"Jätkäsaari, Helsinki, Finnland",1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
"Maassluis, Zuid-Holland, Niederlande",1,1,,Montessori_Maassluis.md
"Boulevard Anspach / De Brouckère, Brüssel",1,1,,Multi_Brussels_Reuse_in_MULTI.md
"Rue des Brasseurs 3, 7700 Mouscron, Belgien",1,1,,Musee_de_Folklore_Mouscron.md
"Ketelhuisplein, Eindhoven, NL",1,1,,Peoples_Pavilion_Eindhoven.md
"Wolliner Straße 50, Berlin",1,1,,Plattenpalast_Berlin.md
Peter-Behrens-Halle TU Berlin; Tempelhofer Feld Berlin,1,1,,Plattenvereinigung_Berlin.md
"10 Whitechapel High St, London E1 8QS",1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
Hannover-Kronsberg / ehemaliges Expo-Areal,1,1,,Recyclinghaus_Hannover.md
"Quai Fernand Demets 22, 1070 Anderlecht, Brüssel",1,1,,Recypark_Demets_Anderlecht.md
"29 Rue d’Amiens, 93240 Stains",1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
"Copenhagen / Ørestad, Dänemark",1,1,,Resource_Rows_Copenhagen.md
"Paso Robles / Templeton Gap, Kalifornien, USA",1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
"Bleijerheide, Kerkrade, Niederlande",1,1,,Superlocal_Expogebouw_Bleijerheide.md
"Gladsaxe, Dänemark",1,1,,Svanen_Kindergarten_Gladsaxe.md
"Utrecht, Croeselaan / Knoopkazerne-Areal",1,1,,The_Green_House_Utrecht.md
"Thoravej 29, 2400 København NV, Copenhagen",1,1,,Thoravej_29_Copenhagen.md
"25 Lavington Street / Bankside, Southwark, London SE1",1,1,,Timber_Square_London.md
"Aarhus, Dänemark",1,1,,TRAE_High_Rise_Aarhus.md
"Ørestad, Copenhagen, DK",1,1,,Upcycle_Studios_Copenhagen.md
Sint-Jans-Molenbeek / Brüssel,1,1,,Verbiest_Karreveld_Brussels.md
"Roombeek, Enschede, Niederlande",1,1,,Villa_Welpeloo_Enschede.md
"Den Bosch / ’s-Hertogenbosch, NL",1,1,,Woongroep_Boschgaard_Den_Bosch.md
"Place Masui / Rue des Palais, Brüssel",1,1,,Zinneke_Feder_Masui4ever_Brussels.md
Karl_Marx_Allee_Berlin,1,1,,BOELL_LAB_Berlin.md
Berlin_Mitte,1,1,,BOELL_LAB_Berlin.md
Bruessel,1,1,,Da_Vinci_Business_District.md
Evere,1,1,,Da_Vinci_Business_District.md
Oberwinterthur,1,1,,Hobelwerk_Haus_D_Oberwinterthur.md
Sulzerareal_Winterthur,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
Rollbergviertel,1,1,,Kindl_Areal.md
Heilbronn,1,1,,ReUseBox_Heilbronn.md
