value,count,n_files,knoten_kandidat_n>=3,files
Hobelwerk_Winterthur,2,2,,Altes_Hobelwerk_Winterthur.md; Hobelwerk_Haus_D_Oberwinterthur.md
Volta_Nord,2,2,,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md; LysP8_Basel_Lysbuechelareal.md
Retrofit + Extension zu Arbeitsplatznutzung,1,1,,55_Great_Suffolk_Street_London.md
Neubau aus wiederverwendeten Betonfertigteilen,1,1,,Association_house_Groeditz.md
Neubau mit gebrauchten Betonfertigteilen,1,1,,Association_house_Plauen.md
moderne Arbeitswelt aus gebrauchten Materialien,1,1,,AWM_Muenster_Circular_Office.md
Beddington Zero Energy Development,1,1,,BedZED_London_Hackbridge.md
Pilotprojekt zur Wiederverwendung von WBS70-Platten,1,1,,Berlin_Schildow_Pilot_House.md
Schildow-Pilot / Wiederverwendung WBS70,1,1,,Berlin_Schildow_Pilot_House_2.md
Wiederverwendung von Paneelen aus Olympiadorf-Bungalows,1,1,,Bestandverplanzung_Pavilion_Muenchen.md
Wiederverwendung von Big-Dig-Infrastrukturmaterialien,1,1,,Big_Dig_Building_Boston.md
Reuse of Big Dig steel and concrete,1,1,,Big_Dig_House_Lexington_Massachusetts.md
"BioPartner Center Leiden, fünftes Gebäude",1,1,,BioPartner_5_Leiden_Oegstgeest.md
Büroflügel im ehemaligen Discobereich,1,1,,BlueCity_Offices_Rotterdam.md
New Boulder Fire-Rescue Station 3,1,1,,Boulder_Fire_Station_3.md
City of Boulder,1,1,,Boulder_Fire_Station_3.md
80 MVA Substation für Brent Cross Town,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Gebäude aus über 85 % Abfall-/Überschussmaterial,1,1,,Brighton_Waste_House_Brighton.md
Wiederverwendung von P2-Plattenbauteilen,1,1,,Broethen_Twin_House_Hoyerswerda.md
UCL Circular Economy Lab + UK CLT Pilot,1,1,,CascadeUp_London_secondary_timber_glulam_demonstrator.md
Umnutzung zu kommunaler Verwaltungsstelle,1,1,,Charles_Malis_Molenbeek.md
Neubau/Extension + Renovation-Kontext,1,1,,Chiro_d_Itterbeek_Dilbeek.md
Demontage und Wiederaufbau des gesamten Ensembles,1,1,,Christ_Pavilion_Volkenroda.md
Kultur-/Ausstellungs-/Debattenpavillon,1,1,,Circular_Pavilion_Paris.md
"Umbau, Aufstockung und Impact Hub-Ausbau",1,1,,CRCLR_House_Impact_Hub_Berlin.md
Umnutzung zu Kultur- und Gewerbehaus,1,1,,ELYS_Kultur_Gewerbehaus_Basel.md
Sitz Europäischer Rat / Rat der EU,1,1,,Europa_Building_Brussels.md
Réinventer Paris 1 / Ourcq-Jaurès,1,1,,Ferme_du_Rail_Paris.md
gekrümmte Ziegelschale mit Innenstruktur,1,1,,gjG_House_Gentbrugge.md
Umwandlung in Tiers-lieu der Kreislaufwirtschaft,1,1,,Grande_Halle_de_Colombelles.md
Aufstockung Grubenstrasse,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
Modissa Immobilien AG / HANUVER AG,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
A-Kruunu Mietwohnungsbau,1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
Hastings Pier Regeneration,1,1,,Hastings_Pier_Visitor_Centre.md
Neubau eines Mehrfamilienhauses aus demontierten Plattenbauteilen,1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
Refurbishment plus 1-/2-geschossige Aufstockung,1,1,,Holbein_Gardens_London.md
TBC.London retrofit + extension,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
318 Oxford Street retrofit,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Coworking- und Community-Space,1,1,,Impact_Hub_Berlin_CRCLR_Fitout.md
Neues Recyclingzentrum ERZ Juch-Areal,1,1,,Juch_Areal_Recyclingzentrum_Zuerich.md
Aufstockung um 3 Etagen,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
Reuse and transformation / KA13,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
Zero-Waste-Zentrum und Hotel,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Kindergarten mit Betreuung für Schule Manegg,1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Alliander HQ / Liander office,1,1,,Liander_Alliander_HQ_Duiven.md
Restoration and extension of a former convent to create a town hall,1,1,,Lo_Reninge_Town_Hall_Facade.md
Metso Lokomotion Technology Centre Phase 1,1,1,,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
"selektiver Rückbau Block 3000, Umbau Block 6000, Neugestaltung Außenanlagen",1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
Maison des économies solidaires et innovantes / Les Canaux,1,1,,Maison_des_Canaux_Paris.md
