value,count,n_files,knoten_kandidat_n>=3,files
Deconstruction / Demolition donor site 1 Broadgate,1,1,,55_Great_Suffolk_Street_London.md
selektiver Rückbau/Demontage,1,1,,Association_house_Groeditz.md
selektiver Rückbau / Demontage,1,1,,Association_house_Plauen.md
"leichte Geräte, Lösen von Knotenpunkten, Durchtrennen von Verbindungsstählen",1,1,,Berlin_Schildow_Pilot_House.md
selektiver Rückbau / Demontage von Platten; Diamantsägen im Pressekontext,1,1,,Berlin_Schildow_Pilot_House_2.md
Demontage / demolition of I-93 elevated highway components,1,1,,Big_Dig_House_Lexington_Massachusetts.md
"stufenweiser, separierender Rückbau",1,1,,BioPartner_5_Leiden_Oegstgeest.md
Deconstruction statt demolition,1,1,,Boulder_Fire_Station_3.md
keine Gebäudedemontage,1,1,,Brent_Cross_Town_Primary_Substation_London.md
zirkuläre Demontage / remolition,1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Rückbauprojekte / Bauteiljagd,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
Bergung aus Brandruine,1,1,,Hastings_Pier_Visitor_Centre.md
Rückbau/Demontage,1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
careful deconstruction / Demontage statt Schrott,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
selektive Demontage / schonender Rückbau,1,1,,Mehrow_Pilot_House.md
zerstörungsfreier Rückbau,1,1,,Peoples_Pavilion_Eindhoven.md
selektive Bauteilernte aus Region,1,1,,Recyclinghaus_Hannover.md
sorgfältige Demontage der Reithalle,1,1,,Recypark_Demets_Anderlecht.md
selektive Demontage / Heraussägen / Herausheben,1,1,,Superlocal_Expogebouw_Bleijerheide.md
sehr begrenzte Demolition / selective deconstruction,1,1,,Verbiest_Karreveld_Brussels.md
