value,count,n_files,knoten_kandidat_n>=3,files
Radiatoren,3,3,JA,Grande_Halle_de_Colombelles.md; KA13_Kristian_Augusts_gate_13_Oslo.md; Resilience_La_Ferme_des_Possibles_Stains.md
200 zugeschnittene Teile aus 60 Decken- und 50 Innenwandplatten,2,2,,Berlin_Schildow_Pilot_House.md; Berlin_Schildow_Pilot_House_2.md
wiederverwendeter Stahl,2,2,,BlueCity_Offices_Rotterdam.md; Roots_in_the_Sky_Blackfriars_Crown_Court.md
Sanitär,2,2,,Chiro_d_Itterbeek_Dilbeek.md; Resilience_La_Ferme_des_Possibles_Stains.md
Hohlkörperdecken,2,2,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
wiederverwendete Ziegel,2,2,,Lo_Reninge_Town_Hall_Facade.md; Musee_de_Folklore_Mouscron.md
Wiederverwendete Stahlprofile,1,1,,55_Great_Suffolk_Street_London.md
279 Betonfertigteile + 159 WBS70-Paneele,1,1,,Association_house_Groeditz.md
"145 Decken-/Bodenplatten, 19 Außenwandelemente, 14 Innenwände, 11 Kellerwände",1,1,,Association_house_Plauen.md
Glastrennwände und Türen,1,1,,AWM_Muenster_Circular_Office.md
WC-Trennwände,1,1,,AWM_Muenster_Circular_Office.md
Kabeltrassen,1,1,,AWM_Muenster_Circular_Office.md
Wandverkleidung aus alten Holzstühlen,1,1,,AWM_Muenster_Circular_Office.md
Holz aus Deckenkonstruktion/Supermarkt/Discounter,1,1,,AWM_Muenster_Circular_Office.md
Wiederverwendeter Baustahl,1,1,,BedZED_London_Hackbridge.md
Holzständer / softwood walling studs,1,1,,BedZED_London_Hackbridge.md
"Türen, Bordsteine, Natursteinplatten, Gerüstrohre als Geländer/Balustraden",1,1,,BedZED_London_Hackbridge.md
Betonfertigteil-Paneele,1,1,,Bestandverplanzung_Pavilion_Muenchen.md
"Infrastrukturträger, Boxbeams, temporäre Straßen-/Rampenteile, Fassaden-/Strukturelemente",1,1,,Big_Dig_Building_Boston.md
Stahlträger und Stahlstützen,1,1,,Big_Dig_House_Lexington_Massachusetts.md
Beton-Inverset panels,1,1,,Big_Dig_House_Lexington_Massachusetts.md
"Ramps, piers, roadway components",1,1,,Big_Dig_House_Lexington_Massachusetts.md
Stahlträger / Stahlrahmen / H-Profile,1,1,,BioPartner_5_Leiden_Oegstgeest.md
Pflaster / Naturstein / Bodenmaterial,1,1,,BioPartner_5_Leiden_Oegstgeest.md
Innenwände / Trennwände,1,1,,BioPartner_5_Leiden_Oegstgeest.md
Sanitärobjekte / Toiletten / Waschbecken,1,1,,BioPartner_5_Leiden_Oegstgeest.md
Red-cedar-Fensterrahmen / geerntete Fensterrahmen,1,1,,BlueCity_Offices_Rotterdam.md
Betonblöcke,1,1,,BlueCity_Offices_Rotterdam.md
89 salvaged wide-flange steel members,1,1,,Boulder_Fire_Station_3.md
Reclaimed tubular steel columns,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Teppichfliesen,1,1,,Brighton_Waste_House_Brighton.md
