value,count,n_files,knoten_kandidat_n>=3,files
"Rückbau, Transport, Wiedereinbau",1,1,,Bestandverplanzung_Pavilion_Muenchen.md
alle klassischen Neubauphasen durchgeführt,1,1,,Chiro_d_Itterbeek_Dilbeek.md
"Rückbau Herbst 2023, Einbau Oktober/Herbst 2024",1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
Renovierung / Fassadenerneuerung,1,1,,Institut_de_Botanique_ULg_Liege.md
"Umbau, Rückbau, Aufbereitung, Wiedereinbau",1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
"Rückbau 2023, Refurbishment, Einbau 2025",1,1,,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
Materialinventar / selektiver Rückbau,1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
Bauvertrag unterzeichnet,1,1,,Montessori_Maassluis.md
Demontage / Remanufacturing / Wiedereinbau,1,1,,Multi_Brussels_Reuse_in_MULTI.md
Beschaffung / Ausschreibung,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
