value,count,n_files,knoten_kandidat_n>=3,files
unbekannt,19,18,JA,Association_house_Plauen.md; Berlin_Schildow_Pilot_House.md; Berlin_Schildow_Pilot_House_2.md; Bestandverplanzung_Pavilion_Muenchen.md; Big_Dig_House_Lexington_Massachusetts.md; Boulder_Fire_Station_3.md; Brighton_Waste_House_Brighton.md; Broethen_Twin_House_Hoyerswerda.md; Ferme_du_Rail_Paris.md; Haus_HOS_Mehrfamilienhaus_Muehlhausen.md; Institut_de_Botanique_ULg_Liege.md; Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md; Mehrow_Pilot_House.md; Montessori_Maassluis.md; Upcycle_Studios_Copenhagen.md; Villa_Welpeloo_Enschede.md; Woongroep_Boschgaard_Den_Bosch.md; Zinneke_Feder_Masui4ever_Brussels.md
EN 1090,1,1,,55_Great_Suffolk_Street_London.md
Grade II listing / Heritage at Risk,1,1,,55_Great_Suffolk_Street_London.md
"Eurocode 2, DIN EN 206-1, DIN 1045-2",1,1,,Association_house_Plauen.md
Historic Sections Book,1,1,,BedZED_London_Hackbridge.md
DGBC / NIBE Paris Proof embodied,1,1,,BioPartner_5_Leiden_Oegstgeest.md
Boulder Deconstruction Ordinance 8366 / 2020,1,1,,Boulder_Fire_Station_3.md
SCI P427 protocol,1,1,,Brent_Cross_Town_Primary_Substation_London.md
CE/UKCA marked,1,1,,Brent_Cross_Town_Primary_Substation_London.md
CROW-CUR Guideline 4:2023,1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Teile des Residence Palace 2004 gelistet,1,1,,Europa_Building_Brussels.md
EPB,1,1,,gjG_House_Gentbrugge.md
ERP / öffentlich zugängliches Gebäude,1,1,,Grande_Halle_de_Colombelles.md
öffentlicher Markt / public procurement,1,1,,Grande_Halle_de_Colombelles.md
Baubewilligung / Normen,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
Grade-II-Listed Pier / Heritage-Kontext,1,1,,Hastings_Pier_Visitor_Centre.md
SCI P427/P440; EN 1090 im allgemeinen Stahlreuse-Kontext,1,1,,Holbein_Gardens_London.md
unbekannt / pre-1970s protocol gap,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Conservation Area / listed context near Tower Bridge,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
keine konkrete Normnummer öffentlich,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
NS 3682 für reuse of hollow-core slabs,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
Regelwerksarbeit / regulatorische Anpassung,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
Japanisches Baurecht / Hotelbetrieb,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Denkmal / listed monument,1,1,,Lo_Reninge_Town_Hall_Facade.md
EN 1168 + A3 / CROW-CUR Guideline 4:2023 als Fachbezug,1,1,,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
EPB / Energieperformance-Kontext,1,1,,Maison_DnA_Asse.md
Nachweis technische Reusability für building authorities,1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
BREEAM Excellent,1,1,,Multi_Brussels_Reuse_in_MULTI.md
Kunstintegration in öffentlichen Gebäuden,1,1,,Musee_de_Folklore_Mouscron.md
Bauordnung/Zulassung,1,1,,Recyclinghaus_Hannover.md
"öffentliche Ausschreibung, building code",1,1,,Recypark_Demets_Anderlecht.md
RT 2012,1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Southwark Planning / neue Planung 25/AP/2203,1,1,,Roots_in_the_Sky_Blackfriars_Crown_Court.md
Nordic Swan Ecolabel / Svanemærket,1,1,,Svanen_Kindergarten_Gladsaxe.md
"UKGBC Net Zero Carbon Buildings Framework; BREEAM Outstanding, WELL Platinum, NABERS 5 target",1,1,,Timber_Square_London.md
"Belgische / Brüsseler Bauvorschriften, Schulbau, Brandschutz",1,1,,Verbiest_Karreveld_Brussels.md
öffentliche Vergabe / public procurement,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
