value,count,n_files,knoten_kandidat_n>=3,files
Elementa_Walkeweg,2,2,,Areal_Walkeweg_Nord.md; Lysbuechel_Parkhaus.md
CRCLR_House,2,2,,Bestandshalle_CRCLR_House.md; Kindl_Areal.md
55 Great Suffolk Street,1,1,,55_Great_Suffolk_Street_London.md
"Association house, Gröditz / Gröditz association house",1,1,,Association_house_Groeditz.md
"Association house, Plauen / Plauen association house",1,1,,Association_house_Plauen.md
"AWM Münster, 3. OG Rösnerstraße",1,1,,AWM_Muenster_Circular_Office.md
BedZED / Beddington Zero Energy Development,1,1,,BedZED_London_Hackbridge.md
Berlin-Schildow Pilot House / Berlin-Schildow 2nd pilot house,1,1,,Berlin_Schildow_Pilot_House.md
Berlin-Schildow 2nd pilot house,1,1,,Berlin_Schildow_Pilot_House_2.md
Bestandverplanzung Pavilion / Bestandverpflanzung?,1,1,,Bestandverplanzung_Pavilion_Muenchen.md
Big Dig Building,1,1,,Big_Dig_Building_Boston.md
Big Dig House,1,1,,Big_Dig_House_Lexington_Massachusetts.md
BioPartner 5,1,1,,BioPartner_5_Leiden_Oegstgeest.md
BlueCity Offices / Blue City 010 Offices,1,1,,BlueCity_Offices_Rotterdam.md
"Boulder Fire Station 3 / City of Boulder Fire Rescue, Station #3",1,1,,Boulder_Fire_Station_3.md
Brent Cross Town Primary Substation,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Brighton Waste House / Brighton Wild House,1,1,,Brighton_Waste_House_Brighton.md
Bröthen twin-house,1,1,,Broethen_Twin_House_Hoyerswerda.md
CascadeUp / London secondary-timber glulam demonstrator,1,1,,CascadeUp_London_secondary_timber_glulam_demonstrator.md
Charles Malis / Antenne administrative,1,1,,Charles_Malis_Molenbeek.md
Sanitary block for the Itterbeek Chiro / Pavillon de sanitaires,1,1,,Chiro_d_Itterbeek_Dilbeek.md
Christus-Pavillon / Christ Pavilion,1,1,,Christ_Pavilion_Volkenroda.md
Circular Centre Netherlands / Prinsenhof A reuse pilot,1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Pavillon Circulaire / Circular Pavilion,1,1,,Circular_Pavilion_Paris.md
CRCLR House / Impact Hub Berlin,1,1,,CRCLR_House_Impact_Hub_Berlin.md
ELYS Kultur- & Gewerbehaus,1,1,,ELYS_Kultur_Gewerbehaus_Basel.md
Europa Building Brussels,1,1,,Europa_Building_Brussels.md
La Ferme du Rail,1,1,,Ferme_du_Rail_Paris.md
gjG House,1,1,,gjG_House_Gentbrugge.md
Grande Halle de Colombelles / Le WIP,1,1,,Grande_Halle_de_Colombelles.md
Grubenstrasse 29 / Werkhof 29,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
Härmälänranta / A-Kruunu ReCreate mini-pilot,1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
Hastings Pier Visitor Centre / Pavilion Cladding,1,1,,Hastings_Pier_Visitor_Centre.md
Haus HOS / Mühlhausen 2-story multi-housing building,1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
Holbein Gardens,1,1,,Holbein_Gardens_London.md
House of Fraser / 318 Oxford Street → TBC.London,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Impact Hub Berlin Interior / CRCLR fit-out,1,1,,Impact_Hub_Berlin_CRCLR_Fitout.md
Institut de Botanique de l’ULg,1,1,,Institut_de_Botanique_ULg_Liege.md
Kinder- en jeugdkliniek Ithaka / Emergis,1,1,,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
Recyclingzentrum Juch-Areal,1,1,,Juch_Areal_Recyclingzentrum_Zuerich.md
K.118 / Kopfbau Halle 118,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
KA13 / Kristian Augusts gate 13,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
Kamikatsu Zero Waste Center / Hotel WHY,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Umbau Kindergarten Mööslistrasse / Kindergarten Manegg,1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Liander / Alliander HQ Duiven,1,1,,Liander_Alliander_HQ_Duiven.md
Lo-Reninge Town Hall façade / Stadhuis Lo,1,1,,Lo_Reninge_Town_Hall_Facade.md
Lokomotion Technology Centre mini-pilot,1,1,,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
Conversion of two wings of Lycée Michel Lucius,1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
Maison des Canaux,1,1,,Maison_des_Canaux_Paris.md
dnA House / Maison DnA,1,1,,Maison_DnA_Asse.md
Maison Vignette / Vignette House,1,1,,Maison_Vignette_Auderghem.md
Mehrow 1st pilot house,1,1,,Mehrow_Pilot_House.md
Melkinlaituri elementary school and daycare centre,1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Montessori Maassluis / Montessorischool Maassluis,1,1,,Montessori_Maassluis.md
MULTI Brussels / Reuse in Multi,1,1,,Multi_Brussels_Reuse_in_MULTI.md
Musée de Folklore / MUSEF Mouscron,1,1,,Musee_de_Folklore_Mouscron.md
People’s Pavilion,1,1,,Peoples_Pavilion_Eindhoven.md
Plattenpalast Berlin,1,1,,Plattenpalast_Berlin.md
Plattenvereinigung Berlin,1,1,,Plattenvereinigung_Berlin.md
PLP Architecture HQ / Circular Studio Fit-out,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
Re:Crete footbridge,1,1,,ReCrete_footbridge_reused_concrete_blocks.md
Recyclinghaus Hannover,1,1,,Recyclinghaus_Hannover.md
Recypark Anderlecht / Recypark Demets,1,1,,Recypark_Demets_Anderlecht.md
Résilience / La Ferme des Possibles,1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Resource Rows,1,1,,Resource_Rows_Copenhagen.md
Roots in the Sky / Blackfriars Crown Court,1,1,,Roots_in_the_Sky_Blackfriars_Crown_Court.md
Saxum Vineyard Equipment Barn,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
SUPERLOCAL Expogebouw,1,1,,Superlocal_Expogebouw_Bleijerheide.md
Svanen / The Swan / Børnehuset Svanen,1,1,,Svanen_Kindergarten_Gladsaxe.md
The Green House Utrecht,1,1,,The_Green_House_Utrecht.md
Thoravej 29,1,1,,Thoravej_29_Copenhagen.md
Timber Square,1,1,,Timber_Square_London.md
TRÆ High-Rise,1,1,,TRAE_High_Rise_Aarhus.md
Upcycle Studios,1,1,,Upcycle_Studios_Copenhagen.md
Verbiest + Karreveld,1,1,,Verbiest_Karreveld_Brussels.md
Villa Welpeloo,1,1,,Villa_Welpeloo_Enschede.md
Woongroep Boschgaard / Collectief Ecosysteem Boschgaard,1,1,,Woongroep_Boschgaard_Den_Bosch.md
Zinneke / Feder Masui4ever,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
BOELL_LAB_Berlin,1,1,,BOELL_LAB_Berlin.md
Urban_Production_Brussels,1,1,,Da_Vinci_Business_District.md
Vollgut_Areal,1,1,,Kindl_Areal.md
ReUseBox_Heilbronn,1,1,,ReUseBox_Heilbronn.md
