report_id,actor_name
BE:X01,2emain.be
BE:U01,51N4E
FI:U01,A-Insinöörit
FI:U02,A-Kruunu
DK:U02,a:gain
DE:I01,Abfallwirtschaftsbetriebe Münster
NL:U02,ABN AMRO
NL:U03,ABT
SE:U25,Åhlin & Ekeroth
CH:U04,aik Architektur + Ingenieur Kollektiv
SE:U01,AIX Arkitekter
SE:U02,Akademiska Hus
GB:U01,AKT II
DE:U01,ALBA Berlin
FR:U01,Albert & Co
NL:U05,Alliander / Liander
FR:M01,Allibert Matériaux Anciens
CH:U05,Amstein+Walthert AG
CH:I03,Amt für Hochbauten und Immobilien Stadt Zürich
SE:U03,Anthesis
BE:M01,Antiek Anresto
BE:M02,Antique Fireplaces First
GB:M01,Antique Wooden Floors
DE:F01,Arbeitsgebiet Bauliches Recycling / BTU Cottbus-Senftenberg
GB:M02,Arc Reclamation Ltd
CH:M01,Archipel Sion Ressourcerie
FR:U02,Archipel zéro
DK:U05,Artelia
FR:M04,Articonnex
GB:M03,Ashwells Reclaimed Timber
NO:I01,Asker kommune – Ombruk
NO:U01,Asplan Viak
FR:N01,Association Réavie
BE:M03,Authentieke Bouwmaterialen Storms nv
NL:U07,Aveco de Bondt
NL:M01,Baars & Bloemhoff
FR:M07,Backacia
DK:M06,Bærebyg
FR:M08,Baignoires Anciennes
GB:U04,BakerBrown
NL:U08,Ballast Nedam
DK:M01,Bango A/S
FR:M09,Bathestia Recup
FR:M15,Bâti Récup'
FR:M16,Bâticycle
BE:M04,BatiTerre
FR:S01,BatRecup
CH:U08,baubüro in situ
AT:M01,BauKarussell
DE:N01,Baukreisel e.V.
BE:M05,BauMaB Kassel / Bauteilbörse Kassel
CH:M02,Baumatpool.ch
AT:M02,Baustoffmanufaktur (DN das Nord GmbH)
AT:M03,Bauteilbörse (bauteilboerse.at)
CH:M03,Bauteilbörse Basel
DE:M01,Bauteilbörse Berlin-Brandenburg (Fläming Antik / Brita Marx)
DE:M02,Bauteilbörse Bremen
DE:M03,Bauteilbörse Bremerhaven (Förderwerk Bremerhaven)
CH:M04,Bauteilkatalog Immobilien Basel-Stadt
CH:M05,Bauteilladen Winterthur
DE:N02,bauteilnetz Deutschland
CH:M06,Bauteilvermittlung Zürichsee-Oberland
CH:M07,Bauteilverwertung Köppel & Klein
FR:M10,BCA Matériaux Anciens
GB:U06,BDP
FR:N02,Bellastock
NO:U02,Bevar / Urban Reuse (NG Group)
NL:O01,Bewohnerinitiative Boschgaard
AT:I01,BIG (Bundesimmob.)
CH:U09,Bischof Föhn Architektur
SE:U06,Bjerking
BE:U04,BLAF Architecten
FR:M11,BOBI Réemploi
NO:I02,Bodø Kommune
BE:M06,Bois Antique
DK:N01,Bolius genbrugsmaterialer directory
FR:O01,Booster du Réemploi (A4MT)
NL:M02,Bork (Stuifzand)
FR:M13,Bourgogne Matériaux Anciens
NL:U12,Bouwbedrijven Jongen
SE:M01,Brattöns Återbruk
FR:M14,Broc'Antique
BE:I01,Brussels Environment
GB:M04,Building Spares Market
BE:F02,Buildwise
DE:G01,Bundeszentrale für politische Bildung (bpb)
BE:U06,Bureau Bouwtechniek
NL:U13,bureau SLA
