rel_id,rel_type,from_id,to_id,claim_ids,fact_label,confidence,dossier_section,primary_url,corroborating_count,metadata_sidecar_key
r_cirkla__belegt_in__q_url_0f6a8243ac5d1567100a3117bc4594e6,BELEGT_IN,cirkla,q_url_0f6a8243ac5d1567100a3117bc4594e6,claim_cirkla_swiss_reuse_network,Fact,belegt,§2.1,https://www.cirkla.ch/en/,2,rel:BELEGT_IN:cirkla->q_url_0f6a8243ac5d1567100a3117bc4594e6
r_cirkla__belegt_in__q_actor_benjamin_poignon_03,BELEGT_IN,cirkla,q_actor_benjamin_poignon_03,claim_cirkla_four_axes,Fact,belegt,§2.2,https://www.cirkla.ch/en/lassociation-cirkla/,1,rel:BELEGT_IN:cirkla->q_actor_benjamin_poignon_03
r_cirkla__belegt_in__q_url_72047630eba27e60c1f672463457463e,BELEGT_IN,cirkla,q_url_72047630eba27e60c1f672463457463e,claim_cirkla_directory,Fact,belegt,§2.2,https://www.cirkla.ch/en/le-reseau-du-reemploi/,1,rel:BELEGT_IN:cirkla->q_url_72047630eba27e60c1f672463457463e
r_cirkla__belegt_in__q_url_83aa2d2f1524132cce8dcbac4e8fb774,BELEGT_IN,cirkla,q_url_83aa2d2f1524132cce8dcbac4e8fb774,claim_cirkla_scan_national_supply;claim_swiss_inv_inventory,Fact,belegt,§8,https://www.cirkla.ch/en/publications-outils/,1,rel:BELEGT_IN:cirkla->q_url_83aa2d2f1524132cce8dcbac4e8fb774
r_cirkla__verbunden_mit_akteur__useagain_bauteilclick,VERBUNDEN_MIT_AKTEUR,cirkla,useagain_bauteilclick,claim_cirkla_directory_useagain,Fact,belegt,§5,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/useagain,2,rel:VERBUNDEN_MIT_AKTEUR:cirkla->useagain_bauteilclick
r_useagain_bauteilclick__verbunden_mit_akteur__cirkla,VERBUNDEN_MIT_AKTEUR,useagain_bauteilclick,cirkla,claim_cirkla_directory_useagain,Fact,belegt,§5,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/useagain,2,rel:VERBUNDEN_MIT_AKTEUR:useagain_bauteilclick->cirkla
r_cirkla__verbunden_mit_akteur__materiuum,VERBUNDEN_MIT_AKTEUR,cirkla,materiuum,claim_cirkla_directory,Fact,belegt,§2.2,https://www.cirkla.ch/en/le-reseau-du-reemploi/,1,rel:VERBUNDEN_MIT_AKTEUR:cirkla->materiuum
r_materiuum__verbunden_mit_akteur__cirkla,VERBUNDEN_MIT_AKTEUR,materiuum,cirkla,claim_cirkla_directory,Fact,belegt,§2.2,https://www.cirkla.ch/en/le-reseau-du-reemploi/,1,rel:VERBUNDEN_MIT_AKTEUR:materiuum->cirkla
r_cirkla__verbunden_mit_akteur__wick_reuse_roto_baumarkt,VERBUNDEN_MIT_AKTEUR,cirkla,wick_reuse_roto_baumarkt,claim_cirkla_committee_roto_reuse,Fact,belegt,§2.3,https://www.cirkla.ch/en/lassociation-cirkla/,2,rel:VERBUNDEN_MIT_AKTEUR:cirkla->wick_reuse_roto_baumarkt
r_wick_reuse_roto_baumarkt__verbunden_mit_akteur__cirkla,VERBUNDEN_MIT_AKTEUR,wick_reuse_roto_baumarkt,cirkla,claim_cirkla_committee_roto_reuse,Fact,belegt,§2.3,https://www.cirkla.ch/en/lassociation-cirkla/,2,rel:VERBUNDEN_MIT_AKTEUR:wick_reuse_roto_baumarkt->cirkla
r_cirkla__verbunden_mit_akteur__bauteilladen_winterthur,VERBUNDEN_MIT_AKTEUR,cirkla,bauteilladen_winterthur,claim_cirkla_directory,Fact,belegt,§2.2,https://www.cirkla.ch/en/le-reseau-du-reemploi/,1,rel:VERBUNDEN_MIT_AKTEUR:cirkla->bauteilladen_winterthur
r_bauteilladen_winterthur__verbunden_mit_akteur__cirkla,VERBUNDEN_MIT_AKTEUR,bauteilladen_winterthur,cirkla,claim_cirkla_directory,Fact,belegt,§2.2,https://www.cirkla.ch/en/le-reseau-du-reemploi/,1,rel:VERBUNDEN_MIT_AKTEUR:bauteilladen_winterthur->cirkla
r_cirkla__verbunden_mit_akteur__reuzi_ch,VERBUNDEN_MIT_AKTEUR,cirkla,reuzi_ch,claim_cirkla_directory,Fact,belegt,§2.2,https://www.cirkla.ch/en/le-reseau-du-reemploi/,1,rel:VERBUNDEN_MIT_AKTEUR:cirkla->reuzi_ch
r_reuzi_ch__verbunden_mit_akteur__cirkla,VERBUNDEN_MIT_AKTEUR,reuzi_ch,cirkla,claim_cirkla_directory,Fact,belegt,§2.2,https://www.cirkla.ch/en/le-reseau-du-reemploi/,1,rel:VERBUNDEN_MIT_AKTEUR:reuzi_ch->cirkla
r_cirkla__verbunden_mit_akteur__gruner_reuse_platform,VERBUNDEN_MIT_AKTEUR,cirkla,gruner_reuse_platform,claim_cirkla_directory,Fact,belegt,§2.2,https://www.cirkla.ch/en/le-reseau-du-reemploi/,1,rel:VERBUNDEN_MIT_AKTEUR:cirkla->gruner_reuse_platform
r_gruner_reuse_platform__verbunden_mit_akteur__cirkla,VERBUNDEN_MIT_AKTEUR,gruner_reuse_platform,cirkla,claim_cirkla_directory,Fact,belegt,§2.2,https://www.cirkla.ch/en/le-reseau-du-reemploi/,1,rel:VERBUNDEN_MIT_AKTEUR:gruner_reuse_platform->cirkla
r_cirkla__verbunden_mit_akteur__baubuero_in_situ,VERBUNDEN_MIT_AKTEUR,cirkla,baubuero_in_situ,claim_cirkla_committee_baubuero,Fact,belegt,§2.3,https://www.cirkla.ch/en/comite/benjamin-poignon,1,rel:VERBUNDEN_MIT_AKTEUR:cirkla->baubuero_in_situ
r_baubuero_in_situ__verbunden_mit_akteur__cirkla,VERBUNDEN_MIT_AKTEUR,baubuero_in_situ,cirkla,claim_cirkla_committee_baubuero,Fact,belegt,§2.3,https://www.cirkla.ch/en/comite/benjamin-poignon,1,rel:VERBUNDEN_MIT_AKTEUR:baubuero_in_situ->cirkla
r_cirkla__verbunden_mit_akteur__salza,VERBUNDEN_MIT_AKTEUR,cirkla,salza,claim_cirkla_committee_salza,Fact,belegt,§2.3,https://www.cirkla.ch/en/lassociation-cirkla/,1,rel:VERBUNDEN_MIT_AKTEUR:cirkla->salza
r_salza__verbunden_mit_akteur__cirkla,VERBUNDEN_MIT_AKTEUR,salza,cirkla,claim_cirkla_committee_salza,Fact,belegt,§2.3,https://www.cirkla.ch/en/lassociation-cirkla/,1,rel:VERBUNDEN_MIT_AKTEUR:salza->cirkla
r_cirkla__verbunden_mit_akteur__zirkular,VERBUNDEN_MIT_AKTEUR,cirkla,zirkular,claim_cirkla_zirkular_ecosystem_overlap,Interpretive_conclusion,teilweise_belegt,§1 / §12,https://zirkular.net/en/project/building-k-118/,1,rel:VERBUNDEN_MIT_AKTEUR:cirkla->zirkular
r_zirkular__verbunden_mit_akteur__cirkla,VERBUNDEN_MIT_AKTEUR,zirkular,cirkla,claim_cirkla_zirkular_ecosystem_overlap,Interpretive_conclusion,teilweise_belegt,§1 / §12,https://zirkular.net/en/project/building-k-118/,1,rel:VERBUNDEN_MIT_AKTEUR:zirkular->cirkla
r_baubuero_in_situ__beteiligt_an__p_k118_kopfbau_halle_118_winterthur,BETEILIGT_AN,baubuero_in_situ,p_k118_kopfbau_halle_118_winterthur,claim_k118_baubuero_architecture,Fact,belegt,§3.1 / §4,https://zirkular.net/en/project/building-k-118/,1,rel:BETEILIGT_AN:baubuero_in_situ->p_k118_kopfbau_halle_118_winterthur
r_zirkular__beteiligt_an__p_k118_kopfbau_halle_118_winterthur,BETEILIGT_AN,zirkular,p_k118_kopfbau_halle_118_winterthur,claim_k118_zirkular_foundation_trigger;claim_k118_baubuero_architecture,Fact,belegt,§4,https://zirkular.net/en/project/building-k-118/,1,rel:BETEILIGT_AN:zirkular->p_k118_kopfbau_halle_118_winterthur
r_zirkular__beteiligt_an__p_elys_kultur_gewerbehaus_basel,BETEILIGT_AN,zirkular,p_elys_kultur_gewerbehaus_basel,claim_k118_zirkular_foundation_trigger,Fact,belegt,§4,https://zirkular.net/en/project/building-k-118/,1,rel:BETEILIGT_AN:zirkular->p_elys_kultur_gewerbehaus_basel
r_madaster__belegt_in__q_url_c19e3aef6ee77ca6de0e75bf46654fb0,BELEGT_IN,madaster,q_url_c19e3aef6ee77ca6de0e75bf46654fb0,claim_madaster_ch_registry,Fact,belegt,§7,https://madaster.ch/en/,0,rel:BELEGT_IN:madaster->q_url_c19e3aef6ee77ca6de0e75bf46654fb0
r_useagain_bauteilclick__belegt_in__q_url_82ad61e4b3672c05a8fedf46e57faee6,BELEGT_IN,useagain_bauteilclick,q_url_82ad61e4b3672c05a8fedf46e57faee6,claim_useagain_marketplace_homepage,Fact,belegt,§5,https://www.useagain.ch/de/,1,rel:BELEGT_IN:useagain_bauteilclick->q_url_82ad61e4b3672c05a8fedf46e57faee6
r_useagain_bauteilclick__belegt_in__q_url_9fce1894aaa7455c757369850397e39f,BELEGT_IN,useagain_bauteilclick,q_url_9fce1894aaa7455c757369850397e39f,claim_useagain_network_baselladen,Fact,belegt,§5,https://library-of-reuse.ch/pioneers/useagain,2,rel:BELEGT_IN:useagain_bauteilclick->q_url_9fce1894aaa7455c757369850397e39f
