key,cc,tid,name,official_url,access_status,research_status,logo_lead_count,logo_leads,brand_media_pages,contact_pages,preferred_permission_email,domain_finding_status,domain_finding_note,recommended_outcome
BE:G01,BE,G01,ERDF / FEDER Brüssel-Hauptstadt,https://erdf.brussels/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,7,https://erdf.brussels/wp-content/uploads/2024/03/cropped-logo-iris-1-32x32.png | https://erdf.brussels/wp-content/uploads/2024/03/cropped-logo-iris-1-192x192.png | https://erdf.brussels/wp-content/uploads/2024/03/cropped-logo-iris-1-180x180.png | https://feder.brussels/wp-content/uploads/2024/09/BI-FR-LOGO-WHITE.png | https://feder.brussels/wp-content/uploads/2024/09/BI-NL-LOGO-WHITE.png | https://feder.brussels/wp-content/uploads/2024/09/BI-UK-LOGO-WHITE.png | https://feder.brussels/wp-content/uploads/2022/05/BI-UK-LOGO-WHITE.png,,https://erdf.brussels/programmation-2021-2027-2/to-understand-everything-about-the-new-2021-2027-programming/,,,,manual_candidate_review
BE:I04,BE,I02,OVAM (Openbare Vlaamse Afvalstoffenmaatschappij),https://ovam.vlaanderen.be/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,3,https://ovam.vlaanderen.be/o/ovam-website-theme/images/favicon.ico | https://ovam.vlaanderen.be/o/ovam-website-theme/assets/images/logo_be.png | https://ovam.vlaanderen.be/documents/177281/875711/5-beelden-combinatie_1920-500pix-v1.jpg/24483590-3cfc-2ec0-bfb2-768c0befe058?version=1.0&t=1771946573969&imagePreview=1,https://ovam.vlaanderen.be/werken-bij-de-ovam,https://ovam.vlaanderen.be/contact,info@ovam.be,,,manual_candidate_review
BE:M02,BE,M02,Antique Fireplaces First,https://antiquefireplacesfirst.com/,error:URLError:<urlopen error timed out>,official_site_unreachable_manual_research_required,0,,,,,,,none_no_lead
BE:M16,BE,M15,Het arduinen hoekje,https://arduinen-hoekje.be/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,0,,,https://arduinen-hoekje.be/nl/contact,info@arduinen-hoekje.be,,,none_no_lead
BE:M28,BE,M26,Recupan bvba,http://www.recupan.be/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,2,http://www.recupan.be/wp-content/uploads/2012/12/logo.gif | http://www.recupan.be/wp-content/themes/Avada/images/logo-footer.gif,,http://www.recupan.be/contacteer-recupan/index.html,info@recupan.be,,,manual_candidate_review
BE:M32,BE,M29,Van Huele,https://www.vanhuele.be/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,2,https://www.vanhuele.be/wp-content/themes/architect/images/apple-touch-icon.png | http://www.vanhuele.be/wp-content/uploads/2015/08/VanHuele_Logo.png,,https://www.vanhuele.be/?page_id=45,info@vanhuele.be,,,manual_candidate_review
CH:M04,CH,M04,Bauteilkatalog Immobilien Basel-Stadt,https://www.bs.ch/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,5,"https://www.bs.ch/_nuxt/logo-metropolitankonferenz.DcnabBCn.png | https://media.bs.ch/fe_nuxt_crop/variables-w-396-h-297/0d55c476a92385cf45fb8bdb9bd5cf8036c223a4/image.jpg | https://media.bs.ch/dynamic/noop/ebe96370597982f15880199903f779022459da81/kleinbasel-02.jpg | https://www.bs.chStadt im Hintergrund."" /> Importiert Nein Organisationen IT BS | https://media.bs.ch/og_image/1b4c7a5f8513e495cde77c735ccbbf6050748bd7/rathaus-backview.png?h=8abcec71&itok=IW7GrtdN",https://www.bs.ch/medien | https://www.bs.ch/impressum,https://staatskalender.bs.ch,info@bs.ch,,,manual_candidate_review
CH:M07,CH,M07,Bauteilverwertung Köppel & Klein,https://www.bauteilverwertung.ch/,ok,contact_route_found_permission_not_requested,1,https://www.bauteilverwertung.ch/img/logo2.png,,https://www.bauteilverwertung.ch/kontakt.html,bauteilverwertung@gmx.ch,,,manual_candidate_review
CH:M13,CH,M14,ReUse Recycling Center Riedtwil / wiederverwendung.ch,https://www.wiederverwendung.ch/,ok,contact_route_found_permission_not_requested,0,,https://hiltbrunnerag.ch/Downloads_News_Offene_Stellen.html | https://hiltbrunnerag.ch/files/media/Dokumente/Preisliste%20RRC%202026.pdf,https://hiltbrunnerag.ch/kontakt.html | https://hiltbrunnerag.ch/ueber-uns.html,info@hiltbrunnerag.ch,,,none_no_lead
CH:U01,CH,U01,aik Architektur + Ingenieur Kollektiv,,not_attempted,no_official_domain,0,,,,,no_exact_first_party_domain_found,"AIK is documented as a project consultant, but no exact current first-party site was found.",none
CH:U04,CH,U03,baubüro in situ,https://insitu.ch/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,0,,https://insitu.ch/kontakt/impressum,https://insitu.ch/kontakt | https://insitu.ch/kontakt/impressum,info@insitu.ch,,,none_no_lead
CH:U05,CH,U04,Bischof Föhn Architektur,https://www.bf-architekten.ch/,ok,contact_route_found_permission_not_requested,0,,,,info@bf-architekten.ch,,,none_no_lead
