code	name_de	name_en	definition_de
G	Angebot, Matching & Transaktionskoordination	Supply, matching, and transaction coordination	Hürden bei Sichtbarkeit von Angebot und Nachfrage, Matching und Koordination der Transaktion.
G1	Angebotssichtbarkeit	Supply visibility	Verfügbare Bauteile sind auf der Plattform nicht oder unvollständig sichtbar.
G1.1	Produkte nicht inventarisiert	Products not inventoried	Vorhandene Bauteile wurden nicht erfasst und erscheinen daher nicht im Angebot.
G1.2	Listungen zu spät veröffentlicht	Listings published too late	Angebote werden erst veröffentlicht, wenn der Bedarf bereits gedeckt ist.
G1.3	Künftige Verfügbarkeit nicht erfasst	Future availability not recorded	Erwartete spätere Verfügbarkeit von Bauteilen wird nicht dokumentiert.
G1.4	Standort nicht erfasst	Location not recorded	Der Standort der angebotenen Bauteile ist nicht angegeben.
G1.5	Menge nicht bestätigt	Quantity not confirmed	Die verfügbare Menge ist nicht bestätigt.
G1.6	Verfügbarkeitsstatus nicht aktualisiert	Availability status not updated	Der Verfügbarkeitsstatus wird nicht auf aktuellem Stand gehalten.
G2	Nachfragesichtbarkeit	Demand visibility	Der Bedarf der Projekte ist nicht sichtbar oder nicht ausreichend spezifiziert.
G2.1	Projektanforderungen nicht veröffentlicht	Project requirements not published	Die Anforderungen eines Projekts werden nicht öffentlich gemacht.
G2.2	Benötigte Mengen nicht spezifiziert	Required quantities not specified	Die benötigten Mengen sind nicht angegeben.
G2.3	Maßtoleranzen nicht spezifiziert	Dimensional tolerances not specified	Zulässige Maßtoleranzen des Bedarfs sind nicht angegeben.
G2.4	Technische Kriterien nicht spezifiziert	Technical criteria not specified	Technische Anforderungskriterien sind nicht angegeben.
G2.5	Benötigte Termine nicht spezifiziert	Required dates not specified	Die benötigten Liefertermine sind nicht angegeben.
G2.6	Entwurfsflexibilität nicht abgebildet	Design flexibility not represented	Der Spielraum des Entwurfs für Alternativen ist nicht abgebildet.
G3	Kompatibilitäts-Mismatch	Compatibility mismatch	Angebot und Nachfrage passen in relevanten Eigenschaften nicht zusammen.
G3.1	Produkttyp-Mismatch	Product-type mismatch	Angebotener und benötigter Produkttyp stimmen nicht überein.
G3.2	Mengen-Mismatch	Quantity mismatch	Angebotene und benötigte Menge stimmen nicht überein.
G3.3	Maß-Mismatch	Dimensional mismatch	Abmessungen von Angebot und Bedarf stimmen nicht überein.
G3.4	Material-Mismatch	Material mismatch	Angebotenes und benötigtes Material stimmen nicht überein.
G3.5	Leistungs-Mismatch	Performance mismatch	Leistungseigenschaften von Angebot und Bedarf stimmen nicht überein.
G3.6	Zustands-Mismatch	Condition mismatch	Der Zustand entspricht nicht den Anforderungen des Bedarfs.
G3.7	Zertifizierungs-Mismatch	Certification mismatch	Vorhandene Zertifizierung entspricht nicht den geforderten Nachweisen.
G3.8	Standort-Mismatch	Location mismatch	Standort von Angebot und Bedarf passen logistisch nicht zusammen.
G3.9	Preis-Mismatch	Price mismatch	Angebotspreis und Preisvorstellung des Bedarfs stimmen nicht überein.
G4	Verfügbarkeitsunsicherheit	Availability uncertainty	Ob gelistete Bauteile tatsächlich verfügbar werden, ist unsicher.
