code	name_de	name_en	definition_de
A	Informationsgrundlage	Information foundation	Einschränkungen bei Verfügbarkeit, Qualität und Pflege wiederverwendungsrelevanter Informationen.
A1	Informationsverfügbarkeit	Information availability	Ob benötigte Wiederverwendungsinformationen existieren und zugänglich sind.
A1.1	Fehlende Bestandsdaten	Missing built-environment records	Fehlende Informationen über bestehende Gebäude und frühere Eingriffe.
A1.1.1	Fehlende As-built-Informationen	Missing as-built information	Kein verlässlicher Nachweis des tatsächlich gebauten Zustands.
A1.1.2	Fehlendes BIM-/digitales Gebäudemodell	Missing BIM or digital building model	Kein digitales Gebäudemodell oder BIM des Bestands vorhanden.
A1.1.3	Fehlende Sanierungshistorie	Missing renovation history	Keine Aufzeichnung früherer Sanierungen oder Umbauten.
A1.2	Fehlende Bauteildaten	Missing component records	Fehlende Datensätze zu einzelnen Bauteilen des Bestands.
A1.2.1	Fehlende Herstellerinformation	Missing manufacturer information	Der Hersteller eines Bauteils ist nicht dokumentiert.
A1.2.2	Fehlende Produktmodell-Information	Missing product model information	Das Produktmodell eines Bauteils ist nicht dokumentiert.
A1.2.3	Fehlende Bauteilkennung	Missing component identifier	Das Bauteil trägt keinen eindeutigen Identifikator.
A1.2.4	Fehlendes Einbaudatum	Missing installation date	Das Einbaudatum des Bauteils ist nicht erfasst.
A1.3	Fehlende technische Nachweise	Missing technical evidence	Fehlende technische Nachweise zu Leistung und Zustand von Bauteilen.
A1.3.1	Fehlende Leistungsdaten	Missing performance data	Keine Daten zur technischen Leistung des Bauteils vorhanden.
A1.3.2	Fehlende Wartungsprotokolle	Missing maintenance records	Keine Aufzeichnungen über Wartung und Instandhaltung.
A1.3.3	Fehlende Prüfdokumentation	Missing test documentation	Keine Dokumentation früherer Prüfungen des Bauteils.
A1.3.4	Fehlende Originalzertifizierung	Missing original certification	Die ursprüngliche Zertifizierung des Bauteils fehlt.
A1.4	Unzureichende Sekundärprodukt-Inventare	Insufficient secondary-product inventories	Unzureichende Bestandslisten wiederverwendbarer Sekundärprodukte.
A1.4.1	Begrenzte Inventarabdeckung	Limited inventory coverage	Das Inventar deckt nur einen kleinen Teil verfügbarer Bauteile ab.
A1.4.2	Unzugängliche Listungen	Inaccessible listings	Vorhandene Listungen sind nicht zugänglich.
A1.4.3	Lückenhafte geografische Abdeckung	Sparse geographic coverage	Die geografische Abdeckung der Inventare ist lückenhaft.
A2	Informationsspezifikation	Information specification	Welche Bauteildaten in welchem Umfang verpflichtend erfasst werden müssen.
A2.1	Undefinierter Mindest-Bauteildatensatz	Undefined minimum component record	Kein definierter Mindestdatensatz für ein Bauteil.
A2.2	Übermäßige Pflichtinformationen	Excessive mandatory information	Zu viele Pflichtangaben erschweren die Datenerfassung.
A2.3	Inkonsistente Pflichtfelder	Inconsistent mandatory fields	Pflichtfelder sind zwischen Systemen uneinheitlich.
A2.4	Stakeholder-spezifische Informationskonflikte	Stakeholder-specific information conflicts	Verschiedene Akteure fordern widersprüchliche Informationen.
A2.5	Produktkategorie-spezifische Informationsunterschiede	Product-category-specific information differences	Informationsanforderungen unterscheiden sich je Produktkategorie.
A2.6	Unklare Informationsgranularität	Unclear information granularity	Unklar, auf welcher Ebene Informationen erfasst werden sollen.
A2.6.1	Produktmodell-Ebene	Product model level	Erfassung auf Ebene des Produktmodells.
A2.6.2	Chargen-Ebene	Batch level	Erfassung auf Ebene der Charge.
A2.6.3	Einzelbauteil-Ebene	Individual component level	Erfassung auf Ebene des einzelnen Bauteils.
A2.6.4	Baugruppen-Ebene	Assembly level	Erfassung auf Ebene der Baugruppe.
A3	Informationsqualität	Information quality	Ob Bauteildaten vollständig, korrekt, aktuell und verlässlich sind.
A3.1	Unvollständige Daten	Incomplete data	Datensätze sind unvollständig ausgefüllt.
