anchor_id,evidence_url,evidence_quote,line_ref,evidence_basis,final_decision
baukarussell,https://katalog.baukarussell.at/shop,Listing rows expose “Eichenparkett” and “Parkett Buche” as buyable items.,L59-L63; L151-L165,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE
baukarussell,https://katalog.baukarussell.at/shop,Listing rows expose “Eichenparkett” and “Parkett Buche”.,L59-L63; L151-L165,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE
baukarussell,https://katalog.baukarussell.at/shop,Listing row names “Glas Pendelleuchte”.,L67-L73,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE
baukarussell,https://katalog.baukarussell.at/shop,Product list category “Lampen” and listing row “Glas Pendelleuchte”.,L67-L73,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE
baukarussell,https://katalog.baukarussell.at/shop,Category list includes “Dach” and subcategory “Dachflächenfenster”.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
baukarussell,https://katalog.baukarussell.at/shop,Category list includes “Fassade” and subcategories façade elements/systems.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
baukarussell,https://katalog.baukarussell.at/shop,Category list includes “Fenster” and “Dachflächenfenster”.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
baukarussell,https://katalog.baukarussell.at/shop,Category list includes “Türen” and subcategories “Glas- und Schwingtüren”.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
baukarussell,https://katalog.baukarussell.at/shop,Category list includes “Böden/Wandbeläge”.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
baukarussell,https://katalog.baukarussell.at/shop,Category list includes “Böden/Wandbeläge” and “Trennwände”.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/,Homepage listing row names “Hardwood Front Door”.,L24-L26,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/,Homepage listing row names “Origin Aluminium French Doors Frames & Glass Panels”.,L29-L31,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/,Homepage top-picks/latest rows name “Roof Tiles”.,L40-L42; L108-L110,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/about/,About page lists “bricks” as example item sold through the marketplace.,L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/about/,About page lists “concrete blocks” as example item sold through the marketplace.,L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/about/,About page lists “insulation boards” as example item sold through the marketplace.,L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
