anchor_id,rel_type,target_id,target_label,evidence_url,evidence_quote,line_ref,evidence_basis,final_decision,source_note,pass8_action
enviromate,NUTZT_MATERIAL,mat_holz,Holz,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials available include timber.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,Use to support actor scope and likely material portfolio; first-party page confirms marketplace but not all categories.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
enviromate,NUTZT_MATERIAL,mat_daemmstoff,Dämmstoff,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials available include insulation.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,Use to support actor scope and likely material portfolio; first-party page confirms marketplace but not all categories.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
enviromate,NUTZT_MATERIAL,mat_keramik,Keramik,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials available include tile.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,Use to support actor scope and likely material portfolio; first-party page confirms marketplace but not all categories.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
enviromate,HAT_BAUTEILTYP,bt_tuer,Tür,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials include doors.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,Use to support actor scope and likely portfolio; not first-party product evidence.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
enviromate,HAT_BAUTEILTYP,bt_treppe,Treppe,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials include stairs.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,Use to support actor scope and likely portfolio; not first-party product evidence.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
enviromate,HAT_BAUTEILTYP,bt_daemmung,Dämmung,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials include insulation.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,Use to support actor scope and likely portfolio; not first-party product evidence.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
enviromate,HAT_BAUTEILTYP,bt_boden,Boden,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials include tile.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,Use to support actor scope and likely portfolio; not first-party product evidence.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
material_index,NUTZT_MATERIAL,mat_holz,Holz,https://material-index.co.uk/,Recent requests include Timber beams.,L85-L87,DIRECT_FIRST_PARTY_REQUEST_LIST,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,"Material/request examples, not necessarily current stock; keep review unless live item page confirms availability.",ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
material_index,NUTZT_MATERIAL,mat_ziegel,Ziegel,https://material-index.co.uk/,Recent requests include Heritage bricks and Brick pavers.,L85-L87,DIRECT_FIRST_PARTY_REQUEST_LIST,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,"Material/request examples, not necessarily current stock; keep review unless live item page confirms availability.",ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
material_index,NUTZT_MATERIAL,mat_stahl,Stahl,https://material-index.co.uk/,Recent requests include Bare Steel Encapsulated Panel.,L85-L87,DIRECT_FIRST_PARTY_REQUEST_LIST,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,"Material/request examples, not necessarily current stock; keep review unless live item page confirms availability.",ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
