anchor_id,pass7_status,pass8_status,strict_material_count,strict_bauteiltyp_count,strict_material_ids,strict_bauteiltyp_ids,review_material_ids,review_bauteiltyp_ids,pass8_note
articonnex,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_daemmstoff;mat_holz;mat_kunststoff,bt_ausbau;bt_boden;bt_daemmung;bt_fassade,
backacia,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_holz;mat_kunststoff,bt_boden;bt_tuer,
baticycle,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,0,6,,bt_ausbau;bt_boden;bt_decke;bt_technik;bt_tuer;bt_wand,,,
batiterre,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,5,10,mat_glas;mat_gusseisen;mat_holz;mat_kunststoff;mat_ziegel,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_gelaender;bt_technik;bt_treppe;bt_tuer;bt_wand,mat_glas;mat_gusseisen;mat_holz;mat_keramik;mat_naturstein;mat_ziegel,bt_technik;bt_tuer;bt_wand,
batrecup,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_holz,bt_fenster;bt_tuer,"Material reuse app yes, but public website does not expose a live product catalogue; material/type claims kept review-only."
baukarussell,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,HAS_STRICT_IMPORT_CANDIDATES,2,7,mat_glas;mat_holz,bt_boden;bt_dach;bt_fassade;bt_fenster;bt_technik;bt_tuer;bt_wand,,,Reclassified: first-party shop product/listing rows prove wood/parquet/floor and glass/lighting; category tree adds bauteiltyp coverage.
bauteilboerse_bremen,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_glas;mat_holz;mat_keramik;mat_kunststoff;mat_naturstein;mat_stahl,bt_ausbau;bt_boden;bt_dach;bt_fassade;bt_fenster;bt_gelaender;bt_technik;bt_treppe;bt_tuer;bt_wand,
bauteilladen_winterthur,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,2,1,mat_holz;mat_naturstein,bt_fenster,mat_holz,bt_boden;bt_fenster;bt_technik;bt_treppe;bt_tuer,
bauteilnetz_deutschland,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,2,2,mat_keramik;mat_ziegel,bt_boden;bt_dach,mat_holz;mat_keramik,bt_boden;bt_fenster;bt_technik;bt_tuer;bt_wand,
building_spares_market,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,HAS_STRICT_IMPORT_CANDIDATES,7,7,mat_aluminium;mat_beton;mat_daemmstoff;mat_glas;mat_holz;mat_stahl;mat_ziegel,bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_traeger;bt_tuer;bt_wand,,,"Reclassified: first-party homepage/listings and about page prove door, roof tile, building-material category scope."
cornermat_retrival,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,4,5,mat_glas;mat_holz;mat_keramik;mat_ziegel,bt_dach;bt_fenster;bt_technik;bt_tuer;bt_wand,mat_daemmstoff;mat_holz,bt_boden;bt_daemmung;bt_fenster;bt_technik;bt_wand,
cycle_up,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_glas;mat_kunststoff,bt_fenster,
cycle_zero,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_daemmstoff;mat_holz,bt_boden;bt_daemmung;bt_fenster;bt_technik;bt_tuer,
