claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,coverage_level,graph_element_id
EP08-n-0001,node,ae_bio_wiederverwendungs_hybrid,,,Architekturergebnis,DEPRECATED node ae_bio_wiederverwendungs_hybrid is isolated (degree 0),logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,"degree=0; labels=['Architekturergebnis', 'DEPRECATED']; no active edges",KEEP,08,German legacy duplicate; English replacement carries live edges (Agent 12/07),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:182
EP08-n-0002,node,ae_cultural_continuity_spolia,,,Architekturergebnis,Architekturergebnis node ae_cultural_continuity_spolia (Cultural_Continuity_Spolia) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Architekturergebnis']; in=5 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:204
EP08-n-0003,node,ae_demontierbares_bausatzsystem,,,Architekturergebnis,DEPRECATED node ae_demontierbares_bausatzsystem is isolated (degree 0),logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,"degree=0; labels=['Architekturergebnis', 'DEPRECATED']; no active edges",KEEP,08,German legacy duplicate; English replacement carries live edges (Agent 12/07),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:180
EP08-n-0004,node,ae_didactic_circularity,,,Architekturergebnis,Architekturergebnis node ae_didactic_circularity (Didactic_Circularity) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Architekturergebnis']; in=5 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:206
EP08-n-0005,node,ae_exposed_reuse_structure,,,Architekturergebnis,Architekturergebnis node ae_exposed_reuse_structure (Exposed_Reuse_Structure) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Architekturergebnis']; in=15 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:198
EP08-n-0006,node,ae_industrie_infrastruktur_spolien,,,Architekturergebnis,DEPRECATED node ae_industrie_infrastruktur_spolien is isolated (degree 0),logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,"degree=0; labels=['Architekturergebnis', 'DEPRECATED']; no active edges",KEEP,08,German legacy duplicate; English replacement carries live edges (Agent 12/07),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:181
EP08-n-0007,node,ae_infrastructural_spolia,,,Architekturergebnis,Architekturergebnis node ae_infrastructural_spolia (Infrastructural_Spolia) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Architekturergebnis']; in=3 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:207
EP08-n-0008,node,ae_innenraum_atmosphaere_aus_wiederverwendung,,,Architekturergebnis,DEPRECATED node ae_innenraum_atmosphaere_aus_wiederverwendung is isolated (degree 0),logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,"degree=0; labels=['Architekturergebnis', 'DEPRECATED']; no active edges",KEEP,08,German legacy duplicate; English replacement carries live edges (Agent 12/07),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:178
EP08-n-0009,node,ae_interior_reuse_atmosphere,,,Architekturergebnis,Architekturergebnis node ae_interior_reuse_atmosphere (Interior_Reuse_Atmosphere) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Architekturergebnis']; in=27 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:205
EP08-n-0010,node,ae_modular_grid_form,,,Architekturergebnis,Architekturergebnis node ae_modular_grid_form (Modular_Grid_Form) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Architekturergebnis']; in=9 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:200
EP08-n-0011,node,ae_modulmassebestimmte_form,,,Architekturergebnis,DEPRECATED node ae_modulmassebestimmte_form is isolated (degree 0),logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,"degree=0; labels=['Architekturergebnis', 'DEPRECATED']; no active edges",KEEP,08,German legacy duplicate; English replacement carries live edges (Agent 12/07),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:179
EP08-n-0012,node,ae_oeffentliche_wiederverwendungs_identitaet,,,Architekturergebnis,DEPRECATED node ae_oeffentliche_wiederverwendungs_identitaet is isolated (degree 0),logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,"degree=0; labels=['Architekturergebnis', 'DEPRECATED']; no active edges",KEEP,08,German legacy duplicate; English replacement carries live edges (Agent 12/07),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:183
EP08-n-0013,node,ae_patchwork_envelope,,,Architekturergebnis,Architekturergebnis node ae_patchwork_envelope (Patchwork_Envelope) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Architekturergebnis']; in=12 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:199
EP08-n-0014,node,ae_patchwork_fassade,,,Architekturergebnis,DEPRECATED node ae_patchwork_fassade is isolated (degree 0),logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,"degree=0; labels=['Architekturergebnis', 'DEPRECATED']; no active edges",KEEP,08,German legacy duplicate; English replacement carries live edges (Agent 12/07),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:177
EP08-n-0015,node,ae_reversible_tectonics,,,Architekturergebnis,Architekturergebnis node ae_reversible_tectonics (Reversible_Tectonics) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Architekturergebnis']; in=3 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:201
EP08-n-0016,node,ae_sichtbares_wiederverwendetes_tragwerk,,,Architekturergebnis,DEPRECATED node ae_sichtbares_wiederverwendetes_tragwerk is isolated (degree 0),logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,"degree=0; labels=['Architekturergebnis', 'DEPRECATED']; no active edges",KEEP,08,German legacy duplicate; English replacement carries live edges (Agent 12/07),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:176
EP08-n-0017,node,ar_aufbereitung_refurbishment,,,Akteurrolle,Akteurrolle node ar_aufbereitung_refurbishment (Aufbereitung_Refurbishment) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=43 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4436
EP08-n-0018,node,ar_bauausfuehrung_fertigung,,,Akteurrolle,Akteurrolle node ar_bauausfuehrung_fertigung (Bauausfuehrung_Fertigung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=69 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6152
EP08-n-0019,node,ar_bauherr_auftraggeber,,,Akteurrolle,Akteurrolle node ar_bauherr_auftraggeber (Bauherr_Auftraggeber) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=85 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4438
EP08-n-0020,node,ar_betrieb_nutzung,,,Akteurrolle,Akteurrolle node ar_betrieb_nutzung (Betrieb_Nutzung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=34 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6157
EP08-n-0021,node,ar_bildung_wissenstransfer,,,Akteurrolle,Akteurrolle node ar_bildung_wissenstransfer (Bildung_Wissenstransfer) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=38 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6158
EP08-n-0022,node,ar_entwurf_planung,,,Akteurrolle,Akteurrolle node ar_entwurf_planung (Entwurf_Planung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=185 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6150
EP08-n-0023,node,ar_fachplanung_nachweis,,,Akteurrolle,Akteurrolle node ar_fachplanung_nachweis (Fachplanung_Nachweis) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=118 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6151
EP08-n-0024,node,ar_fassade,,,Akteurrolle,Akteurrolle node ar_fassade (Fassade) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=1 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6165
