cluster_id,agent_id,rel_type,verdict,row_count,proof_quote_pattern,basis_type,proposed_action,origin_run,origin_script_or_artifact,root_cause_bucket,git_first_commit,git_first_date,git_first_author,git_blame_head_commit,git_blame_head_date,agent_09_match_count,agent_09_verdicts,ppa_json_match_slices,sample_claim_ids,sample_from_to,dossier_inbox_paths,remediation_hint
G03-C001,G03,LIEGT_IN_LAND,PARTIAL,335,country_unconfirmed_no_address,logic,KEEP,2026-05-20_inbox_batch2_import / actor_registry,pre-geo structural LIEGT_IN_* (no address on Akteur/Software/Programm),organisational_node_no_geo_address,,,,,,335,PARTIAL:335,,09-lil-0118;09-lil-0063;09-lil-0162,gardiner_and_theobald->land_vereinigtes_koenigreich;cantillon->land_vereinigtes_koenigreich,,Add address or drop LIEGT_IN_* for non-geolocatable organisational nodes
G03-C002,G03,BETEILIGT_AN,PARTIAL,152,placeholder_source:empty,dossier,RESOURCE,pre-2026-06-06_inbox_dossier_import,_neo4j/review/2026-06-06_project_bg_geo_extract/akteur_typ_projekt_geo.json,placeholder_geo_source_token,ed1d81d9b5be,2026-06-06,Kinan Sarakbi,ed1d81d9b5be,2026-06-06,152,PARTIAL:152,,09-beteiligt_an-0260;09-beteiligt_an-0316;09-beteiligt_an-0786,abn_amro->p_circl_abn_amro;bam_bouw_techniek->p_circl_abn_amro,_neo4j/intake/inbox/research/new taxonomy edit/_filtered_non_reuse_bgs.md,Replace processed/archive tokens with real primary_source_url from dossier
G03-C003,G03,BETEILIGT_AN,PARTIAL,38,inferred_shared_material_candidate,web,RELABEL,2026-06-01_bauteilboerse_edge_enrichment,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,shared_material_inference_import,f9cf1a8c8fd9,2026-06-02,Kinan Sarakbi,f9cf1a8c8fd9,2026-06-02,38,PARTIAL:38,,09-beteiligt_an-0328;09-beteiligt_an-0329;09-beteiligt_an-0767,bauteilladen_winterthur->bg_mehrere_dach_grubenstrasse_sheets;bauteilladen_winterthur->bg_mehrere_mehrere_grubenstrasse_windows_doors,,RELABEL as candidate; do not treat as proven participation
G03-C004,G03,LIEGT_IN_STADT,PARTIAL,26,city_unconfirmed_no_address,logic,KEEP,pre-2026-06-06_inbox_dossier_import,structural LIEGT_IN_STADT without node.adresse,missing_address_on_node,,,,,,26,PARTIAL:26,,09-lis-0120;09-lis-0140;09-lis-0011,bw_schaerenmoosstrasse_zuerich->stadt_zuerich;bw_ubs_altstetten->stadt_zuerich,,Backfill adresse via geo_extract or remove city edge
G03-C005,G03,BETEILIGT_AN,PARTIAL,25,inferred_shared_material_candidate,logic,RELABEL,2026-06-01_bauteilboerse_edge_enrichment,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,shared_material_inference_import,f9cf1a8c8fd9,2026-06-02,Kinan Sarakbi,f9cf1a8c8fd9,2026-06-02,25,PARTIAL:25,,09-beteiligt_an-0502;09-beteiligt_an-0503;09-beteiligt_an-0644,gebruiktebouwmaterialen->bg_beton_wand_chiro_surplus_blocks;gebruiktebouwmaterialen->bg_daemmstoff_daemmung_chiro_surplus_floor_wall,,RELABEL as candidate; do not treat as proven participation
G03-C006,G03,BETEILIGT_AN,PARTIAL,9,placeholder_source:processed+archive,dossier,RESOURCE,pre-2026-06-06_inbox_dossier_import,_neo4j/review/2026-06-06_project_bg_geo_extract/akteur_typ_projekt_geo.json,placeholder_geo_source_token,ed1d81d9b5be,2026-06-06,Kinan Sarakbi,ed1d81d9b5be,2026-06-06,9,PARTIAL:9,,09-beteiligt_an-0378;09-beteiligt_an-0500;09-beteiligt_an-0374,cbre->p_55_great_suffolk_street_london;gardiner_and_theobald->p_55_great_suffolk_street_london,_neo4j/intake/inbox/research/graph_patch_validation.md|_neo4j/intake/inbox/research/new taxonomy edit/reuse_taxonomy_v9_connection_expansion_batch_01_markdown_only.md|_neo4j/intake/inbox/research/new taxonomy edit/reuse_taxonomy_v9_connection_expansion_batch_09.md,Replace processed/archive tokens with real primary_source_url from dossier
G03-C007,G03,BETEILIGT_AN,PARTIAL,8,placeholder_source:processed+ELYS,dossier,RESOURCE,pre-2026-06-06_inbox_dossier_import,_neo4j/review/2026-06-06_project_bg_geo_extract/akteur_typ_projekt_geo.json,placeholder_geo_source_token,ed1d81d9b5be,2026-06-06,Kinan Sarakbi,ed1d81d9b5be,2026-06-06,8,PARTIAL:8,,09-beteiligt_an-0559;09-beteiligt_an-0544;09-beteiligt_an-0725,immobilien_basel_stadt->p_elys_kultur_gewerbehaus_basel;hochbauamt_basel_stadt->p_elys_kultur_gewerbehaus_basel,_neo4j/intake/inbox/research/new taxonomy edit/reuse_taxonomy_v9_connection_expansion_batch_05.md|_neo4j/intake/inbox/research/new taxonomy edit/_normalized/reuse_taxonomy_v9_connection_expansion_batch_05.md|_archive/research/gebaeude/ELYS_Kultur_Gewerbehaus_Basel.md,Replace processed/archive tokens with real primary_source_url from dossier
G03-C008,G03,BETEILIGT_AN,PARTIAL,7,placeholder_source:archive,dossier,RESOURCE,pre-2026-06-06_inbox_dossier_import,_neo4j/review/2026-06-06_project_bg_geo_extract/akteur_typ_projekt_geo.json,placeholder_geo_source_token,ed1d81d9b5be,2026-06-06,Kinan Sarakbi,ed1d81d9b5be,2026-06-06,7,PARTIAL:7,,09-beteiligt_an-0518;09-beteiligt_an-0631;09-beteiligt_an-0569,gmp_architekten->p_christ_pavilion_volkenroda;meinhard_von_gerkan->p_christ_pavilion_volkenroda,_neo4j/intake/inbox/research/new taxonomy edit/reuse_taxonomy_v9_connection_expansion_batch_06.md|_neo4j/intake/inbox/research/new taxonomy edit/_normalized/reuse_taxonomy_v9_connection_expansion_batch_06.md|_archive/research/gebaeude/Christ_Pavilion_Volkenroda.md,Replace processed/archive tokens with real primary_source_url from dossier
G03-C009,G03,BETEILIGT_AN,PARTIAL,7,placeholder_source:processed+web,dossier,RESOURCE,pre-2026-06-06_inbox_dossier_import,_neo4j/review/2026-06-06_project_bg_geo_extract/akteur_typ_projekt_geo.json,placeholder_geo_source_token,ed1d81d9b5be,2026-06-06,Kinan Sarakbi,ed1d81d9b5be,2026-06-06,7,PARTIAL:7,,09-beteiligt_an-0841;09-beteiligt_an-0744;09-beteiligt_an-0481,zrs_ingenieure->p_crclr_house_impact_hub_berlin;solares_bauen->p_crclr_house_impact_hub_berlin,_neo4j/intake/inbox/research/bauteilboerse_graph_deeper_audit_direct_evidence_run02_2026-06-02.md|_archive/research/gebaeude/CRCLR_House_Impact_Hub_Berlin.md|_archive/research/fallstudie/CRCLR_House/index.md,Replace processed/archive tokens with real primary_source_url from dossier
G03-C010,G03,BETEILIGT_AN,PARTIAL,6,placeholder_source:Council of the EU,dossier,RESOURCE,pre-2026-06-06_inbox_dossier_import,_neo4j/review/2026-06-06_project_bg_geo_extract/akteur_typ_projekt_geo.json,placeholder_geo_source_token,ed1d81d9b5be,2026-06-06,Kinan Sarakbi,ed1d81d9b5be,2026-06-06,6,PARTIAL:6,,09-beteiligt_an-0670;09-beteiligt_an-0763;09-beteiligt_an-0370,philippe_samyn_and_partners->p_europa_building_brussels;studio_valle_progettazioni->p_europa_building_brussels,_neo4j/intake/inbox/research/graph_patch_validation.md|_neo4j/intake/inbox/research/prompts.md|_neo4j/intake/inbox/research/new taxonomy edit/reuse_taxonomy_v9_connection_expansion_batch_05.md,Replace processed/archive tokens with real primary_source_url from dossier
