claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
w4_w4_03-0001,rel,,archipel_sion_ressourcerie,mat_daemmstoff,NUTZT_MATERIAL,archipel_sion_ressourcerie -NUTZT_MATERIAL-> mat_daemmstoff (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0002,rel,,archipel_sion_ressourcerie,mat_stahl,NUTZT_MATERIAL,archipel_sion_ressourcerie -NUTZT_MATERIAL-> mat_stahl (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0003,rel,,batiterre,mat_glas,NUTZT_MATERIAL,batiterre -NUTZT_MATERIAL-> mat_glas (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0004,rel,,batiterre,mat_kunststoff,NUTZT_MATERIAL,batiterre -NUTZT_MATERIAL-> mat_kunststoff (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0005,rel,,batiterre,mat_ziegel,NUTZT_MATERIAL,batiterre -NUTZT_MATERIAL-> mat_ziegel (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0006,rel,,baukarussell,mat_glas,NUTZT_MATERIAL,baukarussell -NUTZT_MATERIAL-> mat_glas (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0007,rel,,baumab_kassel,mat_beton,NUTZT_MATERIAL,baumab_kassel -NUTZT_MATERIAL-> mat_beton (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0008,rel,,baumab_kassel,mat_glas,NUTZT_MATERIAL,baumab_kassel -NUTZT_MATERIAL-> mat_glas (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0009,rel,,baumab_kassel,mat_holz,NUTZT_MATERIAL,baumab_kassel -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0010,rel,,baumatpool_ch,mat_daemmstoff,NUTZT_MATERIAL,baumatpool_ch -NUTZT_MATERIAL-> mat_daemmstoff (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0011,rel,,bauteilboerse_basel_overall,mat_holz,NUTZT_MATERIAL,bauteilboerse_basel_overall -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
