"claim_id","claim_kind","element_id","from_id","to_id","rel_type_or_label","asserted_claim","basis_type","basis_ref","verdict_before","verdict_after","confidence","demands","fulfillments_before","fulfillments_after","q03_action","patch_op","agent_id","notes","ep08_claim_id","r02_claim_id"
"Q03-nf-0001","node","nf_oekobilanz_epd","pn_epd_oder_lca_nachweis","nf_oekobilanz_epd","Nachweisforderung","Nachweisforderung nf_oekobilanz_epd is demanded but has zero ERFUELLT_NACHWEIS coverage","logic","element_proof_agent_08.csv + remediation_r02.csv + live graph","CONTRADICTION","PROVEN","belegt","67","0","1","ADD_PRUEFUNGNACHWEIS_AND_ERFUELLT","add_node:pn_epd_oder_lca_nachweis; add_rel:pn_epd_oder_lca_nachweis→nf_oekobilanz_epd","Q03","Created pn_epd_oder_lca_nachweis (EPD- oder LCA-Nachweis); high-confidence ERFUELLT_NACHWEIS. R02: R02: 67 demands; 9 GESTUETZT_AUF_REGELWERK (EN 15804/15978, EU Taxonomy). No EPD/LCA PruefungNachweis in catalog.; agent","EP08-n-0862","A13-nf-dangle-0001"
"Q03-nf-0002","node","nf_materialpass_ressourcenpass","pn_materialpass_oder_dpp","nf_materialpass_ressourcenpass","Nachweisforderung","Nachweisforderung nf_materialpass_ressourcenpass is demanded but has zero ERFUELLT_NACHWEIS coverage","logic","element_proof_agent_08.csv + remediation_r02.csv + live graph","CONTRADICTION","PROVEN","belegt","54","0","1","ADD_PRUEFUNGNACHWEIS_AND_ERFUELLT","add_node:pn_materialpass_oder_dpp; add_rel:pn_materialpass_oder_dpp→nf_materialpass_ressourcenpass","Q03","Created pn_materialpass_oder_dpp (Materialpass oder DPP); high-confidence ERFUELLT_NACHWEIS. R02: R02: 54 demands; ESPR DPP / EU Level(s) backed. No material-passport / DPP procedure node.; agent13: dangling requiremen","EP08-n-0859","A13-nf-dangle-0002"
"Q03-nf-0003","node","nf_barrierefreiheit_nachweis","pn_barrierefreiheitsaudit","nf_barrierefreiheit_nachweis","Nachweisforderung","Nachweisforderung nf_barrierefreiheit_nachweis is demanded but has zero ERFUELLT_NACHWEIS coverage","logic","element_proof_agent_08.csv + remediation_r02.csv + live graph","CONTRADICTION","PROVEN","belegt","18","0","1","ADD_PRUEFUNGNACHWEIS_AND_ERFUELLT","add_node:pn_barrierefreiheitsaudit; add_rel:pn_barrierefreiheitsaudit→nf_barrierefreiheit_nachweis","Q03","Created pn_barrierefreiheitsaudit (Barrierefreiheitsaudit); high-confidence ERFUELLT_NACHWEIS. R02: R02: 18 demands; DIN 18040 backed. No accessibility audit procedure in catalog.; agent13: dangling requirement","EP08-n-0847","A13-nf-dangle-0011"
"Q03-nf-0004","node","nf_elektrosicherheitsnachweis","pn_elektrosicherheitspruefung","nf_elektrosicherheitsnachweis","Nachweisforderung","Nachweisforderung nf_elektrosicherheitsnachweis is demanded but has zero ERFUELLT_NACHWEIS coverage","logic","element_proof_agent_08.csv + remediation_r02.csv + live graph","CONTRADICTION","PROVEN","belegt","7","0","1","ADD_PRUEFUNGNACHWEIS_AND_ERFUELLT","add_node:pn_elektrosicherheitspruefung; add_rel:pn_elektrosicherheitspruefung→nf_elektrosicherheitsnachweis","Q03","Created pn_elektrosicherheitspruefung (Elektrosicherheitsprüfung); high-confidence ERFUELLT_NACHWEIS. R02: R02: 7 demands; rw_dguv_v3_vde. No electrical safety test procedure in PruefungNachweis vocab.; agent13: dangling requir","EP08-n-0853","A13-nf-dangle-0014"
"Q03-nf-0005","node","nf_hygiene_und_reinigungsnachweis","pn_trinkwasser_hygiene_nachweis","nf_hygiene_und_reinigungsnachweis","Nachweisforderung","Nachweisforderung nf_hygiene_und_reinigungsnachweis is demanded but has zero ERFUELLT_NACHWEIS coverage","logic","element_proof_agent_08.csv + remediation_r02.csv + live graph","CONTRADICTION","PROVEN","belegt","7","0","1","ADD_PRUEFUNGNACHWEIS_AND_ERFUELLT","add_node:pn_trinkwasser_hygiene_nachweis; add_rel:pn_trinkwasser_hygiene_nachweis→nf_hygiene_und_reinigungsnachweis","Q03","Created pn_trinkwasser_hygiene_nachweis (Trinkwasser-Hygiene-Nachweis); high-confidence ERFUELLT_NACHWEIS. R02: R02: 7 demands; rw_vdi_6023_6022 drinking-water hygiene. No matching procedure.; agent13: dangling requirement","EP08-n-0858","A13-nf-dangle-0015"
"Q03-nf-0006","node","nf_befestigungsnachweis","pn_ankerpruefung","nf_befestigungsnachweis","Nachweisforderung","Nachweisforderung nf_befestigungsnachweis is demanded but has zero ERFUELLT_NACHWEIS coverage","logic","element_proof_agent_08.csv + remediation_r02.csv + live graph","CONTRADICTION","PARTIAL_COVERAGE","teilweise_belegt","48","0","1","ADD_MEDIUM_ERFUELLT_DOCUMENTED","add_rel:pn_ankerpruefung→nf_befestigungsnachweis","Q03","Medium-confidence mapping documented (not upgraded to belegt): pn_ankerpruefung. anchor pull-out test supports fastening proof (EN 1992-4 / facade anchorage)","EP08-n-0850","A13-nf-dangle-0004"
"Q03-nf-0007","node","nf_schadstoffkataster_erkundung","pr_dokumentenpruefung_bestand","nf_schadstoffkataster_erkundung","Nachweisforderung","Nachweisforderung nf_schadstoffkataster_erkundung is demanded but has zero ERFUELLT_NACHWEIS coverage","logic","element_proof_agent_08.csv + remediation_r02.csv + live graph","CONTRADICTION","PARTIAL_COVERAGE","teilweise_belegt","39","0","1","ADD_MEDIUM_ERFUELLT_DOCUMENTED","add_rel:pr_dokumentenpruefung_bestand→nf_schadstoffkataster_erkundung","Q03","Medium-confidence mapping documented (not upgraded to belegt): pr_dokumentenpruefung_bestand. pre-demolition document review / building pollutant register (VDI 6210 / ATV DIN 18459)","EP08-n-0865","A13-nf-dangle-0005"
"Q03-nf-0008","node","nf_dauerhaftigkeit_restlebensdauer","pr_zustandsbewertung","nf_dauerhaftigkeit_restlebensdauer","Nachweisforderung","Nachweisforderung nf_dauerhaftigkeit_restlebensdauer is demanded but has zero ERFUELLT_NACHWEIS coverage","logic","element_proof_agent_08.csv + remediation_r02.csv + live graph","CONTRADICTION","PARTIAL_COVERAGE","teilweise_belegt","35","0","1","ADD_MEDIUM_ERFUELLT_DOCUMENTED","add_rel:pr_zustandsbewertung→nf_dauerhaftigkeit_restlebensdauer","Q03","Medium-confidence mapping documented (not upgraded to belegt): pr_zustandsbewertung. condition assessment informs remaining service life (DIN SPEC 91525 PUC)","EP08-n-0852","A13-nf-dangle-0006"
"Q03-nf-0009","node","nf_genehmigungs_oder_zustimmungsbedarf","pn_approval_process","nf_genehmigungs_oder_zustimmungsbedarf","Nachweisforderung","Nachweisforderung nf_genehmigungs_oder_zustimmungsbedarf is demanded but has zero ERFUELLT_NACHWEIS coverage","logic","element_proof_agent_08.csv + remediation_r02.csv + live graph","CONTRADICTION","PARTIAL_COVERAGE","teilweise_belegt","27","0","1","ADD_MEDIUM_ERFUELLT_DOCUMENTED","add_rel:pn_approval_process→nf_genehmigungs_oder_zustimmungsbedarf","Q03","Medium-confidence mapping documented (not upgraded to belegt): pn_approval_process. approval / ZIE-ABZ pathway documentation (DIBt Zulassung)","EP08-n-0855","A13-nf-dangle-0009"
"Q03-nf-0010","node","nf_rc_gesteinskoernung_eignung","pn_petrografie","nf_rc_gesteinskoernung_eignung","Nachweisforderung","Nachweisforderung nf_rc_gesteinskoernung_eignung is demanded but has zero ERFUELLT_NACHWEIS coverage","logic","element_proof_agent_08.csv + remediation_r02.csv + live graph","CONTRADICTION","PARTIAL_COVERAGE","teilweise_belegt","25","0","2","ADD_MEDIUM_ERFUELLT_DOCUMENTED","add_rel:pn_petrografie→nf_rc_gesteinskoernung_eignung; add_rel:pr_eignungspruefung_baulehm→nf_rc_gesteinskoernung_eignung","Q03","Medium-confidence mapping documented (not upgraded to belegt): pn_petrografie; pr_eignungspruefung_baulehm. petrographic analysis for recycled aggregate suitability (DAfStb RC concrete)","EP08-n-0864","A13-nf-dangle-0010"
