claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,scope,prior_verdict,prior_claim_id
P604-EP09-r-0003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490292664,albert_and_co,p_ferme_du_rail_paris,BETEILIGT_AN,albert_and_co -BETEILIGT_AN-> p_ferme_du_rail_paris,web,https://grandhuit.eu/projet/ferme-du-rail/,true,200,PROVEN,belegt,"rand huit avec albert et cie (amo), scoping (bet tce), gamba (bet acoustique) et toreana, pouget (be thermique), melanie drevet paysagi",ADD_SOURCE,P6-04,participation link present but unsourced; post-R03 merge survivor — inherited Agent 09 dossier corroboration,A,PARTIAL,EP09-r-0003
P604-EP09-r-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676608668,archipel_zero,p_resilience_la_ferme_des_possibles_stains,BETEILIGT_AN,archipel_zero -BETEILIGT_AN-> p_resilience_la_ferme_des_possibles_stains,web,https://topophile.net/faire/la-ferme-des-possibles-ou-de-la-serendipite/,true,200,PROVEN,belegt,"ploads/2020/12/archipel-zero-la-ferme-des-possibles-exterieur-ouest-2-raphael-pauschitz.jpg"",""url"":""https://topophile.net/wp-content/up",ADD_SOURCE,P6-04,participation link present but unsourced; post-R03 merge survivor — inherited Agent 09 dossier corroboration,A,PARTIAL,EP09-r-0004
P604-EP09-r-0010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490293157,greisch,p_recypark_demets_anderlecht,BETEILIGT_AN,greisch -BETEILIGT_AN-> p_recypark_demets_anderlecht,web,https://www.greisch.com/en/projet/anderlecht-recypark-wood-expertise/,true,200,PROVEN,belegt,"ref"")); bureau greisch - anderlecht recypark - wood expertise bureau greisch - anderlecht recypark - wood expertise {""@context"":""https:",ADD_SOURCE,P6-04,participation link present but unsourced; post-R03 merge survivor — inherited Agent 09 dossier corroboration,A,PARTIAL,EP09-r-0010
P604-EP09-r-0011,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490292391,iemb_tu_berlin,p_plattenpalast_berlin,BETEILIGT_AN,iemb_tu_berlin -BETEILIGT_AN-> p_plattenpalast_berlin,web,https://wwstudio.de/projects/plattenpalst,true,200,PROVEN,belegt,claus asam vom iemb in zusammenarbeit mit dem berliner architekturburo wiewiorra hopp architekten als prototyp entwickelt. es ist das e,ADD_SOURCE,P6-04,Q5 revert: geo-token false positive (shared 'berlin'); needs project-specific source,A,PARTIAL,EP09-r-0011
P604-EP09-r-0012,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490294106,pirmin_jung_schweiz_ag,p_lysp8_basel,BETEILIGT_AN,pirmin_jung_schweiz_ag -BETEILIGT_AN-> p_lysp8_basel,web,https://zirkular.net/en/project/lysp8/,true,200,PROVEN,belegt,"on management) pirmin jung (fachplanung holzbau) architecture: loeliger strub architektur credits: martin zeller, loeliger strub archit",ADD_SOURCE,P6-04,Q5 revert: geo-token false positive; needs lysp8.ch or project page,A,PARTIAL,EP09-r-0012
P604-agent07-rel-0668,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327762802,p_europa_building_brussels,nf_bauteilidentifikation,ERFORDERT_NACHWEIS,Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.,web,https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse,true,403,UNVERIFIABLE,unbelegt,,RESOURCE,P6-04,"Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL; [P6-05] Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL",B,UNVERIFIABLE,agent07-rel-0668
P604-agent07-rel-0669,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763095,p_institut_de_botanique_ulg_liege,nf_bauteilidentifikation,ERFORDERT_NACHWEIS,Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.,web,https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse,true,403,UNVERIFIABLE,unbelegt,,RESOURCE,P6-04,"Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL; [P6-05] Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL",B,UNVERIFIABLE,agent07-rel-0669
P604-agent07-rel-0670,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763248,p_lo_reninge_town_hall_facade,nf_bauteilidentifikation,ERFORDERT_NACHWEIS,Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.,web,https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse,true,403,UNVERIFIABLE,unbelegt,,RESOURCE,P6-04,"Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL; [P6-05] Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL",B,UNVERIFIABLE,agent07-rel-0670
P604-agent07-rel-0671,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763344,p_multi_brussels_reuse_in_multi,nf_bauteilidentifikation,ERFORDERT_NACHWEIS,Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.,web,https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse,true,403,UNVERIFIABLE,unbelegt,,RESOURCE,P6-04,"Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL; [P6-05] Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL",B,UNVERIFIABLE,agent07-rel-0671
P604-agent07-rel-0672,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763357,p_musee_de_folklore_mouscron,nf_bauteilidentifikation,ERFORDERT_NACHWEIS,Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.,web,https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse,true,403,UNVERIFIABLE,unbelegt,,RESOURCE,P6-04,"Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL; [P6-05] Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL",B,UNVERIFIABLE,agent07-rel-0672
