delta_action,pass_scope,claim_id,claim_kind,graph_element_id,from_id,to_id,rel_type_or_label,prior_verdict,new_verdict,reason,notes
REMOVE,Q1,agent07-rel-0328,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327759348,bt_fassadenmodul_mauerwerk,nf_materialpruefung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0329,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327759340,bt_mauerstein,nf_materialpruefung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0330,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141444588,bt_mauerstein,nf_produktstatus_und_leistungserklaerung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0656,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955129790,bt_hohlkoerperdecke,nf_standsicherheitsnachweis,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0657,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327759294,bt_hohlkoerperdecke,nf_materialpruefung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0658,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141444542,bt_hohlkoerperdecke,nf_produktstatus_und_leistungserklaerung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0662,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955129789,mat_spannbeton,nf_standsicherheitsnachweis,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0663,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327759293,mat_spannbeton,nf_materialpruefung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0664,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141444541,mat_spannbeton,nf_produktstatus_und_leistungserklaerung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0688,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955129817,bt_glasscheibe,nf_sicherheitsglas_info,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0689,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327759321,bt_glasscheibe,nf_absturzsicherung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
