claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
post01-0001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629861402,archipel_sion_ressourcerie,bt_boden,HAT_BAUTEILTYP,archipel_sion_ressourcerie —[HAT_BAUTEILTYP]→ bt_boden (catalogue extension),web,https://archipelsion.ch/ressourcerie/inventaire/,true,200,PARTIAL,niedrig,Accueil Événements & agenda Infos pratiques & contact ESPACES À LOUER Locations de Salles Coworking ACTIVITÉS Ressourcerie Atelier partagé Bibliothèque d’Objets Jardins FORCES VIVES Bénévoles Résident·es Partenaires Donateur·rices Équipe Association Utopia L’ARCHIPEL Rue de l’Industrie 47 1950 Sion ,DOWNGRADE,POST-01,"classification present (['parquet', 'terrasse', 'carrelage']) but no strict verbatim edge quote",POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629861402,rel
post01-0002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070917146,archipel_sion_ressourcerie,bt_dach,HAT_BAUTEILTYP,archipel_sion_ressourcerie —[HAT_BAUTEILTYP]→ bt_dach (catalogue extension),web,https://archipelsion.ch/ressourcerie/inventaire/,true,200,PARTIAL,niedrig,Accueil Événements & agenda Infos pratiques & contact ESPACES À LOUER Locations de Salles Coworking ACTIVITÉS Ressourcerie Atelier partagé Bibliothèque d’Objets Jardins FORCES VIVES Bénévoles Résident·es Partenaires Donateur·rices Équipe Association Utopia L’ARCHIPEL Rue de l’Industrie 47 1950 Sion ,DOWNGRADE,POST-01,classification present (['toiture']) but no strict verbatim edge quote,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070917146,rel
post01-0003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443546650,archipel_sion_ressourcerie,bt_fenster,HAT_BAUTEILTYP,archipel_sion_ressourcerie —[HAT_BAUTEILTYP]→ bt_fenster (catalogue extension),web,https://archipelsion.ch/ressourcerie/inventaire/,true,200,PARTIAL,niedrig,Accueil Événements & agenda Infos pratiques & contact ESPACES À LOUER Locations de Salles Coworking ACTIVITÉS Ressourcerie Atelier partagé Bibliothèque d’Objets Jardins FORCES VIVES Bénévoles Résident·es Partenaires Donateur·rices Équipe Association Utopia L’ARCHIPEL Rue de l’Industrie 47 1950 Sion ,DOWNGRADE,POST-01,classification present (['vitrage']) but no strict verbatim edge quote,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443546650,rel
post01-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884602394,archipel_sion_ressourcerie,bt_technik,HAT_BAUTEILTYP,archipel_sion_ressourcerie —[HAT_BAUTEILTYP]→ bt_technik (catalogue extension),web,https://archipelsion.ch/ressourcerie/inventaire/,true,200,PARTIAL,niedrig,Accueil Événements & agenda Infos pratiques & contact ESPACES À LOUER Locations de Salles Coworking ACTIVITÉS Ressourcerie Atelier partagé Bibliothèque d’Objets Jardins FORCES VIVES Bénévoles Résident·es Partenaires Donateur·rices Équipe Association Utopia L’ARCHIPEL Rue de l’Industrie 47 1950 Sion ,DOWNGRADE,POST-01,classification present (['chauffage']) but no strict verbatim edge quote,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884602394,rel
post01-0005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816176154,archipel_sion_ressourcerie,bt_traeger,HAT_BAUTEILTYP,archipel_sion_ressourcerie —[HAT_BAUTEILTYP]→ bt_traeger (catalogue extension),web,https://archipelsion.ch/ressourcerie/inventaire/,true,200,UNSUPPORTED,unbelegt,,DELETE,POST-01,page fetched; zero classification tokens for Traeger; actor_hits=3,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816176154,rel
post01-0006,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257231898,archipel_sion_ressourcerie,bt_tuer,HAT_BAUTEILTYP,archipel_sion_ressourcerie —[HAT_BAUTEILTYP]→ bt_tuer (catalogue extension),web,https://archipelsion.ch/,true,200,PROVEN,belegt,VOUS VENEZ QUAND VOUS… 9 juin 2026 Permanences de l'atelier partagé L’atelier de L’archipel vous ouvre ses portes !,UPGRADE,POST-01,"strict gate pass; class=['portes'] actor=['ressourcerie', 'sion']",POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257231898,rel
post01-0007,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180831,baticycle,bt_ausbau,HAT_BAUTEILTYP,baticycle —[HAT_BAUTEILTYP]→ bt_ausbau (catalogue extension),web,https://baticycle.fr/,true,200,PROVEN,belegt,Matériaux de construction d'occasion - Bâticycle Matériaux de construction d'occasion - Bâticycle Skip to content Bâticycle - Réemploi de matériaux | 06 99 57 37 28 | contact@bati-cycle.fr Matériaux second oeuvre Qui sommes-nous ?,UPGRADE,POST-01,"strict gate pass; class=['second oeuvre', 'cloisons', 'second œuvre'] actor=['baticycle']",POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180831,rel
post01-0008,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866079,baticycle,bt_boden,HAT_BAUTEILTYP,baticycle —[HAT_BAUTEILTYP]→ bt_boden (catalogue extension),web,https://baticycle.fr/materiaux-second-oeuvre/,true,200,PARTIAL,niedrig,,DOWNGRADE,POST-01,weak residual; class_hits=[] actor_hits=['baticycle'],POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866079,rel
post01-0009,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551327,baticycle,bt_decke,HAT_BAUTEILTYP,baticycle —[HAT_BAUTEILTYP]→ bt_decke (catalogue extension),web,https://baticycle.fr/,true,200,UNSUPPORTED,unbelegt,,DELETE,POST-01,page fetched; zero classification tokens for Decke; actor_hits=1,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551327,rel
post01-0010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236575,baticycle,bt_technik,HAT_BAUTEILTYP,baticycle —[HAT_BAUTEILTYP]→ bt_technik (catalogue extension),web,https://baticycle.fr/materiaux-second-oeuvre/,true,200,PROVEN,belegt,"Avec Bâticycle, équipez-vous en radiateurs et chauffe-eau électrique à des prix imbattables.",UPGRADE,POST-01,strict gate pass; class=['electrique'] actor=['baticycle'],POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236575,rel
post01-0011,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921823,baticycle,bt_tuer,HAT_BAUTEILTYP,baticycle —[HAT_BAUTEILTYP]→ bt_tuer (catalogue extension),web,https://baticycle.fr/materiaux-second-oeuvre/,true,200,PROVEN,belegt,"Avec Bâticycle, équipez-vous en cloisons et blocs-portes à des prix imbattables.",UPGRADE,POST-01,strict gate pass; class=['portes'] actor=['baticycle'],POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921823,rel
post01-0012,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884607071,baticycle,bt_wand,HAT_BAUTEILTYP,baticycle —[HAT_BAUTEILTYP]→ bt_wand (catalogue extension),web,https://baticycle.fr/materiaux-second-oeuvre/,true,200,PROVEN,belegt,"Avec Bâticycle, équipez-vous en cloisons et blocs-portes à des prix imbattables.",UPGRADE,POST-01,dossier_quote verified on page; class_hits=['cloisons'],POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884607071,rel
post01-0013,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180832,batiterre,bt_ausbau,HAT_BAUTEILTYP,batiterre —[HAT_BAUTEILTYP]→ bt_ausbau (catalogue extension),web,https://www.batiterre.be/shop,true,200,PARTIAL,niedrig,Products | BatiTerre Se rendre au contenu Accueil Boutique Nos services Général Collecte et Démontage Vente et Préparation au réemploi Remise en oeuvre Conseil et accompagnement WoodPark À propos Contact 0 Suivez-nous 0 Accueil Boutique Nos services Général Collecte et Démontage Vente et Préparation,DOWNGRADE,POST-01,classification present (['cloisons']) but no strict verbatim edge quote,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180832,rel
post01-0014,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866080,batiterre,bt_boden,HAT_BAUTEILTYP,batiterre —[HAT_BAUTEILTYP]→ bt_boden (catalogue extension),web,https://www.batiterre.be/shop,true,200,PARTIAL,niedrig,Products | BatiTerre Se rendre au contenu Accueil Boutique Nos services Général Collecte et Démontage Vente et Préparation au réemploi Remise en oeuvre Conseil et accompagnement WoodPark À propos Contact 0 Suivez-nous 0 Accueil Boutique Nos services Général Collecte et Démontage Vente et Préparation,DOWNGRADE,POST-01,classification present (['carrelage']) but no strict verbatim edge quote,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866080,rel
post01-0015,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551328,batiterre,bt_dach,HAT_BAUTEILTYP,batiterre —[HAT_BAUTEILTYP]→ bt_dach (catalogue extension),web,https://www.batiterre.be/,true,200,UNSUPPORTED,unbelegt,,DELETE,POST-01,page fetched; zero classification tokens for Dach; actor_hits=1,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551328,rel
post01-0016,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236576,batiterre,bt_daemmung,HAT_BAUTEILTYP,batiterre —[HAT_BAUTEILTYP]→ bt_daemmung (catalogue extension),web,https://www.batiterre.be/,true,200,UNSUPPORTED,unbelegt,,DELETE,POST-01,page fetched; zero classification tokens for Daemmung; actor_hits=1,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236576,rel
post01-0017,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921824,batiterre,bt_fenster,HAT_BAUTEILTYP,batiterre —[HAT_BAUTEILTYP]→ bt_fenster (catalogue extension),web,https://www.batiterre.be/,true,200,UNSUPPORTED,unbelegt,,DELETE,POST-01,page fetched; zero classification tokens for Fenster; actor_hits=1,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921824,rel
post01-0018,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884607072,batiterre,bt_gelaender,HAT_BAUTEILTYP,batiterre —[HAT_BAUTEILTYP]→ bt_gelaender (catalogue extension),web,https://www.batiterre.be/,true,200,UNSUPPORTED,unbelegt,,DELETE,POST-01,page fetched; zero classification tokens for Gelaender; actor_hits=1,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884607072,rel
post01-0019,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698292320,batiterre,bt_technik,HAT_BAUTEILTYP,batiterre —[HAT_BAUTEILTYP]→ bt_technik (catalogue extension),web,https://www.batiterre.be/shop,true,200,PARTIAL,niedrig,"3mm cm (L) 13,50 € Profil métallique tube 596,5x9x0,4 cm (L) 59,00 € Profil métallique tube 282x9x0,4 cm (L) 30,00 € Tôle en acier 120,3x267,3 cm (L) 40,00 € Râtelier à vélos 6 places (L) 300,00 € Garde corps inox - 450 cm & 540 cm (L) 75,00 € Échelle à crinoline (L) 350,00 € Porte à panneaux -78*18",DOWNGRADE,POST-01,"classification present (['radiateur', 'chauffage', 'hvac']) but no strict verbatim edge quote",POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698292320,rel
post01-0020,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511977568,batiterre,bt_treppe,HAT_BAUTEILTYP,batiterre —[HAT_BAUTEILTYP]→ bt_treppe (catalogue extension),web,https://www.batiterre.be/,true,200,UNSUPPORTED,unbelegt,,DELETE,POST-01,page fetched; zero classification tokens for Treppe; actor_hits=1,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511977568,rel
post01-0021,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325662816,batiterre,bt_tuer,HAT_BAUTEILTYP,batiterre —[HAT_BAUTEILTYP]→ bt_tuer (catalogue extension),web,https://www.batiterre.be/,true,200,UNSUPPORTED,unbelegt,,DELETE,POST-01,page fetched; zero classification tokens for Tuer; actor_hits=1,POST-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325662816,rel
