claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict_before,verdict_after,confidence,proof_quote,proposed_action,patch_op,agent_id,notes,coverage_level,graph_element_id,apply_status,apply_run
Q04-0002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866077,articonnex,bt_daemmung,HAT_BAUTEILTYP,articonnex -HAT_BAUTEILTYP-> Daemmung,web,https://articonnex.com/,true,200,PARTIAL,PARTIAL,niedrig,Quincaillerie Notre sélection Peinture Visserie Peinture Tout voir Peinture intérieure (7) Peinture extérieure (3) Sous-couche peinture (2) Par localisation Peinture à Angers (4) Peinture à La Roche-sur-Yon (5) Peinture au Mans (5) Peinture à Nantes (5) Peinture à Orléans (4) Peinture à Rennes (5) P,DOWNGRADE,set_rel_properties,Q04,"classification present (['isolant', 'laine']) but no strict verbatim edge quote",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866077,applied,post_quality_p06_01
Q04-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921821,articonnex,bt_traeger,HAT_BAUTEILTYP,articonnex -HAT_BAUTEILTYP-> Traeger,web,https://articonnex.com/,true,200,PARTIAL,PARTIAL,niedrig,Ouvert Fermeture à 18:00 Fermé Ouverture à 10:00 Lundi 10h-18h Mardi 10h-18h Mercredi 10h-18h Jeudi 10h-18h Vendredi 10h-18h Samedi Fermé Dimanche Fermé 02 90 73 84 43 vannes@articonnex.com Menu Fermer Matériaux anti-gaspi au meilleur prix Bois sur mesure Aide et contact Favoris Mon compte 0 Panier ,DOWNGRADE,set_rel_properties,Q04,classification present (['poutre']) but no strict verbatim edge quote,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921821,applied,post_quality_p06_01
Q04-0021,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698259429,bauteilboerse_bremen,bt_gelaender,HAT_BAUTEILTYP,bauteilboerse_bremen -HAT_BAUTEILTYP-> Gelaender,web,https://www.bauteilboerse-bremen.de/start,true,200,PARTIAL,PARTIAL,niedrig,,DOWNGRADE,set_rel_properties,Q04,"weak residual; class_hits=[] actor_hits=['bauteilboerse', 'bremen']",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698259429,applied,post_quality_p06_01
Q04-0022,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816147941,bauteilboerse_bremen,bt_technik,HAT_BAUTEILTYP,bauteilboerse_bremen -HAT_BAUTEILTYP-> Technik,web,https://www.bauteilboerse-bremen.de/start,true,200,PARTIAL,PARTIAL,niedrig,,DOWNGRADE,set_rel_properties,Q04,"weak residual; class_hits=[] actor_hits=['bauteilboerse', 'bremen']",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816147941,applied,post_quality_p06_01
Q04-0023,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070888934,bauteilnetz_deutschland,bt_technik,HAT_BAUTEILTYP,bauteilnetz_deutschland -HAT_BAUTEILTYP-> Technik,web,http://www.bauteilnetz.de/bauteilnetz/website/stdws_adresse/bauteilboersen.html,true,200,PARTIAL,PARTIAL,niedrig,,DOWNGRADE,set_rel_properties,Q04,"weak residual; class_hits=[] actor_hits=['deutschland', 'bauteilnetz deutschland']",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070888934,applied,post_quality_p06_01
Q04-0024,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257203686,bauteilnetz_deutschland,bt_tuer,HAT_BAUTEILTYP,bauteilnetz_deutschland -HAT_BAUTEILTYP-> Tuer,web,http://www.bauteilnetz.de/bauteilnetz/website/stdws_adresse/bauteilboersen.html,true,200,PARTIAL,PARTIAL,niedrig,,DOWNGRADE,set_rel_properties,Q04,"weak residual; class_hits=[] actor_hits=['deutschland', 'bauteilnetz deutschland']",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257203686,applied,post_quality_p06_01
Q04-0044,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698292327,genbyg,bt_ausbau,HAT_BAUTEILTYP,genbyg -HAT_BAUTEILTYP-> Ausbau,web,https://genbyg.dk/,true,200,PARTIAL,PARTIAL,niedrig,,DOWNGRADE,set_rel_properties,Q04,weak residual; class_hits=[] actor_hits=['genbyg'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698292327,applied,post_quality_p06_01
Q04-0065,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236591,r_place,bt_decke,HAT_BAUTEILTYP,r_place -HAT_BAUTEILTYP-> Decke,web,https://r-place.fr/,true,200,PARTIAL,PARTIAL,niedrig,Rechercher Rechercher : Rechercher Filtrer par commune ou par chantier : ARLES (13) CDB (34) Clermont l’Hérault (34) Déstockage Perpignan (66) Déstockage surplus neufs Hérault (34) GA11 (11) HBTP (34) MÈZE (34) MONTPELLIER Parc 2000 (34) SG (34) Sigean (11) VILLA BÉZIERS (34) Albi (81) Alès (30) Arl,DOWNGRADE,set_rel_properties,Q04,"classification present (['plafond', 'dalles']) but no strict verbatim edge quote",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236591,applied,post_quality_p06_01
Q04-0066,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551343,r_place,bt_wand,HAT_BAUTEILTYP,r_place -HAT_BAUTEILTYP-> Wand,web,https://r-place.fr/,true,200,PARTIAL,PARTIAL,niedrig,Rechercher Rechercher : Rechercher Filtrer par commune ou par chantier : ARLES (13) CDB (34) Clermont l’Hérault (34) Déstockage Perpignan (66) Déstockage surplus neufs Hérault (34) GA11 (11) HBTP (34) MÈZE (34) MONTPELLIER Parc 2000 (34) SG (34) Sigean (11) VILLA BÉZIERS (34) Albi (81) Alès (30) Arl,DOWNGRADE,set_rel_properties,Q04,"classification present (['cloison', 'cloisons']) but no strict verbatim edge quote",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551343,applied,post_quality_p06_01
Q04-0081,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698292346,useagain_bauteilclick,bt_dach,HAT_BAUTEILTYP,useagain_bauteilclick -HAT_BAUTEILTYP-> Dach,web,https://www.useagain.ch/de/,true,200,PARTIAL,PARTIAL,niedrig,useagain: Plattform für Bauteil-Wiederverwendung Zum Hauptinhalt springen Zur Suche springen Zur Hauptnavigation springen Suchen Konto weiter einkaufen Übersicht Profil Suchalarm Merkzettel Abmelden Einloggen Merkzettel Warenkorb Kaufen eBKP-H Kategorien Händler Tools Abo Preise Über uns Ausbau Türe,DOWNGRADE,set_rel_properties,Q04,classification present (['dach']) but no strict verbatim edge quote,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698292346,applied,post_quality_p06_01
