log_id,action,graph_element_id,claim_id,source_pass,prior_verdict,new_verdict,reason
F09-LOG-00001,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2290,EP08-n-0566,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00002,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2320,EP08-n-0594,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00003,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2322,EP08-n-0596,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00004,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2323,EP08-n-0597,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00005,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2339,EP08-n-0615,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00006,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2340,EP08-n-0612,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00007,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2342,EP08-n-0614,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00008,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2347,EP08-n-0620,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00009,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2348,EP08-n-0621,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00010,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2349,EP08-n-0622,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00011,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2350,EP08-n-0623,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00012,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2359,EP08-n-0632,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00013,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2360,EP08-n-0633,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00014,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2362,EP08-n-0640,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00015,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2363,EP08-n-0635,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00016,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2364,EP08-n-0636,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00017,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2365,EP08-n-0637,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00018,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2366,EP08-n-0638,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00019,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2379,EP08-n-0654,F08,PROVEN,PROVEN,verdict/fields updated
