claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
post02-0001,node,c33_circular_construction_catalyst,,,Akteur,Akteur node has zero relationships (orphan),web,read-cypher orphan scan,false,,SCHEMA_VIOLATION,,NOT (n)--() : degree 0,ESCALATE_HUMAN,POST-02,non-vocab orphan; CH actor in Agent 01 scope; connect-or-deprecate decision; [P6-05] non-vocab orphan; CH actor in Agent 01 scope; connect-or-deprecate decision; [POST-02] tier-D schema fix proposal,POST-02,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:460,node
post02-0002,node,circular_economy_switzerland,,,Akteur,Akteur node has zero relationships (orphan),web,read-cypher orphan scan,false,,SCHEMA_VIOLATION,,NOT (n)--() : degree 0,ESCALATE_HUMAN,POST-02,non-vocab orphan; CH actor in Agent 01 scope; [P6-05] non-vocab orphan; CH actor in Agent 01 scope; [POST-02] tier-D schema fix proposal,POST-02,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:470,node
post02-0003,node,prog_foerderprogramm,,,Programm,'Foerderprogramm' is a programme,web,,false,,SCHEMA_VIOLATION,,"name = 'Foerderprogramm' (German for 'funding programme') — a category word, not a named programme",ESCALATE_HUMAN,POST-02,generic type word miscast as Programm node; [P6-05] generic type word miscast as Programm node; [POST-02] tier-D schema fix proposal,POST-02,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4759,node
post02-0004,node,prog_forschungsprojekt,,,Programm,'Forschungsprojekt' is a programme,web,,false,,SCHEMA_VIOLATION,,"name = 'Forschungsprojekt' ('research project') — a category word, not a named programme",ESCALATE_HUMAN,POST-02,generic type word miscast as Programm node; [P6-05] generic type word miscast as Programm node; [POST-02] tier-D schema fix proposal,POST-02,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4760,node
post02-0005,node,prog_pilotprojekt,,,Programm,'Pilotprojekt' is a programme,web,,false,,SCHEMA_VIOLATION,,"name = 'Pilotprojekt' ('pilot project') — a category word, not a named programme; 9 projects link to it via TEIL_VON_PROGRAMM",ESCALATE_HUMAN,POST-02,generic type word miscast as Programm node (high fan-in); [P6-05] generic type word miscast as Programm node (high fan-in); [POST-02] tier-D schema fix proposal,POST-02,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4762,node
post02-0006,node,prog_reallabor,,,Programm,'Reallabor' is a programme,web,,false,,SCHEMA_VIOLATION,,"name = 'Reallabor' ('living lab') — a category word, not a named programme",ESCALATE_HUMAN,POST-02,generic type word miscast as Programm node; [P6-05] generic type word miscast as Programm node; [POST-02] tier-D schema fix proposal,POST-02,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4763,node
post02-0007,node,prog_wettbewerb,,,Programm,'Wettbewerb' is a programme,web,,false,,SCHEMA_VIOLATION,,"name = 'Wettbewerb' ('competition') — a category word, not a named programme",ESCALATE_HUMAN,POST-02,generic type word miscast as Programm node; [P6-05] generic type word miscast as Programm node; [POST-02] tier-D schema fix proposal,POST-02,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4764,node
post02-0008,node,tomas,,,Akteur,TOMAS node identity unclear / duplicate,none,https://www.tomas-architecture.com,false,,SCHEMA_VIOLATION,,merge/clarify -> annabelle_von_reutern/concular,ESCALATE_HUMAN,POST-02,low-quality stub id 'tomas' (TOMAS Architecture); source tomas-architecture.com; clarify identity or merge; [POST-02] tier-D schema fix proposal,POST-02,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6628,node
post02-0009,node,rau,,,Akteur,RAU node identity unclear / duplicate,none,https://thomasrau.eu/en,false,,SCHEMA_VIOLATION,,merge/clarify -> thomas_rau,ESCALATE_HUMAN,POST-02,node 'rau' duplicate of 'thomas_rau' (RAU = Thomas Rau's firm/founder); merge candidate; [POST-02] tier-D schema fix proposal,POST-02,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6715,node
post02-0010,node,repurpose,,,Akteur,Akteur node has zero relationships (orphan),web,read-cypher orphan scan,false,,SCHEMA_VIOLATION,,NOT (n)--() : degree 0,ESCALATE_HUMAN,POST-02,non-vocab orphan; NL actor in Agent 05 scope; also carries stray 'land' key; [P6-05] non-vocab orphan; NL actor in Agent 05 scope; also carries stray 'land' key; [POST-02] tier-D schema fix proposal,POST-02,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:778,node
