claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,coverage_level,graph_element_id
EP07-rel-0001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955663367,p_55_great_suffolk_street_london,ae_exposed_reuse_structure,HAT_ARCHITEKTURERGEBNIS,p_55_great_suffolk_street_london is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_exposed_reuse_structure,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955663367
EP07-rel-0002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955663384,p_association_house_groeditz,ae_modular_grid_form,HAT_ARCHITEKTURERGEBNIS,p_association_house_groeditz is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_modular_grid_form,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955663384
EP07-rel-0003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583033889,p_association_house_plauen,ae_modular_grid_form,HAT_ARCHITEKTURERGEBNIS,p_association_house_plauen is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_modular_grid_form,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583033889
EP07-rel-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955669360,p_awm_muenster_circular_office,ae_interior_reuse_atmosphere,HAT_ARCHITEKTURERGEBNIS,p_awm_muenster_circular_office is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_interior_reuse_atmosphere,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955669360
EP07-rel-0005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583033910,p_bedzed_london_hackbridge,ae_exposed_reuse_structure,HAT_ARCHITEKTURERGEBNIS,p_bedzed_london_hackbridge is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_exposed_reuse_structure,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583033910
EP07-rel-0006,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038626,p_berlin_schildow_pilot_house,ae_modular_grid_form,HAT_ARCHITEKTURERGEBNIS,p_berlin_schildow_pilot_house is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_modular_grid_form,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038626
EP07-rel-0007,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955668141,p_bestandverplanzung_pavilion_muenchen,ae_reversible_tectonics,HAT_ARCHITEKTURERGEBNIS,p_bestandverplanzung_pavilion_muenchen is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_reversible_tectonics,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955668141
EP07-rel-0008,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955668149,p_big_dig_building_boston,ae_infrastructural_spolia,HAT_ARCHITEKTURERGEBNIS,p_big_dig_building_boston is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_infrastructural_spolia,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955668149
EP07-rel-0009,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038655,p_big_dig_house_lexington_massachusetts,ae_infrastructural_spolia,HAT_ARCHITEKTURERGEBNIS,p_big_dig_house_lexington_massachusetts is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_infrastructural_spolia,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038655
EP07-rel-0010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955668447,p_biopartner_5_leiden_oegstgeest,ae_patchwork_envelope,HAT_ARCHITEKTURERGEBNIS,p_biopartner_5_leiden_oegstgeest is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_patchwork_envelope,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955668447
EP07-rel-0011,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038961,p_bluecity_offices_rotterdam,ae_interior_reuse_atmosphere,HAT_ARCHITEKTURERGEBNIS,p_bluecity_offices_rotterdam is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_interior_reuse_atmosphere,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038961
