claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
IER-C3-0001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931884888,2hs,dirk_e_hebel,VERBUNDEN_MIT_AKTEUR,actor-network link 2hs -> dirk_e_hebel (no evidence_url/source_url on edge),web,https://labs.aap.cornell.edu/en/contact/,true,404,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0001; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199640,2hs,kit,VERBUNDEN_MIT_AKTEUR,actor-network link 2hs -> kit (no evidence_url/source_url on edge),web,,false,,MISSING_EVIDENCE,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0002; prior_verdict=MISSING_EVIDENCE; connection_kind=null; no successful fetch
IER-C3-0003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199830,3xn,gxn,VERBUNDEN_MIT_AKTEUR,actor-network link 3xn -> gxn (no evidence_url/source_url on edge),web,https://gxn.3xn.com/team,true,200,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0003; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931885078,3xn,vandkunsten,VERBUNDEN_MIT_AKTEUR,actor-network link 3xn -> vandkunsten (no evidence_url/source_url on edge),web,https://vandkunsten.com/en/contact/,true,200,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0004; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931884891,Werner_Sobek,vanessa_propach,VERBUNDEN_MIT_AKTEUR,actor-network link Werner_Sobek -> vanessa_propach (no evidence_url/source_url on edge),web,https://labs.aap.cornell.edu/en/contact/,true,404,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0006; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0006,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304513600,akt_ii,symmetrys,VERBUNDEN_MIT_AKTEUR,actor-network link akt_ii -> symmetrys (no evidence_url/source_url on edge),web,https://en.wikipedia.org/team,true,404,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0007; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0007,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514191,anders_lendager,Lendager,VERBUNDEN_MIT_AKTEUR,actor-network link anders_lendager -> Lendager (context_affiliation_from_actor_list) (no evidence_url/source_url on edge),web,https://lendager.com/project/resource-rows,true,200,PROVEN,belegt,Resource Rows - Lendager /********* Compiled CSS - Do not edit *********/ :root{--button_padding:11px 23px;}.has-awb-color-1-color{color:#003c32;}.has-awb-color-1-background-color{background-color:#003c32;}.has-awb-color-2-color{color:#000000;}.has-awb-color-2-background-color{background-color:#0000,ADD_SOURCE,IER-C3,prior=A06B-rel-0008; prior_verdict=MISSING_EVIDENCE; connection_kind=context_affiliation_from_actor_list; strict two-endpoint gate passed
IER-C3-0008,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514421,andreas_sonderegger,zhaw,VERBUNDEN_MIT_AKTEUR,actor-network link andreas_sonderegger -> zhaw (no evidence_url/source_url on edge),web,https://www.zhaw.ch/en/contact/,true,404,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0011; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0009,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514423,anja_rosen,urban_mining_index,VERBUNDEN_MIT_AKTEUR,actor-network link anja_rosen -> urban_mining_index (no evidence_url/source_url on edge),web,https://urban-mining-index.de/impressum,true,200,PROVEN,belegt,Impressum | Urban Mining Index Home Das ist der Urban Mining Index Systematik Qualitätsstufen Bewertungsebenen Aktuelles Initiative Initiatoren Entwicklung Publikationen Netzwerk Projekte Kontakt EN Seite wählen Impressum Angaben gemäß § 5 TMG Kontakt Urban Mining Index Dr.,ADD_SOURCE,IER-C3,prior=A06B-rel-0014; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514594,anna_buser,re_win,VERBUNDEN_MIT_AKTEUR,actor-network link anna_buser -> re_win (no evidence_url/source_url on edge),web,https://re-win.ch/verein/ueber,true,200,PROVEN,belegt,"Genau an dieser Stelle im Sommer 2022 ist eine Idee entstanden, die das Klima schont und gleichzeitig Nothilfe leistet: Barbara und Anna Buser entwickelten im Sommer 2022 die Idee, Fenster in die Ukraine zu liefern.",ADD_SOURCE,IER-C3,prior=A06B-rel-0015; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
