claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
agent11-node-0001,node,rw_agbb_voc,,,Schadstoffrecht,typed law node 'AgBB-Schema / DIN EN 16516 (VOC)' is a real Schadstoffrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.85,VARIANT_B_TAXONOMY.md sec.7 lists rw_agbb_voc under Schadstoffrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
agent11-node-0002,node,rw_be_tracimat_regional,,,ReuseDokumentationsrecht:RueckbauUndAbbruchrecht,typed law node 'Belgian regional rules / Tracimat' is a real ReuseDokumentationsrecht/RueckbauUndAbbruchrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.85,VARIANT_B_TAXONOMY.md sec.7 lists rw_be_tracimat_regional under ReuseDokumentationsrecht+RueckbauUndAbbruchrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
agent11-node-0003,node,rw_cen_ts_1090_201,,,Bauproduktrecht:Tragwerksrecht,typed law node 'CEN/TS 1090-201:2024' is a real Bauproduktrecht/Tragwerksrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.90,VARIANT_B_TAXONOMY.md sec.7 lists rw_cen_ts_1090_201 under Bauproduktrecht+Tragwerksrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
agent11-node-0004,node,rw_cen_ts_17440,,,Tragwerksrecht,typed law node 'CEN/TS 17440 (Bewertung bestehender Tragwerke)' is a real Tragwerksrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.85,VARIANT_B_TAXONOMY.md sec.7 lists rw_cen_ts_17440 under Tragwerksrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
agent11-node-0005,node,rw_ch_muken,,,Bauphysikrecht,typed law node 'Switzerland MuKEn' is a real Bauphysikrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.80,VARIANT_B_TAXONOMY.md sec.7 lists rw_ch_muken under Bauphysikrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
agent11-node-0006,node,rw_dafstb_rc_beton,,,Tragwerksrecht:UmweltUndOekobilanzrecht,typed law node 'DAfStb-Richtlinie R-Beton' is a real Tragwerksrecht/UmweltUndOekobilanzrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.85,VARIANT_B_TAXONOMY.md sec.7 lists rw_dafstb_rc_beton under Tragwerksrecht+UmweltUndOekobilanzrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
agent11-node-0007,node,rw_denkmalschutz,,,ReuseDokumentationsrecht:Genehmigungsrecht,typed law node 'Denkmalschutz / heritage protection' is a real ReuseDokumentationsrecht/Genehmigungsrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.80,VARIANT_B_TAXONOMY.md sec.7 lists rw_denkmalschutz under ReuseDokumentationsrecht+Genehmigungsrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
agent11-node-0008,node,rw_dguv_v3_vde,,,HygieneElektroFunktionsrecht,typed law node 'DGUV V3 / DIN VDE 0100-600 / 0105-100' is a real HygieneElektroFunktionsrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.85,VARIANT_B_TAXONOMY.md sec.7 lists rw_dguv_v3_vde under HygieneElektroFunktionsrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
agent11-node-0009,node,rw_dibt_zie_abz,,,Bauproduktrecht:Genehmigungsrecht,typed law node 'DIBt ZiE/vBG/abZ/aBG' is a real Bauproduktrecht/Genehmigungsrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.90,VARIANT_B_TAXONOMY.md sec.7 lists rw_dibt_zie_abz under Bauproduktrecht+Genehmigungsrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
agent11-node-0010,node,rw_din_18008,,,Tragwerksrecht,typed law node 'DIN 18008' is a real Tragwerksrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.85,VARIANT_B_TAXONOMY.md sec.7 lists rw_din_18008 under Tragwerksrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
agent11-node-0011,node,rw_din_18040,,,HygieneElektroFunktionsrecht,typed law node 'DIN 18040 (Barrierefreies Bauen)' is a real HygieneElektroFunktionsrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.80,VARIANT_B_TAXONOMY.md sec.7 lists rw_din_18040 under HygieneElektroFunktionsrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
agent11-node-0012,node,rw_din_18065,,,Genehmigungsrecht:HygieneElektroFunktionsrecht,typed law node 'DIN 18065 (Gebaeudetreppen/Gelaender)' is a real Genehmigungsrecht/HygieneElektroFunktionsrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.80,VARIANT_B_TAXONOMY.md sec.7 lists rw_din_18065 under Genehmigungsrecht+HygieneElektroFunktionsrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes
