claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,coverage_level,graph_element_id
EP05-rel-0001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025476122,archipel_sion_ressourcerie,bweg_bauteilboerse,HAT_BESCHAFFUNGSWEG,archipel_sion_ressourcerie (Akteur) is sourced via procurement path bweg_bauteilboerse (Bauteilboerse),logic,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + Agent13 domain/range,false,,PROVEN,belegt,live edge archipel_sion_ressourcerie -[HAT_BESCHAFFUNGSWEG]-> bweg_bauteilboerse; domain :Akteur; range :Beschaffungsweg (Bauteilboerse),KEEP,05,Agent13 A13-rel-type-0004: 100% target :Beschaffungsweg; domains match schema; Tier-C contract/logic element attestation; no evidence_url on rel,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025476122
EP05-rel-0002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025480797,articonnex,bweg_bauteilboerse,HAT_BESCHAFFUNGSWEG,articonnex (Akteur) is sourced via procurement path bweg_bauteilboerse (Bauteilboerse),logic,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + Agent13 domain/range,false,,PROVEN,belegt,live edge articonnex -[HAT_BESCHAFFUNGSWEG]-> bweg_bauteilboerse; domain :Akteur; range :Beschaffungsweg (Bauteilboerse),KEEP,05,Agent13 A13-rel-type-0004: 100% target :Beschaffungsweg; domains match schema; Tier-C contract/logic element attestation; no evidence_url on rel,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025480797
EP05-rel-0003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025480798,backacia,bweg_digitale_plattform,HAT_BESCHAFFUNGSWEG,backacia (Akteur) is sourced via procurement path bweg_digitale_plattform (Digitale_Plattform),logic,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + Agent13 domain/range,false,,PROVEN,belegt,live edge backacia -[HAT_BESCHAFFUNGSWEG]-> bweg_digitale_plattform; domain :Akteur; range :Beschaffungsweg (Digitale_Plattform),KEEP,05,Agent13 A13-rel-type-0004: 100% target :Beschaffungsweg; domains match schema; Tier-C contract/logic element attestation; no evidence_url on rel,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025480798
EP05-rel-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025480799,baticycle,bweg_bauteilboerse,HAT_BESCHAFFUNGSWEG,baticycle (Akteur) is sourced via procurement path bweg_bauteilboerse (Bauteilboerse),logic,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + Agent13 domain/range,false,,PROVEN,belegt,live edge baticycle -[HAT_BESCHAFFUNGSWEG]-> bweg_bauteilboerse; domain :Akteur; range :Beschaffungsweg (Bauteilboerse),KEEP,05,Agent13 A13-rel-type-0004: 100% target :Beschaffungsweg; domains match schema; Tier-C contract/logic element attestation; no evidence_url on rel,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025480799
EP05-rel-0005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025480800,batiterre,bweg_bauteilboerse,HAT_BESCHAFFUNGSWEG,batiterre (Akteur) is sourced via procurement path bweg_bauteilboerse (Bauteilboerse),logic,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + Agent13 domain/range,false,,PROVEN,belegt,live edge batiterre -[HAT_BESCHAFFUNGSWEG]-> bweg_bauteilboerse; domain :Akteur; range :Beschaffungsweg (Bauteilboerse),KEEP,05,Agent13 A13-rel-type-0004: 100% target :Beschaffungsweg; domains match schema; Tier-C contract/logic element attestation; no evidence_url on rel,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025480800
EP05-rel-0006,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025480801,batrecup,bweg_spende,HAT_BESCHAFFUNGSWEG,batrecup (Akteur) is sourced via procurement path bweg_spende (Spende),logic,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + Agent13 domain/range,false,,PROVEN,belegt,live edge batrecup -[HAT_BESCHAFFUNGSWEG]-> bweg_spende; domain :Akteur; range :Beschaffungsweg (Spende),KEEP,05,Agent13 A13-rel-type-0004: 100% target :Beschaffungsweg; domains match schema; Tier-C contract/logic element attestation; no evidence_url on rel,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025480801
EP05-rel-0007,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025447855,baukarussell,bweg_bauteilboerse,HAT_BESCHAFFUNGSWEG,baukarussell (Akteur) is sourced via procurement path bweg_bauteilboerse (Bauteilboerse),logic,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + Agent13 domain/range,false,,PROVEN,belegt,live edge baukarussell -[HAT_BESCHAFFUNGSWEG]-> bweg_bauteilboerse; domain :Akteur; range :Beschaffungsweg (Bauteilboerse),KEEP,05,Agent13 A13-rel-type-0004: 100% target :Beschaffungsweg; domains match schema; Tier-C contract/logic element attestation; no evidence_url on rel,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025447855
EP05-rel-0008,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025442186,baumab_kassel,bweg_bauteilboerse,HAT_BESCHAFFUNGSWEG,baumab_kassel (Akteur) is sourced via procurement path bweg_bauteilboerse (Bauteilboerse),logic,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + Agent13 domain/range,false,,PROVEN,belegt,live edge baumab_kassel -[HAT_BESCHAFFUNGSWEG]-> bweg_bauteilboerse; domain :Akteur; range :Beschaffungsweg (Bauteilboerse),KEEP,05,Agent13 A13-rel-type-0004: 100% target :Beschaffungsweg; domains match schema; Tier-C contract/logic element attestation; no evidence_url on rel,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025442186
EP05-rel-0009,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025459436,baumatpool_ch,bweg_digitale_plattform,HAT_BESCHAFFUNGSWEG,baumatpool_ch (Akteur) is sourced via procurement path bweg_digitale_plattform (Digitale_Plattform),logic,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + Agent13 domain/range,false,,PROVEN,belegt,live edge baumatpool_ch -[HAT_BESCHAFFUNGSWEG]-> bweg_digitale_plattform; domain :Akteur; range :Beschaffungsweg (Digitale_Plattform),KEEP,05,Agent13 A13-rel-type-0004: 100% target :Beschaffungsweg; domains match schema; Tier-C contract/logic element attestation; no evidence_url on rel,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025459436
EP05-rel-0010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025476113,bauteilboerse_basel_overall,bweg_bauteilboerse,HAT_BESCHAFFUNGSWEG,bauteilboerse_basel_overall (Akteur) is sourced via procurement path bweg_bauteilboerse (Bauteilboerse),logic,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + Agent13 domain/range,false,,PROVEN,belegt,live edge bauteilboerse_basel_overall -[HAT_BESCHAFFUNGSWEG]-> bweg_bauteilboerse; domain :Akteur; range :Beschaffungsweg (Bauteilboerse),KEEP,05,Agent13 A13-rel-type-0004: 100% target :Beschaffungsweg; domains match schema; Tier-C contract/logic element attestation; no evidence_url on rel,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025476113
