claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,scope,prior_verdict,prior_claim_id
P6-03-BIDIR-R-001,rel,pair:catherine_de_wolf--eth_zuerich,catherine_de_wolf,eth_zuerich,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),logic,read-cypher bidirectional scan (post wave-1/06b/R04),false,,REMEDIATED,hoch,0 live bidirectional pairs for this unordered pair,KEEP,P6-03,Already collapsed in merge_duplicate_edges_remaining + agent06b_merge_duplicate_reverse + remediation_r04,A,SCHEMA_VIOLATION,A14-BIDIR-026
P6-03-BIDIR-R-002,rel,pair:cirkla--pascal_flammer_architekten,cirkla,pascal_flammer_architekten,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),logic,read-cypher bidirectional scan (post wave-1/06b/R04),false,,REMEDIATED,hoch,0 live bidirectional pairs for this unordered pair,KEEP,P6-03,Already collapsed in merge_duplicate_edges_remaining + agent06b_merge_duplicate_reverse + remediation_r04,A,SCHEMA_VIOLATION,A14-BIDIR-035
P6-03-BIDIR-R-003,rel,pair:cirkla--urban_bricolage,cirkla,urban_bricolage,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),logic,read-cypher bidirectional scan (post wave-1/06b/R04),false,,REMEDIATED,hoch,0 live bidirectional pairs for this unordered pair,KEEP,P6-03,Already collapsed in merge_duplicate_edges_remaining + agent06b_merge_duplicate_reverse + remediation_r04,A,SCHEMA_VIOLATION,A14-BIDIR-036
P6-03-BIDIR-R-004,rel,pair:gruner_ag--gruner_reuse_platform,gruner_ag,gruner_reuse_platform,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),logic,read-cypher bidirectional scan (post wave-1/06b/R04),false,,REMEDIATED,hoch,0 live bidirectional pairs for this unordered pair,KEEP,P6-03,Already collapsed in merge_duplicate_edges_remaining + agent06b_merge_duplicate_reverse + remediation_r04,A,SCHEMA_VIOLATION,A14-BIDIR-052
P6-03-BIDIR-R-005,rel,pair:materiuum--materiuum_geneve_ressourcerie,materiuum,materiuum_geneve_ressourcerie,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),logic,read-cypher bidirectional scan (post wave-1/06b/R04),false,,REMEDIATED,hoch,0 live bidirectional pairs for this unordered pair,KEEP,P6-03,Already collapsed in merge_duplicate_edges_remaining + agent06b_merge_duplicate_reverse + remediation_r04,A,SCHEMA_VIOLATION,A14-BIDIR-073
P6-03-BIDIR-R-006,rel,pair:materiuum--ressourcerie_lausanne_materiuum_ruul,materiuum,ressourcerie_lausanne_materiuum_ruul,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),logic,read-cypher bidirectional scan (post wave-1/06b/R04),false,,REMEDIATED,hoch,0 live bidirectional pairs for this unordered pair,KEEP,P6-03,Already collapsed in merge_duplicate_edges_remaining + agent06b_merge_duplicate_reverse + remediation_r04,A,SCHEMA_VIOLATION,A14-BIDIR-074
P6-03-BIDIR-R-007,rel,pair:Rotor--opalis,Rotor,opalis,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),logic,read-cypher bidirectional scan (post wave-1/06b/R04),false,,REMEDIATED,hoch,0 live bidirectional pairs for this unordered pair,KEEP,P6-03,Already collapsed in merge_duplicate_edges_remaining + agent06b_merge_duplicate_reverse + remediation_r04,A,SCHEMA_VIOLATION,A14-BIDIR-007
P6-03-BIDIR-R-008,rel,pair:maarten_gielen--opalis,maarten_gielen,opalis,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),logic,read-cypher bidirectional scan (post wave-1/06b/R04),false,,REMEDIATED,hoch,0 live bidirectional pairs for this unordered pair,KEEP,P6-03,Already collapsed in merge_duplicate_edges_remaining + agent06b_merge_duplicate_reverse + remediation_r04,A,SCHEMA_VIOLATION,A14-BIDIR-067
P6-03-BIDIR-R-009,rel,pair:Rotor--lionel_devlieger,Rotor,lionel_devlieger,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),logic,read-cypher bidirectional scan (post wave-1/06b/R04),false,,REMEDIATED,hoch,0 live bidirectional pairs for this unordered pair,KEEP,P6-03,Already collapsed in merge_duplicate_edges_remaining + agent06b_merge_duplicate_reverse + remediation_r04,A,SCHEMA_VIOLATION,A14-BIDIR-005
P6-03-BIDIR-R-010,rel,pair:Rotor--maarten_gielen,Rotor,maarten_gielen,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),logic,read-cypher bidirectional scan (post wave-1/06b/R04),false,,REMEDIATED,hoch,0 live bidirectional pairs for this unordered pair,KEEP,P6-03,Already collapsed in merge_duplicate_edges_remaining + agent06b_merge_duplicate_reverse + remediation_r04,A,SCHEMA_VIOLATION,A14-BIDIR-006
