claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
post05-0001,node,p_lysp8,,,Projekt,Projekt 'LysP8 — LysBüchelStrasse 8 Reuse Pilot Basel',web,https://www.baselarea.swiss/en/news/lysp8-reuse-pilot-basel,true,404,PARTIAL,teilweise_belegt,"addr=Weinlagerstrasse 33, 4056 Basel, Switzerland; dossier URL fetched but project name not verbatim on page",ADD_SOURCE,POST-05,no real or placeholder source url found for node/address; [IER-B2] URL live; entity gate weak — address-only partial,POST-05,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1784,node
post05-0002,node,nf_genehmigungs_oder_zustimmungsbedarf,,,Nachweisforderung,Nachweisforderung nf_genehmigungs_oder_zustimmungsbedarf is demanded but has zero ERFUELLT_NACHWEIS coverage,logic,element_proof_agent_08.csv + remediation_r02.csv + live graph,false,,PARTIAL,teilweise_belegt,demands=27 fulfillments=0; R02 residual dangling requirement,ESCALATE_HUMAN,POST-05,Medium-confidence mapping documented (not upgraded to belegt): pn_approval_process. approval / ZIE-ABZ pathway documentation (DIBt Zulassung); [P6-03] Medium-confidence mapping documented (not upgraded to belegt): pn_approval_process. approval / ZIE-ABZ pathway documentation (DIBt Zulassung),POST-05,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1788,node
post05-0003,node,nf_befestigungsnachweis,,,Nachweisforderung,Nachweisforderung nf_befestigungsnachweis is demanded but has zero ERFUELLT_NACHWEIS coverage,logic,element_proof_agent_08.csv + remediation_r02.csv + live graph,false,,PARTIAL,teilweise_belegt,demands=48 fulfillments=0; R02 residual dangling requirement,ESCALATE_HUMAN,POST-05,Medium-confidence mapping documented (not upgraded to belegt): pn_ankerpruefung. anchor pull-out test supports fastening proof (EN 1992-4 / facade anchorage); [P6-03] Medium-confidence mapping documented (not upgraded to belegt): pn_ankerpruefung. anchor pull-out test supports fastening proof (EN 1992-4 / facade anchorage),POST-05,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1792,node
post05-0004,node,nf_dauerhaftigkeit_restlebensdauer,,,Nachweisforderung,Nachweisforderung nf_dauerhaftigkeit_restlebensdauer is demanded but has zero ERFUELLT_NACHWEIS coverage,logic,element_proof_agent_08.csv + remediation_r02.csv + live graph,false,,PARTIAL,teilweise_belegt,demands=35 fulfillments=0; R02 residual dangling requirement,ESCALATE_HUMAN,POST-05,Medium-confidence mapping documented (not upgraded to belegt): pr_zustandsbewertung. condition assessment informs remaining service life (DIN SPEC 91525 PUC); [P6-03] Medium-confidence mapping documented (not upgraded to belegt): pr_zustandsbewertung. condition assessment informs remaining service life (DIN SPEC 91525 PUC),POST-05,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1935,node
post05-0005,node,nf_schadstoffkataster_erkundung,,,Nachweisforderung,Nachweisforderung nf_schadstoffkataster_erkundung is demanded but has zero ERFUELLT_NACHWEIS coverage,logic,element_proof_agent_08.csv + remediation_r02.csv + live graph,false,,PARTIAL,teilweise_belegt,demands=39 fulfillments=0; R02 residual dangling requirement,ESCALATE_HUMAN,POST-05,Medium-confidence mapping documented (not upgraded to belegt): pr_dokumentenpruefung_bestand. pre-demolition document review / building pollutant register (VDI 6210 / ATV DIN 18459); [P6-03] Medium-confidence mapping documented (not upgraded to belegt): pr_dokumentenpruefung_bestand. pre-demolition document review / building pollutant register (VDI 6210 / ATV DIN 18459),POST-05,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1944,node
post05-0006,node,nf_mineralische_ersatzbaustoff_guete,,,Nachweisforderung,Nachweisforderung nf_mineralische_ersatzbaustoff_guete is demanded but has zero ERFUELLT_NACHWEIS coverage,logic,element_proof_agent_08.csv + remediation_r02.csv + live graph,false,,PARTIAL,teilweise_belegt,demands=4 fulfillments=0; R02 residual dangling requirement,ESCALATE_HUMAN,POST-05,Medium-confidence mapping documented (not upgraded to belegt): pr_eignungspruefung_baulehm. EBV Ersatzbaustoff suitability / quality assessment; [P6-03] Medium-confidence mapping documented (not upgraded to belegt): pr_eignungspruefung_baulehm. EBV Ersatzbaustoff suitability / quality assessment,POST-05,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1947,node
post05-0007,node,nf_rc_gesteinskoernung_eignung,,,Nachweisforderung,Nachweisforderung nf_rc_gesteinskoernung_eignung is demanded but has zero ERFUELLT_NACHWEIS coverage,logic,element_proof_agent_08.csv + remediation_r02.csv + live graph,false,,PARTIAL,teilweise_belegt,demands=25 fulfillments=0; R02 residual dangling requirement,ESCALATE_HUMAN,POST-05,Medium-confidence mapping documented (not upgraded to belegt): pn_petrografie; pr_eignungspruefung_baulehm. petrographic analysis for recycled aggregate suitability (DAfStb RC concrete); [P6-03] Medium-confidence mapping documented (not upgraded to belegt): pn_petrografie; pr_eignungspruefung_baulehm. petrographic analysis for recycled aggregate suitability (DAfStb RC concrete),POST-05,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1948,node
post05-0008,node,p_cascadeup_london_secondary_timber_glulam_demonstrator,,,Projekt,Projekt 'CascadeUp',web,https://www.ucl.ac.uk/civil-environmental-geomatic-engineering/research/structures/cascadeup,true,404,PARTIAL,teilweise_belegt,"addr=London; UCL Festival of Engineering 2024, London Design Festival 2024, Futurebuild 2025; dossier URL fetched but project name not verbatim on page",ADD_SOURCE,POST-05,no real or placeholder source url found for node/address; [IER-B2] URL live; entity gate weak — address-only partial,POST-05,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4819,node
post05-0009,node,p_europa_building_brussels,,,Projekt,"Projekt 'Europa Building Brussels' at Rue de la Loi 175, 1048 Brussels, Belgium",web,https://www.consilium.europa.eu/en/european-council/europa-building/,true,403,PARTIAL,teilweise_belegt,"addr=Rue de la Loi 175, 1048 Brussels, Belgium; dossier URL fetched but project name not verbatim on page",ADD_SOURCE,POST-05,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; [IER-B2] URL live; entity gate weak — address-only partial",POST-05,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4978,node
post05-0010,node,p_grubenstrasse_29_werkhof_29_zuerich,,,Projekt,Projekt 'Grubenstrasse 29',web,https://www.werkhof29.ch/,true,0,PARTIAL,teilweise_belegt,"addr=Grubenstrasse 29, 8045 Zürich, Binz; dossier URL fetched but project name not verbatim on page",ADD_SOURCE,POST-05,no real or placeholder source url found for node/address; [IER-B2] URL live; entity gate weak — address-only partial,POST-05,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5051,node
