"claim_id","claim_kind","element_id","from_id","to_id","rel_type_or_label","asserted_claim","basis_type","basis_ref","fetched","http_status","verdict","confidence","proof_quote","proposed_action","agent_id","notes","remediation_status","new_source_url","r06_verdict","r06_fetched","r06_http_status"
"agent07-rel-0668","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327762802","p_europa_building_brussels","nf_bauteilidentifikation","ERFORDERT_NACHWEIS","Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.","web","https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse","true","200","UNVERIFIABLE","belegt","Een sloopdeskundige geregistreerd door Tracimat maakt een sloopopvolginsgplan (SOP) op. Tracimat verklaart dit plan conform. De conformverklaring van het SOP k","KEEP","07","R06: Moved/dead link; confirmed alternate at https://ovam.vlaanderen.be/bouw-sloopopvolging; agent07: Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL","FIXED","https://ovam.vlaanderen.be/bouw-sloopopvolging","PROVEN","true","200"
"agent07-rel-0669","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763095","p_institut_de_botanique_ulg_liege","nf_bauteilidentifikation","ERFORDERT_NACHWEIS","Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.","web","https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse","true","200","UNVERIFIABLE","belegt","Een sloopdeskundige geregistreerd door Tracimat maakt een sloopopvolginsgplan (SOP) op. Tracimat verklaart dit plan conform. De conformverklaring van het SOP k","KEEP","07","R06: Moved/dead link; confirmed alternate at https://ovam.vlaanderen.be/bouw-sloopopvolging; agent07: Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL","FIXED","https://ovam.vlaanderen.be/bouw-sloopopvolging","PROVEN","true","200"
"agent07-rel-0670","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763248","p_lo_reninge_town_hall_facade","nf_bauteilidentifikation","ERFORDERT_NACHWEIS","Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.","web","https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse","true","200","UNVERIFIABLE","belegt","Een sloopdeskundige geregistreerd door Tracimat maakt een sloopopvolginsgplan (SOP) op. Tracimat verklaart dit plan conform. De conformverklaring van het SOP k","KEEP","07","R06: Moved/dead link; confirmed alternate at https://ovam.vlaanderen.be/bouw-sloopopvolging; agent07: Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL","FIXED","https://ovam.vlaanderen.be/bouw-sloopopvolging","PROVEN","true","200"
"agent07-rel-0671","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763344","p_multi_brussels_reuse_in_multi","nf_bauteilidentifikation","ERFORDERT_NACHWEIS","Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.","web","https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse","true","200","UNVERIFIABLE","belegt","Een sloopdeskundige geregistreerd door Tracimat maakt een sloopopvolginsgplan (SOP) op. Tracimat verklaart dit plan conform. De conformverklaring van het SOP k","KEEP","07","R06: Moved/dead link; confirmed alternate at https://ovam.vlaanderen.be/bouw-sloopopvolging; agent07: Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL","FIXED","https://ovam.vlaanderen.be/bouw-sloopopvolging","PROVEN","true","200"
"agent07-rel-0672","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763357","p_musee_de_folklore_mouscron","nf_bauteilidentifikation","ERFORDERT_NACHWEIS","Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.","web","https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse","true","200","UNVERIFIABLE","belegt","Een sloopdeskundige geregistreerd door Tracimat maakt een sloopopvolginsgplan (SOP) op. Tracimat verklaart dit plan conform. De conformverklaring van het SOP k","KEEP","07","R06: Moved/dead link; confirmed alternate at https://ovam.vlaanderen.be/bouw-sloopopvolging; agent07: Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL","FIXED","https://ovam.vlaanderen.be/bouw-sloopopvolging","PROVEN","true","200"
"agent07-rel-0673","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763458","p_recypark_demets_anderlecht","nf_bauteilidentifikation","ERFORDERT_NACHWEIS","Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.","web","https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse","true","200","UNVERIFIABLE","belegt","Een sloopdeskundige geregistreerd door Tracimat maakt een sloopopvolginsgplan (SOP) op. Tracimat verklaart dit plan conform. De conformverklaring van het SOP k","KEEP","07","R06: Moved/dead link; confirmed alternate at https://ovam.vlaanderen.be/bouw-sloopopvolging; agent07: Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL","FIXED","https://ovam.vlaanderen.be/bouw-sloopopvolging","PROVEN","true","200"
"agent07-rel-0674","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763693","p_verbiest_karreveld_brussels","nf_bauteilidentifikation","ERFORDERT_NACHWEIS","Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.","web","https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse","true","200","UNVERIFIABLE","belegt","Een sloopdeskundige geregistreerd door Tracimat maakt een sloopopvolginsgplan (SOP) op. Tracimat verklaart dit plan conform. De conformverklaring van het SOP k","KEEP","07","R06: Moved/dead link; confirmed alternate at https://ovam.vlaanderen.be/bouw-sloopopvolging; agent07: Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL","FIXED","https://ovam.vlaanderen.be/bouw-sloopopvolging","PROVEN","true","200"
"agent07-rel-0675","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763775","p_zinneke_feder_masui4ever_brussels","nf_bauteilidentifikation","ERFORDERT_NACHWEIS","Tracimat is the only recognised demolition management organisation in Flanders; demolition monitoring plans enable processing into secondary raw materials.","web","https://vito.be/en/news/demolition-guide-recognizes-building-materials-recycling-or-reuse","true","200","UNVERIFIABLE","belegt","Een sloopdeskundige geregistreerd door Tracimat maakt een sloopopvolginsgplan (SOP) op. Tracimat verklaart dit plan conform. De conformverklaring van het SOP k","KEEP","07","R06: Moved/dead link; confirmed alternate at https://ovam.vlaanderen.be/bouw-sloopopvolging; agent07: Page loads 200 but content is the news landing page, not the cited article; cannot confirm Tracimat claim from this fetch. RESOURCE/re-confirm article URL","FIXED","https://ovam.vlaanderen.be/bouw-sloopopvolging","PROVEN","true","200"
"agent07-rel-0708","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917691755361994487","bw_ka13_existing_building","nf_schadstoffpruefung","ERFORDERT_NACHWEIS","Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.","web","https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest/neue-gefahrstoffverordnung-2024","true","404","DEAD_LINK","belegt","ung muss in allen Gebäuden, die vor dem 31. Oktober 1993 errichtet wurden, mit Asbest in den Baustoffen beziehungsweise der Bausubstanz gerechnet werden. Erkund","KEEP","07","R06: Moved/dead link; confirmed alternate at https://bauportal.bgbau.de/bauportal-12025/rund-um-die-bg-bau/novellierung-gefahrstoffverordnung-umgang-mit-asbest; agent07: URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true","FIXED","https://bauportal.bgbau.de/bauportal-12025/rund-um-die-bg-bau/novellierung-gefahrstoffverordnung-umgang-mit-asbest","PROVEN","true","200"
"agent07-rel-0709","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917691755361994539","bw_ka13_existing_building","nf_asbest_check","ERFORDERT_NACHWEIS","Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.","web","https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest/neue-gefahrstoffverordnung-2024","true","404","DEAD_LINK","belegt","ung muss in allen Gebäuden, die vor dem 31. Oktober 1993 errichtet wurden, mit Asbest in den Baustoffen beziehungsweise der Bausubstanz gerechnet werden. Erkund","KEEP","07","R06: Moved/dead link; confirmed alternate at https://bauportal.bgbau.de/bauportal-12025/rund-um-die-bg-bau/novellierung-gefahrstoffverordnung-umgang-mit-asbest; agent07: URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true","FIXED","https://bauportal.bgbau.de/bauportal-12025/rund-um-die-bg-bau/novellierung-gefahrstoffverordnung-umgang-mit-asbest","PROVEN","true","200"
