claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
w4_w4_02-0001,rel,,btvz_zuerichsee_oberland,bt_technik,HAT_BAUTEILTYP,btvz_zuerichsee_oberland -HAT_BAUTEILTYP-> bt_technik (W4 selective unsupported delete),contract,w3_01_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-02,bg_-excluded selective delete; source=w3_01_catalogue_backfill.patch.jsonl,W4-02,element,,rel
w4_w4_02-0002,rel,,btvz_zuerichsee_oberland,bt_tuer,HAT_BAUTEILTYP,btvz_zuerichsee_oberland -HAT_BAUTEILTYP-> bt_tuer (W4 selective unsupported delete),contract,w3_01_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-02,bg_-excluded selective delete; source=w3_01_catalogue_backfill.patch.jsonl,W4-02,element,,rel
w4_w4_02-0003,rel,,cornermat_retrival,bt_dach,HAT_BAUTEILTYP,cornermat_retrival -HAT_BAUTEILTYP-> bt_dach (W4 selective unsupported delete),contract,w3_01_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-02,bg_-excluded selective delete; source=w3_01_catalogue_backfill.patch.jsonl,W4-02,element,,rel
w4_w4_02-0004,rel,,gebruiktebouwmaterialen,bt_boden,HAT_BAUTEILTYP,gebruiktebouwmaterialen -HAT_BAUTEILTYP-> bt_boden (W4 selective unsupported delete),contract,w3_01_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-02,bg_-excluded selective delete; source=w3_01_catalogue_backfill.patch.jsonl,W4-02,element,,rel
w4_w4_02-0005,rel,,gebruiktebouwmaterialen,bt_technik,HAT_BAUTEILTYP,gebruiktebouwmaterialen -HAT_BAUTEILTYP-> bt_technik (W4 selective unsupported delete),contract,w3_01_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-02,bg_-excluded selective delete; source=w3_01_catalogue_backfill.patch.jsonl,W4-02,element,,rel
w4_w4_02-0006,rel,,gebruiktebouwmaterialen,bt_traeger,HAT_BAUTEILTYP,gebruiktebouwmaterialen -HAT_BAUTEILTYP-> bt_traeger (W4 selective unsupported delete),contract,w3_01_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-02,bg_-excluded selective delete; source=w3_01_catalogue_backfill.patch.jsonl,W4-02,element,,rel
w4_w4_02-0007,rel,,gebruiktebouwmaterialen,bt_treppe,HAT_BAUTEILTYP,gebruiktebouwmaterialen -HAT_BAUTEILTYP-> bt_treppe (W4 selective unsupported delete),contract,w3_01_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-02,bg_-excluded selective delete; source=w3_01_catalogue_backfill.patch.jsonl,W4-02,element,,rel
w4_w4_02-0008,rel,,ggzatwork_laden2_bauteile_zug,bt_ausbau,HAT_BAUTEILTYP,ggzatwork_laden2_bauteile_zug -HAT_BAUTEILTYP-> bt_ausbau (W4 selective unsupported delete),contract,w3_01_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-02,bg_-excluded selective delete; source=w3_01_catalogue_backfill.patch.jsonl,W4-02,element,,rel
w4_w4_02-0009,rel,,ggzatwork_laden2_bauteile_zug,bt_technik,HAT_BAUTEILTYP,ggzatwork_laden2_bauteile_zug -HAT_BAUTEILTYP-> bt_technik (W4 selective unsupported delete),contract,w3_01_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-02,bg_-excluded selective delete; source=w3_01_catalogue_backfill.patch.jsonl,W4-02,element,,rel
w4_w4_02-0010,rel,,ggzatwork_laden2_bauteile_zug,bt_tuer,HAT_BAUTEILTYP,ggzatwork_laden2_bauteile_zug -HAT_BAUTEILTYP-> bt_tuer (W4 selective unsupported delete),contract,w3_01_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-02,bg_-excluded selective delete; source=w3_01_catalogue_backfill.patch.jsonl,W4-02,element,,rel
w4_w4_02-0011,rel,,gruner_reuse_platform,bt_dach,HAT_BAUTEILTYP,gruner_reuse_platform -HAT_BAUTEILTYP-> bt_dach (W4 selective unsupported delete),contract,w3_01_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-02,bg_-excluded selective delete; source=w3_01_catalogue_backfill.patch.jsonl,W4-02,element,,rel
