id,fallstudie,entity_type,frage
55_Great_Suffolk_Street_London__Werkzeug_unbekannt,55_Great_Suffolk_Street_London,Werkzeug,Werkzeug unbekannt — Quelle/Wert recherchieren
55_Great_Suffolk_Street_London__Werkzeug_unbekannt,55_Great_Suffolk_Street_London,Werkzeug,Werkzeug unbekannt — Quelle/Wert recherchieren
55_Great_Suffolk_Street_London__Schadstoff_unbekannt,55_Great_Suffolk_Street_London,Schadstoff,Schadstoff unbekannt — Quelle/Wert recherchieren
Association_house_Groeditz__Pruefung_unbekannt,Association_house_Groeditz,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Association_house_Groeditz__Wirtschaft_unbekannt,Association_house_Groeditz,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
Association_house_Plauen__Aufbereitungsmethode_unbekannt,Association_house_Plauen,Aufbereitungsmethode,Aufbereitungsmethode unbekannt — Quelle/Wert recherchieren
Association_house_Plauen__Pruefung_unbekannt,Association_house_Plauen,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Association_house_Plauen__Norm_Recht_unbekannt,Association_house_Plauen,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Association_house_Plauen__Wirtschaft_unbekannt,Association_house_Plauen,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
BedZED_London_Hackbridge__Werkzeug_unbekannt,BedZED_London_Hackbridge,Werkzeug,Werkzeug unbekannt — Quelle/Wert recherchieren
Berlin_Schildow_Pilot_House__Norm_Recht_unbekannt,Berlin_Schildow_Pilot_House,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Berlin_Schildow_Pilot_House_2__Norm_Recht_unbekannt,Berlin_Schildow_Pilot_House_2,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Bestandverplanzung_Pavilion_Muenchen__Pruefung_unbekannt,Bestandverplanzung_Pavilion_Muenchen,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Bestandverplanzung_Pavilion_Muenchen__Norm_Recht_unbekannt,Bestandverplanzung_Pavilion_Muenchen,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Big_Dig_House_Lexington_Massachusetts__Verbindung_unbekannt,Big_Dig_House_Lexington_Massachusetts,Verbindung,Verbindung unbekannt — Quelle/Wert recherchieren
Big_Dig_House_Lexington_Massachusetts__Pruefung_unbekannt,Big_Dig_House_Lexington_Massachusetts,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Big_Dig_House_Lexington_Massachusetts__Norm_Recht_unbekannt,Big_Dig_House_Lexington_Massachusetts,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Big_Dig_House_Lexington_Massachusetts__Schadstoff_unbekannt,Big_Dig_House_Lexington_Massachusetts,Schadstoff,Schadstoff unbekannt — Quelle/Wert recherchieren
Big_Dig_House_Lexington_Massachusetts__Werkzeug_unbekannt,Big_Dig_House_Lexington_Massachusetts,Werkzeug,Werkzeug unbekannt — Quelle/Wert recherchieren
Big_Dig_House_Lexington_Massachusetts__Werkzeug_unbekannt,Big_Dig_House_Lexington_Massachusetts,Werkzeug,Werkzeug unbekannt — Quelle/Wert recherchieren
BioPartner_5_Leiden_Oegstgeest__Wirtschaft_unbekannt,BioPartner_5_Leiden_Oegstgeest,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
Boulder_Fire_Station_3__Schadstoff_unbekannt,Boulder_Fire_Station_3,Schadstoff,Schadstoff unbekannt — Quelle/Wert recherchieren
Boulder_Fire_Station_3__Norm_Recht_unbekannt,Boulder_Fire_Station_3,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Brent_Cross_Town_Primary_Substation_London__Werkzeug_unbekannt,Brent_Cross_Town_Primary_Substation_London,Werkzeug,Werkzeug unbekannt — Quelle/Wert recherchieren
Brent_Cross_Town_Primary_Substation_London__Schadstoff_unbekannt,Brent_Cross_Town_Primary_Substation_London,Schadstoff,Schadstoff unbekannt — Quelle/Wert recherchieren
Brighton_Waste_House_Brighton__Norm_Recht_unbekannt,Brighton_Waste_House_Brighton,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Brighton_Waste_House_Brighton__Werkzeug_unbekannt,Brighton_Waste_House_Brighton,Werkzeug,Werkzeug unbekannt — Quelle/Wert recherchieren
Broethen_Twin_House_Hoyerswerda__Akteur_unbekannt,Broethen_Twin_House_Hoyerswerda,Akteur,Akteur unbekannt — Quelle/Wert recherchieren
Broethen_Twin_House_Hoyerswerda__Architekt_unbekannt,Broethen_Twin_House_Hoyerswerda,Architekt,Architekt unbekannt — Quelle/Wert recherchieren
Broethen_Twin_House_Hoyerswerda__Tragwerksplaner_unbekannt,Broethen_Twin_House_Hoyerswerda,Tragwerksplaner,Tragwerksplaner unbekannt — Quelle/Wert recherchieren
Broethen_Twin_House_Hoyerswerda__Bauherr_unbekannt,Broethen_Twin_House_Hoyerswerda,Bauherr,Bauherr unbekannt — Quelle/Wert recherchieren
Broethen_Twin_House_Hoyerswerda__Pruefung_unbekannt,Broethen_Twin_House_Hoyerswerda,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Broethen_Twin_House_Hoyerswerda__Norm_Recht_unbekannt,Broethen_Twin_House_Hoyerswerda,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Ferme_du_Rail_Paris__Norm_Recht_unbekannt,Ferme_du_Rail_Paris,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
gjG_House_Gentbrugge__Pruefung_unbekannt,gjG_House_Gentbrugge,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
gjG_House_Gentbrugge__Wirtschaft_unbekannt,gjG_House_Gentbrugge,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
Grande_Halle_de_Colombelles__Werkzeug_unbekannt,Grande_Halle_de_Colombelles,Werkzeug,Werkzeug unbekannt — Quelle/Wert recherchieren
Grubenstrasse_29_Werkhof_29_Zuerich__Schadstoff_unbekannt,Grubenstrasse_29_Werkhof_29_Zuerich,Schadstoff,Schadstoff unbekannt — Quelle/Wert recherchieren
Grubenstrasse_29_Werkhof_29_Zuerich__Software_Tool_unbekannt,Grubenstrasse_29_Werkhof_29_Zuerich,Software/Tool,Software/Tool unbekannt — Quelle/Wert recherchieren
Haus_HOS_Mehrfamilienhaus_Muehlhausen__Norm_Recht_unbekannt,Haus_HOS_Mehrfamilienhaus_Muehlhausen,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__Wirtschaft_unbekannt,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__Schadstoff_unbekannt,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain,Schadstoff,Schadstoff unbekannt — Quelle/Wert recherchieren
Institut_de_Botanique_ULg_Liege__Pruefung_unbekannt,Institut_de_Botanique_ULg_Liege,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Institut_de_Botanique_ULg_Liege__Norm_Recht_unbekannt,Institut_de_Botanique_ULg_Liege,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Institut_de_Botanique_ULg_Liege__Kennwert_unbekannt,Institut_de_Botanique_ULg_Liege,Kennwert,Kennwert unbekannt — Quelle/Wert recherchieren
KA13_Kristian_Augusts_gate_13_Oslo__Tragwerksplaner_unbekannt,KA13_Kristian_Augusts_gate_13_Oslo,Tragwerksplaner,Tragwerksplaner unbekannt — Quelle/Wert recherchieren
Kindergarten_Moeoeslistrasse_Manegg_Zuerich__Norm_Recht_unbekannt,Kindergarten_Moeoeslistrasse_Manegg_Zuerich,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Liander_Alliander_HQ_Duiven__Wirtschaft_unbekannt,Liander_Alliander_HQ_Duiven,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
Lo_Reninge_Town_Hall_Facade__Pruefung_unbekannt,Lo_Reninge_Town_Hall_Facade,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Lo_Reninge_Town_Hall_Facade__Wirtschaft_unbekannt,Lo_Reninge_Town_Hall_Facade,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
Maison_des_Canaux_Paris__Architekt_unbekannt,Maison_des_Canaux_Paris,Architekt,Architekt unbekannt — Quelle/Wert recherchieren
Maison_des_Canaux_Paris__Bauteilboerse_unbekannt,Maison_des_Canaux_Paris,Bauteilboerse,Bauteilboerse unbekannt — Quelle/Wert recherchieren
Maison_des_Canaux_Paris__Wirtschaft_unbekannt,Maison_des_Canaux_Paris,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
Maison_des_Canaux_Paris__Kennwert_unbekannt,Maison_des_Canaux_Paris,Kennwert,Kennwert unbekannt — Quelle/Wert recherchieren
Maison_DnA_Asse__Verbindung_unbekannt,Maison_DnA_Asse,Verbindung,Verbindung unbekannt — Quelle/Wert recherchieren
