bauwerk_id,bauwerk_name,address,latitude,longitude,confidence,evidence_status,staedte,laender,linked_bauteilgruppen,linked_projekte,source_url,notes
bw_1_broadgate_1_2_broadgate_donor_stahl,1 Broadgate,"1 Broadgate, London EC2M 2SY, UK",51.5191859,-0.0888924,high,verified_street,,,1,p_roots_in_the_sky_blackfriars_crown_court,https://www.broadgate.co.uk/,
bw_1_broadgate_london,"1 Broadgate, London","1 Broadgate, London EC2M 2SY, UK",51.5191859,-0.0888924,high,verified_street,London,,1,p_55_great_suffolk_street_london,https://www.broadgate.co.uk/,
bw_318_oxford_street_house_of_fraser,318 Oxford Street,"318 Oxford Street, London W1C 1HF, UK",51.5152626,-0.1463435,high,verified_street,London,Vereinigtes Königreich,2,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,https://www.stiffandtrevillion.com/projects/tower-bridge-road,
bw_alte_kade_tiel,Alte Kade in Tiel,"Alte Kade, Tiel, Netherlands",,,medium,street_without_number,Utrecht,Niederlande,1,p_the_green_house_utrecht,https://www.thegreenhouserestaurant.nl/,
bw_alte_lackiererei_hannover,alte/stillgelegte…,"Treppenkamp area, Hannover-Kronsberg, Germany",52.3308126,9.832174,low,area_only,Hannover,Deutschland,1,p_recyclinghaus_hannover,https://www.gundlach-bau.de/projekte/recyclinghaus-hannover,
bw_altes_projekt_in_hanzinelle,Altes Projekt in…,"Hanzinelle, Belgium (former project site)",50.2949873,4.5607099,low,area_only,,,1,p_verbiest_karreveld_brussels,archive:Verbiest_Karreveld_Brussels.md,
bw_association_reavie_materialquelle,Association Réavie…,"Réavie association material source, France",,,low,organization_no_site,,,2,p_resilience_la_ferme_des_possibles_stains,archive:Resilience_La_Ferme_des_Possibles_Stains.md,
bw_ausgemusterte_windkraftanlagen_als_rotorblatt_donor,Ausgemusterte Windkrafta…,Decommissioned wind turbines (no fixed site),,,low,mobile_source,,,1,p_trae_high_rise_aarhus,processed,
bw_behrensbau_duesseldorf_donor,Behrensbau Düsseldorf…,"Mannesmannufer 2, 40213 Düsseldorf, Germany",51.2210197,6.7680311,high,verified_street,Düsseldorf,,2,p_awm_muenster_circular_office,https://www.hdgnrw.de/ueber-uns/behrensbau,
bw_benachbarte_winery_shoring_walls_offcuts,Benachbarte Winery-Shori…,"Willow Creek Road area, Paso Robles, CA, USA",,,low,area_only,,,1,p_saxum_vineyard_equipment_barn_paso_robles,https://www.saxumvineyards.com/,
