projekt_id,projekt_name,stadt_name,land,latitude,longitude,geo_precision,bauwerke
p_55_great_suffolk_street_london,55 Great Suffolk Street,London,Vereinigtes Königreich,51.5074456,-0.1277653,city_centroid,"55 Great Suffolk Street…;1 Broadgate, London"
p_awm_muenster_circular_office,AWM Münster – zirkulärer…,Münster,Deutschland,51.9625101,7.6251879,city_centroid,AWM Münster administrati…;Behrensbau Düsseldorf…;Public building and…
p_bedzed_london_hackbridge,BedZED,London,Vereinigtes Königreich,51.5074456,-0.1277653,city_centroid,BedZED mixed-use quarter;Brighton Railway…;Local demolition and…
p_berlin_schildow_pilot_house,Berlin-Schildow Pilot,Schildow,Deutschland,52.6355634,13.377057,city_centroid,Schildow Pilotwohnhaus;Berliner/Marzahner…
p_bestandverplanzung_pavilion_muenchen,Bestandverplanzung…,München,Deutschland,48.1371079,11.5753822,city_centroid,Bestandverplanzung…;Bungalows des Olympische…
p_big_dig_building_boston,Big Dig Building,Boston,USA,42.3588336,-71.0578303,city_centroid,Big Dig Building;Big Dig (CA/T)
p_big_dig_building_boston,Big Dig Building,"Cambridge, Massachusetts",USA,42.3656347,-71.1040018,city_centroid,Big Dig Building;Big Dig (CA/T)
p_big_dig_house_lexington_massachusetts,Big Dig House,"Lexington, Massachusetts",USA,42.4473175,-71.2245003,city_centroid,Big Dig House;Big Dig (I-93)
p_biopartner_5_leiden_oegstgeest,BioPartner 5,Leiden,Niederlande,52.1594747,4.4908843,city_centroid,BioPartner 5;Gorlaeus Hochhaus;Gorlaeus (Biopartner)
p_biopartner_5_leiden_oegstgeest,BioPartner 5,Oegstgeest,Niederlande,52.185433,4.4738856,city_centroid,BioPartner 5;Gorlaeus Hochhaus;Gorlaeus (Biopartner)
p_bluecity_offices_rotterdam,BlueCity Offices…,Rotterdam,Niederlande,51.9244424,4.47775,city_centroid,BlueCity Offices;Ehemaliges Tropicana;Tropicana Rotterdam
p_boulder_fire_station_3,Boulder FS-3,"Boulder, Colorado",USA,40.0149856,-105.270545,city_centroid,Fire Station 3 & Fire…;Boulder Community…
p_brent_cross_town_primary_substation_london,Brent Cross Town…,London,Vereinigtes Königreich,51.5074456,-0.1277653,city_centroid,Substation screen;Surplus
p_brighton_waste_house_brighton,Brighton Waste House,Brighton,Vereinigtes Königreich,50.8214626,-0.1400561,city_centroid,Brighton Waste House
p_broethen_twin_house_hoyerswerda,Broethen Twin-House,Hoyerswerda / Broethen,Deutschland,51.4290081,14.1843401,city_centroid,Broethen Twin-House
p_crclr_house_impact_hub_berlin,CRCLR House,Berlin,Deutschland,52.5173885,13.3951309,city_centroid,Externe Reuse-Quellen…
p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,London,Vereinigtes Königreich,51.5074456,-0.1277653,city_centroid,CascadeUp modularer…
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Dilbeek / Itterbeek,Belgien,50.8395994,4.2501187,city_centroid,Sanitary block for the…
p_christ_pavilion_volkenroda,Christus-Pavillon,Volkenroda / Koerner,Deutschland,51.250281,10.5655779,city_centroid,Christus-Pavillon EXPO…;Christus-Pavillon…
p_circl_abn_amro,Circl,Amsterdam,Niederlande,52.3730796,4.8924534,city_centroid,Circl Pavilion AMS
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Arnhem,Niederlande,51.984257,5.9108573,city_centroid,"CCN Heerde;Prinsenhof A, Arnhem"
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Heerde,Niederlande,52.4056303,6.0413984,city_centroid,"CCN Heerde;Prinsenhof A, Arnhem"
p_circular_pavilion_paris,Circular Pavilion Paris,Paris,Frankreich,48.8534951,2.3483915,city_centroid,Circular Pavilion at…
p_elementa_walkeweg,ELEMENTA Walkeweg,Basel,Schweiz,47.5581077,7.5878261,city_centroid,ELEMENTA Walkeweg;Lysbüchel Parkgarage
