projekt_id,projekt_name,address,latitude,longitude,confidence,evidence_status,staedte,source_url,evidence_notes
p_55_great_suffolk_street_london,55 Great Suffolk Street,"55 Great Suffolk Street, London SE1 0UQ, UK",51.5018,-0.0789,high,,London,processed+archive,
p_awm_muenster_circular_office,AWM Münster – zirkulärer…,"Rösnerstraße 10, 48155 Münster, Germany",51.9359,7.6356,high,,Münster,https://awm.stadt-muenster.de/,
p_bedzed_london_hackbridge,BedZED,"24 Helios Road, Wallington, London SM6 7BZ, UK",51.3653,-0.1494,high,,London,https://www.bioregional.com/projects-and-services/case-studies/bedzed,
p_berlin_schildow_pilot_house,Berlin-Schildow Pilot,"Schildow, 16552, Germany",52.6333,13.3833,low,city_only,Schildow,https://www.kuladig.de/Objektansicht/BKM-31000252,"PRECS/TU Berlin WBS70 pilot house 2005 in Schildow; archive and press confirm municipality only, no published street."
p_bestandverplanzung_pavilion_muenchen,Bestandverplanzung…,"Connollystraße 3, 80809 München, Germany",48.1734,11.5532,medium,,München,https://www.studentenwerk.mhn.de/en/accommodation/halls-of-residence/munich/central-munich/student-district-olympisches-dorf/,
p_big_dig_building_boston,Big Dig Building,"Massachusetts Avenue (triangular lot near Porter Square), Cambridge, MA 02140, USA",42.3884,-71.1192,low,unbuilt_proposed_site,"Boston;Cambridge, Massachusetts",https://metropolismag.com/programs/single-speed-design-the-2004-next-generation-winner/,"Unbuilt competition proposal; proposed Cambridge site only, not a built civic address."
p_big_dig_house_lexington_massachusetts,Big Dig House,"8 Bird Hill Road, Lexington, MA 02421, USA",42.2586,-71.2139,high,,"Lexington, Massachusetts",https://www.projectarchitects.com/projects/big-dig-house,
p_biopartner_5_leiden_oegstgeest,BioPartner 5,"Limes 7 / Leiden Bio Science Park, Oegstgeest/Leiden",52.1710283,4.4502649,high,,Leiden;Oegstgeest,,
p_bluecity_offices_rotterdam,BlueCity Offices…,"Maasboulevard 100, 3063 NS Rotterdam, Netherlands",51.9436,4.5112,high,,Rotterdam,https://www.bluecity.nl/,
p_boulder_fire_station_3,Boulder FS-3,"2967 Bluff Street, Boulder, CO 80301, USA",40.0149856,-105.270545,high,,"Boulder, Colorado",processed,
p_brent_cross_town_primary_substation_london,Brent Cross Town…,"124 Pennine Drive, London NW2 1NL, UK",51.5639,-0.2267,high,,London,https://www.arup.com/projects/brent-cross-town,
p_brighton_waste_house_brighton,Brighton Waste House,"58-67 Grand Parade, Brighton BN2 0JY, UK",50.8247,-0.1366,high,,Brighton,https://www.construction21.org/articles/h/the-brighton-waste-house.html,
