evidence_id,url,source_type,what_it_supports,graph_action,confidence,in_graph_quelle_id
W01,https://preuse.nweurope.eu/,first_party_homepage,PREUSE programme scope dates outputs,add_node prog_preuse,q_url_150bfa71ec64ea9192c5252bb7453284,belegt
W02,https://preuse.nweurope.eu/partners,first_party_page,Rotor lead Bellastock partner roster,edges Rotor/bellastock BETEILIGT_AN prog_preuse,q_url_4a94cddf6628f350b982c97040dce9fd,belegt
W03,https://rotordb.org/en/projects/preuse-interreg-nwe,first_party_project,Rotor leads PREUSE partners budget timeline,edge Rotor BETEILIGT_AN prog_preuse,q_url_714d4c31c9d811b5269f20eaf16bb43f,belegt
W04,https://opalis.eu/en/about,first_party_about,Opalis Rotor founder Bellastock 2019 FCRBE PREUSE Renolution,edges opalis-bellastock enrich,q_url_new_opalis_about,belegt
W05,https://opalis.eu/en/dealers/rotor-deconstruction,first_party_dealer,Opalis lists rotordc dealer since 2016 + Generale Bank cases,edge opalis VERBUNDEN rotordc,q_chiro_d_itterbeek_dilbeek_s5,belegt
W06,https://opalis.eu/en/documentation,first_party_docs,FCRBE documentation hosted on Opalis,enrich opalis prog_fcrbe,q_url_new_opalis_docs,belegt
W07,https://rotordb.org/en/projects/oxy-centre-monnaie,first_party_project,OXY Rotor design assistance Whitewood Immobel 4-6% reuse,add_node p_oxy_centre_monnaie,q_url_new_oxy_project,belegt
W08,https://rotordb.org/en/news/works-oxy-well-underway,first_party_news,RotorDC reconverts OXY aluminium profiles to lighting,edge rotordc BETEILIGT_AN p_oxy,q_url_new_oxy_news,belegt
W09,https://rotordb.org/en/projects/caserne-tresignies-south-wing,first_party_project,Caserne Trésignies Rotor design assistance inventories specs,add_node p_caserne_tresignies,q_url_new_caserne,belegt
W10,https://rotordb.org/en/projects/boardwalk-reclaimed-tropical-hardwood,first_party_project,Boardwalk 300m2 reclaimed tropical hardwood Minerve,add_node p_boardwalk_tropical_hardwood,q_url_new_boardwalk,belegt
W11,https://www.minerve.info/nieuws/vlonder/,project_owner_corroboration,Revive Minerve boardwalk via Rotor Opalis azobé,BELEGT_IN p_boardwalk,q_url_new_minerve_vlonder,belegt
W12,https://rotordb.org/en/projects/multi-de-brouckere-tower,first_party_project,Rotor DC salvaged Generale de Banque granite for Multi,upgrade Multi edges belegt,q_multi_brussels_reuse_in_multi_s5,belegt
W13,https://www.triodos.be/fr/articles/2025/multi-une-reconversion-pionniere-exemplaire-rotor-construction-circulaire,secondary_corroboration,Multi granite from Generale de Banque via Rotor DC,BELEGT_IN p_multi,q_url_new_triodos_multi,belegt
W14,https://rotordc.com/about-us,first_party_about,Evere 14000m2 Da Vinci citydev; documents dealers on opalis.eu,add_node bw_rotordc_evere_site,q_url_new_rotordc_about,belegt
W15,https://rotordc.com/contact,first_party_contact,Da Vinci business park citydev Evere address,BELEGT_IN bw_rotordc_evere,q_url_new_rotordc_contact,belegt
W16,https://bma.brussels/en/rotor-en/,public_client_erdf,ERDF Circular Hub RTRDC Avenue de Bale 3 Evere,BELEGT_IN bw_rotordc_evere,q_url_new_bma_rotor,belegt
W17,https://rotordb.org/en/projects/plateforme-reemploi,first_party_project,Atelier 4/5 Opalis content 2017 Plateforme Réemploi,optional atelier edge,q_url_new_plateforme_reemploi,belegt
W18,https://rotordb.org/en/projects/recypark-anderlecht,first_party_project,Rotor design assistance glulam reuse Recypark,Rotor edge only,q_recypark_demets_anderlecht_s1,belegt
W19,https://rotordc.com/blog/inspiration-4/recypark-in-anderlecht-brussels-101,first_party_blog,rotordc inspiration post not participation proof,defer rotordc Recypark,q_recypark_demets_anderlecht_s9,teilweise_belegt
W20,https://www.brusiness.brussels/rotor-dc-pionier-in-hergebruik-von-bouwmaterialen/,secondary_press,citydev erfpacht 14000m2 Evere,secondary BELEGT_IN site,q_url_new_brusiness,teilweise_belegt
W21,https://opalis.eu/fr/projets/ancien-siege-de-la-generale-de-banque,first_party_case,Generale Bank 66t granite 230t finishes Rotor stock,donor bw_generale + rotordc,q_url_new_opalis_generale,belegt
W22,https://opalis.eu/nl/projecten/demontage-van-een-unieke-plafond,first_party_case,Generale Bank ceiling demontage rotordc quantities corroboration,BELEGT_IN bw_generale,q_url_new_opalis_ceiling,belegt
W23,https://rotordc.com/blog/salvaging-by-rotordc-3/generale-banks-hq-brussels-72,first_party_blog,230 tonnes salvaged kick-started rotordc 2014,BELEGT_IN bw_generale rotordc,q_url_new_rotordc_generale_blog,belegt
W24,https://rotordc.com/blog/salvaging-by-rotordc-3/windows-from-cbr-building-by-constantin-brodzki-and-marcel-lambrichs-ca-1970-44,first_party_blog,CBR windows reclaimed during renovation not demolition,add_node bw_cbr_building,q_url_new_rotordc_cbr_blog,belegt
