cluster_label,n_files,n_raw_values,raw_values
materialien,9,10,"6,9 t wiedergewonnene Materialien (n=1); 3.404 t wiederverwendete/recycelte Materialien, 15 % (n=1); weniger als ein Drittel neue Materialien nach Masse (n=1); 60 % Materialien mit erster Lebensdauer (n=1); 2 % bzw. 3 % Urban Mining / externe Reuse-Materialien (n=1); 95 % wiederverwendete Materialien; Maurer United nennt 100 % Material aus Abriss (n=1); 32 % CO₂-Reduktion bei Materialien (n=1); 84 % sekundäre Materialien (n=1); 85 % bzw. Ziel 90 % wiederverwendete/geerntete Materialien (n=1); 12 % neue Materialien second-hand nach Masse (n=1)"
reused,9,12,"20.35 t reused steel (n=1); 90 % circular / 90 % reused (n=1); 25 tons reused structural steel (n=1); 21 other projects reused members from stockpile (n=1); 33.46 t reused steel (n=1); 42.5 % / around 45 % reused steel (n=1); ca. 70 % reused/recycled/upcycled im Innenausbau (n=1); 90 % biosourced und/oder reused, Trockenbauweise (n=1); 24–25 t reused steel; 35/45/60 t CO₂-Einsparung je Quelle (n=1); 92 % reused/donated, 7 % recycled (n=1); >500 beams; ca. 115–125 t reused steel (n=1); CO₂-Einsparung reused steel 216 oder 276 tCO₂e (n=1)"
einsparung,8,8,60 t CO₂ Einsparung (n=1); 24–25 t reused steel; 35/45/60 t CO₂-Einsparung je Quelle (n=1); ca. 30 % graue THG-Einsparung (n=1); 458–792 t CO₂e Einsparung (n=1); 30 t Stahl / 74 t CO₂e Einsparung (n=1); CO₂-Einsparung reused steel 216 oder 276 tCO₂e (n=1); 45 % CO₂-Einsparung über 50 Jahre inkl. Betrieb (n=1); 70 % CO₂-Einsparung gegenüber aktuellem Baustandard (n=1)
jahre,8,8,245 m³; 200 Teile; 33 km; 2005; Bauteilalter ca. 18 Jahre (n=1); 200 Teile; 245 m³; ca. 18 Jahre Bauteilalter; 2005 (n=1); 2008; ca. 36 Jahre Bauteilalter (n=1); 76 Platten; 2001; ca. 32 Jahre Bauteilalter (n=1); 118 m³; 49 Bauteile; 2005; Bauteilalter ca. 21 Jahre (n=1); mindestens 50 Jahre Nutzungsdauer (n=1); 15 Jahre temporäre Nutzung (n=1); 45 % CO₂-Einsparung über 50 Jahre inkl. Betrieb (n=1)
reduktion,7,7,ca. 40 % Reduktion embodied carbon (n=1); 68 % CO₂-Reduktion (n=1); fast 600 t CO₂ / gut 40% Reduktion (n=1); 59 % CO₂-Reduktion / 494 t CO₂ (n=1); bis 88 % CO₂-Reduktion gegenüber Neubau (n=1); 32 % CO₂-Reduktion bei Materialien (n=1); 90 % CO₂-Reduktion für Konstruktion und Fassade (n=1)
steel,7,10,20.35 t reused steel (n=1); 25 tons reused structural steel (n=1); 161 tons salvaged structural steel from hospital (n=1); 33.46 t reused steel (n=1); 42.5 % / around 45 % reused steel (n=1); 24–25 t reused steel; 35/45/60 t CO₂-Einsparung je Quelle (n=1); 20 % project steel repurposed (n=1); 139 t salvaged steel (n=1); >500 beams; ca. 115–125 t reused steel (n=1); CO₂-Einsparung reused steel 216 oder 276 tCO₂e (n=1)
bauteilalter,5,5,245 m³; 200 Teile; 33 km; 2005; Bauteilalter ca. 18 Jahre (n=1); 200 Teile; 245 m³; ca. 18 Jahre Bauteilalter; 2005 (n=1); 2008; ca. 36 Jahre Bauteilalter (n=1); 76 Platten; 2001; ca. 32 Jahre Bauteilalter (n=1); 118 m³; 49 Bauteile; 2005; Bauteilalter ca. 21 Jahre (n=1)
stahl,4,4,98 t wiederverwendeter Stahl (n=1); 165.000 kg wiederverwendeter Stahl (n=1); −71 % Global Warming Potential gegenüber Recyclingbeton-Alternative; −74 % gegenüber Stahl-Alternative; +9 % gegenüber Holz-Alternative (n=1); 30 t Stahl / 74 t CO₂e Einsparung (n=1)
vermieden,4,4,"4.572,702786 kg CO₂ vermieden (n=1); 91 t CO₂ durch Wiederverwendung vermieden (n=1); 19 t Abfall vermieden und wiederverwendet (n=1); 69,22 t CO₂e vermieden (n=1)"
bgf,3,3,BGF 2.004 m²; BRI 18.548 m³ (n=1); BGF 6.600 m² / 7.603 m² / Größe 4.871 m² (n=1); 285 m² BGF (n=1)
