cluster_label,n_files,n_raw_values,raw_values
holz,16,15,"Holz (n=2); Stahl, Holz, Stein, Glas, Recyclingmaterialien (n=1); Holz, Stroh, Lehm (n=1); Holz, tropisches Hartholz / Pier decking (n=1); Holz, vermutlich reclaimed timber (n=1); Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien (n=1); Holz, Fliesen/Keramik, Metall, Sanitärkeramik, Textil/Beläge (n=1); Holz, Stroh, Hanf-Kalk, Naturputz (n=1); Holz / Brettschichtholz (n=1); Holz, Stroh, Erde, BTC, Granit, Gussradiatoren (n=1); Ziegel / Mauerwerk; Holz sekundär möglich (n=1); Beton, Aluminium, Holz/Fensterrahmen, Metall, Plattenmaterial (n=1); Holz, massive Holzbalken/Platten Verbiest (n=1); Stahl, Holz, Polystyrol, Werbetafeln, weitere lokale Reststoffe (n=1); ReUse_Holz (n=1)"
stahl,13,9,"Stahl (n=3); Stahl und Beton (n=2); ReUse_Stahl (n=2); Stahl, Holz, Stein, Glas, Recyclingmaterialien (n=1); Stahl, Sichtbeton, Glas, Marmor (n=1); Eiche oder ähnliche Holzarten; Glas/Stahl/Edelstahlrahmen (n=1); Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien (n=1); CLT und Stahl (n=1); Stahl, Holz, Polystyrol, Werbetafeln, weitere lokale Reststoffe (n=1)"
beton,9,7,"Stahl und Beton (n=2); Beton (n=2); Beton / Stahlbetonfertigteile (n=1); Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien (n=1); rezyklierter Beton-Zuschlag (n=1); Beton / Spannbeton vermutlich (n=1); Beton, Aluminium, Holz/Fensterrahmen, Metall, Plattenmaterial (n=1)"
stahlbetonfertigteile,9,7,Stahlbetonfertigteile (n=2); WBS70-Stahlbetonfertigteile (n=2); Stahlbetonfertigteile / precast concrete (n=1); Stahlbetonfertigteile / WBS70 (n=1); Beton / Stahlbetonfertigteile (n=1); Stahlbetonfertigteile / P2-PC-System (n=1); Stahlbetonfertigteile / WBS70-Plattenbauteile (n=1)
glas,5,5,"Stahl, Holz, Stein, Glas, Recyclingmaterialien (n=1); Stahl, Sichtbeton, Glas, Marmor (n=1); Eiche oder ähnliche Holzarten; Glas/Stahl/Edelstahlrahmen (n=1); Glas- und Keramikscherben (n=1); Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien (n=1)"
ziegel,5,3,Ziegel / Backstein (n=3); wiederverwendete Ziegel (n=1); Ziegel / Mauerwerk; Holz sekundär möglich (n=1)
spannbeton,4,4,Spannbeton (n=1); Spannbeton / Fertigbeton (n=1); Spannbeton/Fertigbeton (n=1); Beton / Spannbeton vermutlich (n=1)
stroh,4,4,"Holz, Stroh, Lehm (n=1); Holz, Stroh, Hanf-Kalk, Naturputz (n=1); Holz, Stroh, Erde, BTC, Granit, Gussradiatoren (n=1); Stroh (n=1)"
wbs70,4,3,WBS70-Stahlbetonfertigteile (n=2); Stahlbetonfertigteile / WBS70 (n=1); Stahlbetonfertigteile / WBS70-Plattenbauteile (n=1)
backstein,3,1,Ziegel / Backstein (n=3)
fenster,3,1,ReUse_Fenster (n=3)
fertigbeton,3,3,Fertigbeton (n=1); Spannbeton / Fertigbeton (n=1); Spannbeton/Fertigbeton (n=1)
hanf,3,3,"Holz, Stroh, Hanf-Kalk, Naturputz (n=1); PET-Filz, Textilien, Papiergranulat, Hanf/Seegras (n=1); Hanf (n=1)"
lehm,3,3,"Hanfkalksteine, Lehm, Akustikbaffeln, Teppich (n=1); Holz, Stroh, Lehm (n=1); Lehm (n=1)"
_unclustered,26,42,"Baustahl (n=2); ReUse_Innenausbau (n=2); ReUse_Bauteile (n=2); PV (n=2); Mauerwerkspuin / Abbruchschutt (n=1); europäisches Konstruktionsholz (n=1); Stahlrohre (n=1); Zahnbürsten (n=1); Denim jeans (n=1); Videokassetten, DVDs, Floppy Discs (n=1); Fahrradschläuche, Polystyrol, Kaffeesatz (n=1); sekundäres Abbruchholz / reclaimed solid timber (n=1); Dämmung, Betonblöcke, Holzrahmen (n=1); alte Fliesen (n=1); Wände des alten Rathauses (n=1); Betonbestand (n=1); wiederverwendete ost- und westdeutsche Plattenbauteile / Fertigbetonteile (n=1); Stahlbeton / Ortbeton (n=1); Recyclingbeton (n=1); Jutedämmung aus Kakaosäcken (n=1); Stahlrohr, reclaimt (n=1); recycled/upcycled concrete from Copenhagen Metro (n=1); Sekundärmaterialien / oogstmaterialen (n=1); ReUse_Mauerwerk (n=1); Laminatfurnierplatten (n=1); ReUse_Betonfertigteile (n=1); Strohplatten (n=1); ReUse_MDF (n=1); Rezyklate (n=1); Dachbegruenung (n=1); Mineralwolle_Sekundaermaterial (n=1); Holzbau (n=1); ReUse_Blech (n=1); ReUse_Tueren (n=1); ReUse_Fensterlaeden (n=1); ReUse_Dachziegel (n=1); ReUse_Kuechen (n=1); ReUse_Sanitaerkeramik (n=1); ReUse_Brettschichtholz (n=1); Lehmestrich_Oxacrete (n=1); Altholz (n=1); ReUse_Fassade (n=1)"
