cluster_label,n_files,n_raw_values,raw_values
einfamilienhaus,8,7,Einfamilienhaus / Pilotwohnhaus (n=2); Einfamilienhaus / Zwei-Generationenhaus mit Satteldach (n=1); Einfamilienhaus / modernes Wohnhaus (n=1); Einfamilienhaus (n=1); Einfamilienhaus mit Home Office (n=1); Einfamilienhaus in Auderghem (n=1); Einfamilienhaus / Wohnhaus (n=1)
ehemalige,7,7,"ehemalige Zigarettenfabrik (n=1); ehemalige Lager-/Fassladehalle auf dem Kindl-Areal (n=1); ehemalige elektrische Werkstatt der Société Métallurgique de Normandie (n=1); CRCLR House, ehemalige Kindl-Brauerei (n=1); ehemalige Reithalle / riding arena / horse riding school (n=1); ehemalige Gladsaxe School (n=1); ehemalige Werkstätten / ehemaliger Gebäudekomplex des Finanzministeriums (n=1)"
ehemaliges,7,7,ehemaliges Gorlaeus-Hochhaus / Gorlaeus laboratory (n=1); ehemaliges subtropisches Schwimmbad Tropicana / Club Tropicana (n=1); ehemaliges Coop-Verteilzentrum / Großbäckerei (n=1); ehemaliges Fabrik-/Gewerbe-/Schlossereigebäude (n=1); ehemaliges Districtskantoor Rijkswaterstaat Terneuzen (n=1); Rathaus Lo-Reninge / ehemaliges Kloster (n=1); ehemaliges Nachbarschaftszentrum De Patio + neue Wohnbauten (n=1)
spender,6,6,Spender: Schule Typ Dresden; weiteres WBS70-Gebäude (n=1); Spender: Berliner Elfgeschosser / Marzahn-Plattenbau (n=1); Spender: Berliner/Marzahner Plattenbau (n=1); Spender: Massenwohnungsbau / Plattenbau (n=1); Spender: Rückbaustelle Leinefelde (n=1); Spender: abgerissener Marzahner Elfgeschosser (n=1)
house,5,5,"Doppelhaus / twin-house (n=1); 318 Oxford Street / former House of Fraser / The Elephant (n=1); CRCLR House, ehemalige Kindl-Brauerei (n=1); The Green House (n=1); Bestandshalle_CRCLR_House (n=1)"
basel,4,2,LysP8_Basel_Lysbuechelareal (n=2); ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal (n=2)
lysbuechelareal,4,2,LysP8_Basel_Lysbuechelareal (n=2); ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal (n=2)
areal,3,3,ehemalige Lager-/Fassladehalle auf dem Kindl-Areal (n=1); Kindl_Areal (n=1); Areal_Walkeweg_Nord (n=1)
buerogebaeude,3,3,"1980er-Jahre Bürogebäude (n=1); Bürogebäude mit Umbau und Erweiterung (n=1); Neubau, bioklimatisches Betriebs-/Bürogebäude (n=1)"
kindl,3,3,"ehemalige Lager-/Fassladehalle auf dem Kindl-Areal (n=1); CRCLR House, ehemalige Kindl-Brauerei (n=1); Kindl_Areal (n=1)"
plattenbau,3,3,Spender: Berliner Elfgeschosser / Marzahn-Plattenbau (n=1); Spender: Berliner/Marzahner Plattenbau (n=1); Spender: Massenwohnungsbau / Plattenbau (n=1)
wohnhaus,3,3,Einfamilienhaus / modernes Wohnhaus (n=1); Einfamilienhaus / Wohnhaus (n=1); Wohnhaus mit Ausstellungs-/Kunstlagerfunktion (n=1)
_unclustered,50,53,"Sport-/Vereinshaus (n=2); Lysbuechel_Parkhaus (n=2); Grade II Listed Victorian warehouse (n=1); altes Verwaltungsgebäude der awm (n=1); Wohn- und Arbeitsquartier (n=1); Olympisches Dorf / Bungalows (n=1); Big Dig Building (n=1); BioPartner 5 (n=1); Fire Station 3 & Fire Administration (n=1); Boulder Community Hospital / Boulder Community Health hospital (n=1); Substation screen / oval steel structure (n=1); permanentes Forschungs-/Demonstrationsgebäude (n=1); Sanitärpavillon neben alter Farm (n=1); Christus-Pavillon (n=1); Circulair Centrum Nederland, Heerde (n=1); Prinsenhof A, Arnhem (n=1); Europa Building mit Residence Palace Block A (n=1); Neubauensemble (n=1); Härmälänrannan Ernst (n=1); Hastings Pier / Visitor Centre (n=1); Mehrfamilienhaus (n=1); TBC.London / Tower Bridge Court (n=1); Institut de Botanique de l’ULg (n=1); bestehender Emergis-Bestand Kloetinge (n=1); bestehende Industriehalle Halle 118 (n=1); Kamikatsu Zero Waste Center „WHY“ (n=1); Werkhof Mööslistrasse (n=1); Büro-/Campuskomplex (n=1); kleiner Technikbau + Personalräume „space within a space“ (n=1); Lycée Michel Lucius Campus, Flügel 3000 und 6000 (n=1); Bestandsgebäude am Canal (n=1); Grundschule und Kita (n=1); Suutarila community centre (n=1); Montessorischool Maassluis (n=1); ehemaliger Philips Tower / Brouckère Tower (n=1); Musée de Folklore Vie Frontalière (n=1); Kleinsthaus / Galerie / experimenteller Wohnraum (n=1); vollständig de- und remontierbares Recycling-Gebäude (n=1); The White Chapel Building (n=1); Wohngebäude / Wohnquartier (n=1); Former Blackfriars Crown Court, 1 Pocock Street / Loman Street, Southwark (n=1); Agricultural storage / equipment barn (n=1); Expogebouw / Superlocal Pavilion (n=1); Hochhausflat Ursulastraat (n=1); Industrie-/Fabrikgebäude von 1967/1968 (n=1); Print Building und Ink Building (n=1); 78 m / 20-geschossiges Holzhochhaus (n=1); Reihenhausensemble (n=1); Verbiest (n=1); Karreveld (n=1); Hobelwerk_Haus_D_Oberwinterthur (n=1); K118_Kopfbau_Halle_118_Winterthur (n=1); Altes_Hobelwerk_Winterthur (n=1)"
