entity_type,total_rows,unique_values,n_clusters,n_unclustered_values,n_unclustered_files
Abbruchmethode,20,20,6,4,4
Akteur,243,227,42,144,47
Architekt,12,11,0,11,12
As-built-Verifikation,1,1,0,1,1
As-found-Komponente,1,1,0,1,1
Aufbereitungsmethode,25,25,3,18,18
Ausgleichsschicht,1,1,0,1,1
Auszeichnung,1,1,0,1,1
Bauherr,21,20,0,20,21
Bauherr / Akteur,1,1,0,1,1
Bauteil,232,225,29,132,55
Bauteil-Archiv / Herkunftsmix,1,1,0,1,1
Bauteil-Ernte,1,1,0,1,1
Bauteilboerse,11,10,0,10,11
Bauteilernte,1,1,0,1,1
Bauteiljagd-Team,1,1,0,1,1
Bauteiljäger / component hunting,1,1,0,1,1
Bauteiljäger*in,1,1,0,1,1
Bauteilkatalog / Bauteilpass,1,1,0,1,1
Bauteilpool öffentlicher Bestand,1,1,0,1,1
Bauteilzuschnitt,2,2,0,2,2
Bericht,5,5,0,5,5
Bericht / Dokument,1,1,0,1,1
Bestandserhalt-Abzug,1,1,0,1,1
Bestandserhalt-Anteil,1,1,0,1,1
Bestandserhalt-Ausschluss,1,1,0,1,1
Bestandserhalt-Warnung,1,1,0,1,1
Bestandsintegration-Denkmal,1,1,0,1,1
Betriebs-Reuse-System,1,1,0,1,1
Betriebszirkularität,1,1,0,1,1
Bewohner-Selbstbau / Selbstwerkzaamheid,1,1,0,1,1
Bildungs-/Lehrbaustelle,1,1,0,1,1
Bildungs-/Partizipationsbezug,1,1,0,1,1
Bio-/Geo-/Reuse-Hybrid,1,1,0,1,1
Brandereignis,1,1,0,1,1
CCTP-Variante / „CCTP à trous“,1,1,0,1,1
CO₂-Budget / Paris-Proof-Bilanz,1,1,0,1,1
Campus-interner Kreislauf,1,1,0,1,1
Circular Workplace,1,1,0,1,1
Circular building site,1,1,0,1,1
Datenmodell,9,9,1,6,6
Dauerhafte Außenruine,1,1,0,1,1
Deconstruction Ordinance,1,1,0,1,1
Demonstrator-Station,1,1,0,1,1
Design-Build-Reuse,1,1,0,1,1
Donor Building,2,2,0,2,2
Donor Building unbekannt,1,1,0,1,1
Donor-/Empfängerquartier,1,1,0,1,1
Donor-Gebäude,3,3,1,0,0
Donor-Gebäudegruppe,1,1,0,1,1
Donor-Industrie,1,1,0,1,1
Donor-Infrastruktur,1,1,0,1,1
Donor-Projekt,2,2,0,2,2
Donor-Receiver-Kette,1,1,0,1,1
Donor-Site-Stahl,1,1,0,1,1
Donorgebäude,2,2,0,2,2
Donorgebäude-Serie,1,1,0,1,1
Donorskelet,1,1,0,1,1
Donorstruktur,1,1,0,1,1
Doppellisteneintrag,1,1,0,1,1
Embodied-Carbon-Wertekonflikt,1,1,0,1,1
Empfängergebäude,2,2,0,2,2
Energie-Nebenfunktion,1,1,0,1,1
Erinnerungsbauteil,1,1,0,1,1
Essential Facility / Risk Category,1,1,0,1,1
Fallstudie,84,82,9,49,50
Fertigteilsystem,3,3,0,3,3
Fest eingebauter Innenausbau,1,1,0,1,1
Fest installierte technische Ausstattung,1,1,0,1,1
Fit-out-Komponente,1,1,0,1,1
Fit-out-Reuse,1,1,0,1,1
Foerderprogramm,13,12,0,12,13
Formaktive Reuse-Schale,1,1,0,1,1
Free-Issue-Material,1,1,0,1,1
Gebaeude,97,92,12,53,50
Gebäude-recycelt-sich-selbst,1,1,0,1,1
Gemeindespende,1,1,0,1,1
Geplanter Reuse-Einbau,1,1,0,1,1
Gewährleistungsersatzfonds,1,1,0,1,1
Harvest Map / Oogstkaart,1,1,0,1,1
Heritage-Konflikt / Schutzstatuskonflikt,1,1,0,1,1
Herkunftsnarrativ,1,1,0,1,1
Historische Einbettung / Kontextanpassung,1,1,0,1,1
Historische Profilbemessung,1,1,0,1,1
Huerde,55,55,4,43,39
In-situ-Reuse-Kette,1,1,0,1,1
In-situ-Transformation,1,1,0,1,1
Infrastruktur-Donor,1,1,0,1,1
Infrastruktur-Prototyp,1,1,0,1,1
Infrastrukturbauteil,1,1,0,1,1
Innere Nutzungsbox,1,1,0,1,1
Kennwert,156,155,20,82,47
Kennwertkonflikt,1,1,0,1,1
Kommerzielle Replikation,1,1,0,1,1
Kontrollierte Risikoprävention,1,1,0,1,1
Konzeptkennwert,1,1,0,1,1
Kulturhistorisches Reuse-Bauteil,1,1,0,1,1
Kunstintegration als Reuse-Träger,1,1,0,1,1
Lehrstuhl,2,2,0,2,2
Leihmodell,1,1,0,1,1
Leistungsanforderung,11,11,0,11,11
Living Laboratory,1,1,0,1,1
Logistik,26,26,7,12,12
Marine Exposition,1,1,0,1,1
Matching-Algorithmus,1,1,0,1,1
Material,102,86,14,42,26
Material Stockpile,1,1,0,1,1
Materialallianz,1,1,0,1,1
Materialdepot / Lagerverwaltung,1,1,0,1,1
Materialeffizienz-Versprechen,1,1,0,1,1
Materialgetriebener Entwurf,2,2,0,2,2
Materialherkunftsseite / QR-Materialatlas,1,1,0,1,1
Materialherkunftstyp,1,1,0,1,1
Materiallager / Zwischenlager,1,1,0,1,1
Materialscout,1,1,0,1,1
Materialspuren / Patina,1,1,0,1,1
Materialökosystem,1,1,0,1,1
Mauerwerksmodul,1,1,0,1,1
Mehrfachleben,1,1,0,1,1
Methode,64,47,4,39,30
Mobiles Recyclinggebäude,1,1,0,1,1
Nicht gebauter Reuse-Vorschlag,1,1,0,1,1
Nicht-zählbare Möbelreuse,1,1,0,1,1
Norm_Recht,55,37,3,30,26
Nutzer-Crew / Eigenleistungsteam,1,1,0,1,1
Occasionslager,1,1,0,1,1
Offcut-Verwertung,1,1,0,1,1
Ombruksgrad / Reuse-by-weight,1,1,0,1,1
Oogstmaterial / geerntetes Material,1,1,0,1,1
Opportunitäts-Gisement,1,1,0,1,1
Ort,90,86,16,20,19
Ortbeton-Bauteilernte,1,1,0,1,1
Parallelbetrieb,1,1,0,1,1
People/Akteure,1,1,0,1,1
Pilotnummerierung,1,1,0,1,1
Pilotserie,1,1,0,1,1
Plattenbau-Typologie,1,1,0,1,1
Privatkleinanzeige / informeller Reuse-Markt,1,1,0,1,1
Produktpass,1,1,0,1,1
Projekt,90,88,9,59,54
Projektabbruch / Strategiewechsel,1,1,0,1,1
Projektstatus,2,2,0,2,2
Projektübergreifender Materialtransfer,1,1,0,1,1
Prozessphase,10,10,2,4,4
Pruefung,47,33,5,17,17
Pufferraum-Fassade,1,1,0,1,1
Pädagogisches Bauprojekt,1,1,0,1,1
Quellenkonflikt,3,3,0,3,3
Quellenkonflikt Kennwert,2,2,0,2,2
Quellenkonflikt-Kennwert,2,2,0,2,2
Quellenqualität,1,1,0,1,1
Quellenunsicherheit,1,1,0,1,1
Quellgebäude,1,1,0,1,1
ReUse-Interior,1,1,0,1,1
Reaktivierung,1,1,0,1,1
Receiver-Projekt,1,1,0,1,1
Reclaim-Manager / Materialbeschaffer,1,1,0,1,1
Refurbishing Plan,1,1,0,1,1
Regelwerks-Pilot,1,1,0,1,1
Remanufactured Reuse-Bauteil,1,1,0,1,1
Remanufacturing,1,1,0,1,1
Remontage,1,1,0,1,1
Reserve-/Ersatzteillager,1,1,0,1,1
Restlebensdauer-Erhalt,1,1,0,1,1
Restposten/Überschussprodukt,1,1,0,1,1
Retained-Structure-Anteil,1,1,0,1,1
Reuse vs. Recycling-Bilanz,1,1,0,1,1
Reuse-Beratung,1,1,0,1,1
Reuse-Fassade als Bauteilsystem,1,1,0,1,1
Reuse-Forschungsreihe,1,1,0,1,1
Reuse-Gewährleistung,1,1,0,1,1
Reuse-Inszenierung,1,1,0,1,1
Reuse-Kette,2,2,0,2,2
Reuse-Konformität,1,1,0,1,1
Reuse-Koordinator,1,1,0,1,1
Reuse-Lieferkette,1,1,0,1,1
Reuse-Los / Lot réemploi,1,1,0,1,1
Reuse-Nachweisgrad,1,1,0,1,1
Reuse-Pilotprojekt,1,1,0,1,1
Reuse-Protokoll,1,1,0,1,1
Reuse-Quote mit Quellenkonflikt,1,1,0,1,1
Reuse-Rate nach Gewicht/Volumen,1,1,0,1,1
Reuse-Roadmap,1,1,0,1,1
Reuse-Screen,1,1,0,1,1
Reuse-Stockholder,1,1,0,1,1
Reuse-Testbau,1,1,0,1,1
Reuse-Werkstatt auf Baustelle,1,1,0,1,1
Reuse-vs-Recycling-Abgrenzung,3,3,0,3,3
Reuse_Strategie,55,43,8,10,10
Reversible Verbindung,1,1,0,1,1
Risikobasierte Freigabe,1,1,0,1,1
Rohbaukostenvorteil,1,1,0,1,1
Same-site urban mining,1,1,0,1,1
Schadstoff,14,6,1,5,5
Self-Harvesting,1,1,0,1,1
Self-Reuse,1,1,0,1,1
Software/Datenmodell,1,1,0,1,1
Software/Tool,4,2,1,1,1
Sozial-zirkulärer Akteur,1,1,0,1,1
Sozialer Baustellenprozess,1,1,0,1,1
Spende/Weitergabe,1,1,0,1,1
Spendergebäude,7,7,1,2,2
Stockholder / Reuse-Lieferant,1,1,0,1,1
Suffizienz-Umbau,1,1,0,1,1
Surplus-/Restpostenmaterial,1,1,0,1,1
Surplus-Industriebauteil,1,1,0,1,1
Symbolische Reuse-Fassade,1,1,0,1,1
Temporäre Wiederaufbaubarkeit,1,1,0,1,1
Temporäre Wiederaufstellung,1,1,0,1,1
Temporärer Demonstrator,1,1,0,1,1
Temporärer Erstnutzer,1,1,0,1,1
Traceability,1,1,0,1,1
Tragwerksplaner,8,6,0,6,8
Tragwerkssystem,38,34,4,25,24
Translozierung,1,1,0,1,1
Umgekehrter Entwurfsprozess,1,1,0,1,1
Upcycled product stream,1,1,0,1,1
Upcycling-Produkt,1,1,0,1,1
Verbindung,21,20,1,18,17
Verpasste Reuse-Chance,1,1,0,1,1
Versetzte Hallenkonstruktion,1,1,0,1,1
Verworfenes Reuse-Bauteil,1,1,0,1,1
Vorabkauf / öffentlicher Direktkauf,1,1,0,1,1
Warnung Möbel,1,1,0,1,1
Waste-as-infill,1,1,0,1,1
Werkzeug,25,14,1,13,13
Wiederaufbau in gleicher Fügung,1,1,0,1,1
Wiederverwendungsgrad Rohbau,1,1,0,1,1
Wirtschaft,34,21,2,17,18
Worst-Case-Design,1,1,0,1,1
Zirkularitätsstrategie,1,1,0,1,1
Zulassungspfad / standortspezifische Genehmigung,1,1,0,1,1
akteure,9,8,0,8,3
Öffentliche Beschaffung / Procurement-Mechanik,1,1,0,1,1
