cluster_label,n_files,n_raw_values,raw_values
house,16,15,"CRCLR_House (n=2); Association house, Gröditz / Gröditz association house (n=1); Association house, Plauen / Plauen association house (n=1); Berlin-Schildow Pilot House / Berlin-Schildow 2nd pilot house (n=1); Berlin-Schildow 2nd pilot house (n=1); Big Dig House (n=1); Brighton Waste House / Brighton Wild House (n=1); Bröthen twin-house (n=1); CRCLR House / Impact Hub Berlin (n=1); gjG House (n=1); House of Fraser / 318 Oxford Street → TBC.London (n=1); dnA House / Maison DnA (n=1); Maison Vignette / Vignette House (n=1); Mehrow 1st pilot house (n=1); The Green House Utrecht (n=1)"
berlin,7,7,Berlin-Schildow Pilot House / Berlin-Schildow 2nd pilot house (n=1); Berlin-Schildow 2nd pilot house (n=1); CRCLR House / Impact Hub Berlin (n=1); Impact Hub Berlin Interior / CRCLR fit-out (n=1); Plattenpalast Berlin (n=1); Plattenvereinigung Berlin (n=1); BOELL_LAB_Berlin (n=1)
pilot,6,6,Berlin-Schildow Pilot House / Berlin-Schildow 2nd pilot house (n=1); Berlin-Schildow 2nd pilot house (n=1); Circular Centre Netherlands / Prinsenhof A reuse pilot (n=1); Härmälänranta / A-Kruunu ReCreate mini-pilot (n=1); Lokomotion Technology Centre mini-pilot (n=1); Mehrow 1st pilot house (n=1)
pavilion,5,5,Bestandverplanzung Pavilion / Bestandverpflanzung? (n=1); Christus-Pavillon / Christ Pavilion (n=1); Pavillon Circulaire / Circular Pavilion (n=1); Hastings Pier Visitor Centre / Pavilion Cladding (n=1); People’s Pavilion (n=1)
centre,4,4,Circular Centre Netherlands / Prinsenhof A reuse pilot (n=1); Hastings Pier Visitor Centre / Pavilion Cladding (n=1); Lokomotion Technology Centre mini-pilot (n=1); Melkinlaituri elementary school and daycare centre (n=1)
crclr,4,3,CRCLR_House (n=2); CRCLR House / Impact Hub Berlin (n=1); Impact Hub Berlin Interior / CRCLR fit-out (n=1)
brussels,3,3,Europa Building Brussels (n=1); MULTI Brussels / Reuse in Multi (n=1); Urban_Production_Brussels (n=1)
maison,3,3,Maison des Canaux (n=1); dnA House / Maison DnA (n=1); Maison Vignette / Vignette House (n=1)
pavillon,3,3,Sanitary block for the Itterbeek Chiro / Pavillon de sanitaires (n=1); Christus-Pavillon / Christ Pavilion (n=1); Pavillon Circulaire / Circular Pavilion (n=1)
_unclustered,50,49,"Elementa_Walkeweg (n=2); 55 Great Suffolk Street (n=1); AWM Münster, 3. OG Rösnerstraße (n=1); BedZED / Beddington Zero Energy Development (n=1); Big Dig Building (n=1); BioPartner 5 (n=1); BlueCity Offices / Blue City 010 Offices (n=1); Boulder Fire Station 3 / City of Boulder Fire Rescue, Station #3 (n=1); Brent Cross Town Primary Substation (n=1); CascadeUp / London secondary-timber glulam demonstrator (n=1); Charles Malis / Antenne administrative (n=1); ELYS Kultur- & Gewerbehaus (n=1); La Ferme du Rail (n=1); Grande Halle de Colombelles / Le WIP (n=1); Grubenstrasse 29 / Werkhof 29 (n=1); Haus HOS / Mühlhausen 2-story multi-housing building (n=1); Holbein Gardens (n=1); Institut de Botanique de l’ULg (n=1); Kinder- en jeugdkliniek Ithaka / Emergis (n=1); Recyclingzentrum Juch-Areal (n=1); K.118 / Kopfbau Halle 118 (n=1); KA13 / Kristian Augusts gate 13 (n=1); Kamikatsu Zero Waste Center / Hotel WHY (n=1); Umbau Kindergarten Mööslistrasse / Kindergarten Manegg (n=1); Liander / Alliander HQ Duiven (n=1); Lo-Reninge Town Hall façade / Stadhuis Lo (n=1); Conversion of two wings of Lycée Michel Lucius (n=1); Montessori Maassluis / Montessorischool Maassluis (n=1); Musée de Folklore / MUSEF Mouscron (n=1); PLP Architecture HQ / Circular Studio Fit-out (n=1); Re:Crete footbridge (n=1); Recyclinghaus Hannover (n=1); Recypark Anderlecht / Recypark Demets (n=1); Résilience / La Ferme des Possibles (n=1); Resource Rows (n=1); Roots in the Sky / Blackfriars Crown Court (n=1); Saxum Vineyard Equipment Barn (n=1); SUPERLOCAL Expogebouw (n=1); Svanen / The Swan / Børnehuset Svanen (n=1); Thoravej 29 (n=1); Timber Square (n=1); TRÆ High-Rise (n=1); Upcycle Studios (n=1); Verbiest + Karreveld (n=1); Villa Welpeloo (n=1); Woongroep Boschgaard / Collectief Ecosysteem Boschgaard (n=1); Zinneke / Feder Masui4ever (n=1); Vollgut_Areal (n=1); ReUseBox_Heilbronn (n=1)"
