anchor_id,missing_material,missing_bauteiltyp,unsicher_count,next_action
articonnex,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
backacia,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
batiterre,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
batrecup,False,False,2,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
bauteilladen_winterthur,False,False,2,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
bauteilnetz_deutschland,False,False,7,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
building_spares_market,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
cornermat_retrival,True,False,0,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
cycle_up,True,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
cycle_zero,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
enviromate,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
globechain,True,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
insert_marketplace,True,True,0,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
loopfront,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
material_reuse_portal,True,True,0,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
materialenbank_leuven_atelier_circuler,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
materialrest24,False,False,8,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
new_horizon,True,True,0,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
raedificare,True,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
re_store_harvestmap_vienna,False,False,2,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
resource_marktplaats,True,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
reuse_and_trade,False,False,2,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
salvoweb,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
salza,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
skop_marketplace,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
surplus_building_and_plumbing_materials,False,False,1,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
sustainability_yard,False,False,2,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
warp_it,True,False,3,Open first-party catalogue/product pages or login export; verify material-component pairs before graph import.
