label,node_count
Akteur,679
Akteurrolle,24
Akteurtyp,10
Akzeptanz,7
Aufbereitungsverfahren,62
BauaufgabeIntervention,10
Bauobjektklasse,8
Bauobjektrolle,6
Bauproduktstatus,15
Bausystem,9
Bauteilebene,6
Bauteilgruppe,369
Bauteiltyp,23
Bauweise,6
Bauwerk,186
BauwerkEra,6
Beschaffungsweg,10
DataIssue,29061
Defekt,10
DeprecatedType,13
Dossier,100
DossierEntityTarget,2591
ExternalLink,5026
Funktionswechsel,6
Huerde,28
HuerdeKategorie,10
Kennwert,258
LCAModule,5
Land,19
Layer,6
Leistungsanforderung,46
Logistik,10
Marktmodell,11
MatchingQualitaet,9
Material,26
Materialdepot,23
Materialgruppe,11
Methode,13
Norm,103
Nutzung,9
OntologyAnchor,2
Programm,29
Projekt,101
Prozessphase,10
PruefungNachweis,120
Quelle,5343
RechtlicheBedingung,15
ResearchDocument,403
Ressourcenquelle,16
ReuseRule,20
Rueckbauverfahren,5
Schadstoff,9
SectionRef,641
Software,19
Stadt,76
Status,9
Tool,8
Tragwerksprinzip,4
Verbindungstechnik,15
WiederverwendungsArt,11
Wiederverwendungskette,14
Wirtschaft,12
Zertifizierungssystem,8
ZustandsKlasse,6
