"old_path","suggested_target","reason","status"
"_graph/bauteiltyp/Auflager_Widerlager","_database/bauteiltyp/Auflager_Widerlager","Real structural support element, but may overlap with infrastructure/foundation context.","REVIEW_REQUIRED"
"_graph/bauteiltyp/Bauwerksteil","_database/bauobjektklasse/Gebaeudeteil","Whole building parts are object scale, not component type; create bauobjekt/beteiligung if concrete.","REVIEW_REQUIRED"
"_graph/bauteiltyp/Bruestung","_database/bauteiltyp/Gelaender or _database/bauteiltyp/Fassade","Bruestung can be guardrail/parapet/facade edge; needs case context.","REVIEW_REQUIRED"
"_graph/bauteiltyp/Fliese","_database/bauteiltyp/Boden or _database/bauteiltyp/Wand","Tile can be floor or wall; needs case context.","REVIEW_REQUIRED"
"_graph/bauteiltyp/Holzrahmenelement","_database/bausystem/Holzrahmenbau or _database/bauteiltyp/Wand","Could describe a building system or a wall/panel element.","REVIEW_REQUIRED"
"_graph/bauteiltyp/Kern","_database/tragwerksprinzip/Wand_Kern_Tragwerk","Structural core is usually a structural principle/system, not a reusable component type.","REVIEW_REQUIRED"
"_graph/bauteiltyp/Kueche","_database/bauteiltyp/Festes_Einbauteil","Built-in kitchen is fixed fit-out, not a separate core component family.","REVIEW_REQUIRED"
"_graph/bauteiltyp/Landschaftselement","_database/bauteiltyp/Landschaftselement","Useful for outdoor reuse cases, but outside main building-component scope.","REVIEW_REQUIRED"
"_graph/bauteiltyp/Tragstruktur","_database/bauteiltyp/Tragstruktur","Use only when the source names a structural assembly without precise component or system.","REVIEW_REQUIRED"
"_graph/bauteiltyp/Treppenwange","_database/bauteiltyp/Traeger or _database/bauteiltyp/Treppe","Could be structural member or stair component depending on old/new function.","REVIEW_REQUIRED"
"_graph/datenmodell/Gebaeuderessourcenpass","_database/datenmodell/Gebaeuderessourcenpass_Schema","Final type is valid, but current content is a Concular profile and must be cleaned.","REVIEW_REQUIRED"
"_graph/datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","rename or delete","Same ID as a reuse item; a datenpunkt must be a value, not a component.","REVIEW_REQUIRED"
"_graph/datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","rename or delete","Same ID as a reuse item; a datenpunkt must be a value, not a component.","REVIEW_REQUIRED"
"_graph/dokumenttyp/Gebaeuderessourcenpass","_database/dokumenttyp/Gebaeuderessourcenpass","Correct document type, but current content mixes Madaster/DGNB source profiles.","REVIEW_REQUIRED"
"_graph/fuegung_verbindung/Beton_Fertigteile_Verbindungen","_database/methode/Betonfertigteil_Fuegung","This is a material/system-specific how-to topic, not one connection type.","REVIEW_REQUIRED"
"_graph/fuegung_verbindung/Composite_Verbindungen","_database/methode/Composite_Fuegung","Material-specific connection overview belongs to method/how, not controlled connection knot.","REVIEW_REQUIRED"
"_graph/fuegung_verbindung/Holz_Verbindungen","_database/methode/Holzverbindungen_ReUse","Material-specific connection overview belongs to method/how, not controlled connection knot.","REVIEW_REQUIRED"
"_graph/fuegung_verbindung/Stahl_Verbindungen","_database/methode/Stahlverbindungen_ReUse","Material-specific connection overview belongs to method/how, not controlled connection knot.","REVIEW_REQUIRED"
"_graph/fuegung_verbindung/Stahlseil","_database/bauteiltyp/Stahlseil or keep as raw connection detail","A steel cable is usually a component/tension element, not a connection principle.","REVIEW_REQUIRED"
"_graph/huerde/Logistikproblem","_database/huerde/Logistikproblem","Correct broad barrier when exact logistics issue is unknown.","REVIEW_REQUIRED"
"_graph/huerde/Performance_Nachweis","_database/huerde/Fehlender_Performance_Nachweis","Barrier is missing/uncertain proof, not the proof type itself.","REVIEW_REQUIRED"
"_graph/material/Erde","_database/material/Lehm or _database/material/Erde","Construction-earth context may mean Lehm; keep exact only if source needs it.","REVIEW_REQUIRED"
"_graph/material/Guss","_database/material/Gusseisen or _database/material/Metall","`Guss` is too ambiguous without knowing cast iron, cast steel, etc.","REVIEW_REQUIRED"
"_graph/material/Metall","_database/material/Metall","Broad fallback when exact metal is unknown; prefer Stahl/Aluminium when known.","REVIEW_REQUIRED"
"_graph/material/Recyclingbeton","_database/material/Recyclingbeton","It is material, but do not count as direct reuse; link to recycling strategy.","REVIEW_REQUIRED"
"_graph/reuse_strategie/Temporaerer_Wiedereinbau","_database/reuse_strategie/Temporaerer_Wiedereinbau","Valid strategy/status-like reuse pattern; link also to `reuse_einsatzstatus/Temporaer`.","REVIEW_REQUIRED"
"_graph/zertifizierung_bewertungssystem/DGNB","_database/zertifizierung_bewertungssystem/DGNB","DGNB rating system is valid; resource-pass content should move to document/model nodes.","REVIEW_REQUIRED"
